	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
ATP6V1B2	ENSG00000147416	ENSG00000147416;A3:8:20204539-20209433:20204539-20209441:+	-0.1579039892	0.0284715285
GSN	ENSG00000148180	ENSG00000148180;A3:9:121300126-121301924:121300126-121301963:+	0.2844868081	0.026973027
NDUFC2	ENSG00000151366	ENSG00000151366;A3:11:78073141-78079579:78073072-78079579:-	0.1417291002	0.0424575425
HNRNPU	ENSG00000153187	ENSG00000153187;A3:1:244843181-244845247:244843141-244845247:-	0.3488372949	0.0437062937
HNRNPU	ENSG00000153187	ENSG00000153187;A3:1:244847101-244848788:244847053-244848788:-	-0.3310384998	0.0437062937
SYNJ1	ENSG00000159082	ENSG00000159082;A3:21:32634884-32638908:32634881-32638908:-	-0.3293033974	0.008991009
SON	ENSG00000159140	ENSG00000159140;A3:21:33575893-33576365:33575893-33576418:+	-0.2003149057	0.024975025
CSRP1	ENSG00000159176	ENSG00000159176;A3:1:201496304-201507070:201496261-201507070:-	-0.1626642018	0.0304695305
SRSF2	ENSG00000161547	ENSG00000161547;A3:17:76736464-76736799:76736443-76736799:-	0.1778249856	0.0484515485
ASRGL1	ENSG00000162174	ENSG00000162174;A3:11:62337574-62337967:62337574-62337994:+	-0.2240308767	0.036963037
SHISA5	ENSG00000164054	ENSG00000164054;A3:3:48469186-48469361:48468217-48469361:-	-0.1537580765	0.044955045
MOCS2	ENSG00000164172	ENSG00000164172;A3:5:53100534-53101359:53100487-53101359:-	0.1633004871	0.0444555445
PHAX	ENSG00000164902	ENSG00000164902;A3:5:126601058-126603570:126601058-126603574:+	-0.1946589296	0.036963037
B2M	ENSG00000166710	ENSG00000166710;A3:15:44711613-44715423:44711613-44715434:+	-0.1917277396	0.0204795205
COPS6	ENSG00000168090	ENSG00000168090;A3:7:100089066-100089290:100089066-100089293:+	0.1935498685	0.036963037
TADA3	ENSG00000171148	ENSG00000171148;A3:3:9791493-9792216:9791381-9792216:-	-0.2041098188	0.04995005
PRNP	ENSG00000171867	ENSG00000171867;A3:20:4686512-4699211:4686512-4699216:+	0.1395223587	0.040959041
CCDC106	ENSG00000173581	ENSG00000173581;A3:19:55648277-55648946:55648277-55649002:+	0.2759672536	0.04995005
FBXO34	ENSG00000178974	ENSG00000178974;A3:14:55271537-55350381:55271537-55350403:+	-0.2198611578	0.0264735265
CEND1	ENSG00000184524	ENSG00000184524;A3:11:788658-790030:788565-790030:-	-0.182583404	0.0234765235
MAPT	ENSG00000186868	ENSG00000186868;A3:17:45996664-46010310:45996664-46010316:+	0.1308890571	0.046953047
PLSCR1	ENSG00000188313	ENSG00000188313;A3:3:146522053-146525605:146521981-146525605:-	-0.1774204632	0.047952048
PPIA	ENSG00000196262	ENSG00000196262;A3:7:44796793-44799247:44796793-44801287:+	0.2425665183	0.0464535465
ZNF471	ENSG00000196263	ENSG00000196263;A3:19:56518577-56524324:56518577-56524745:+	-0.1613323077	0.044955045
SRGAP2B	ENSG00000196369	ENSG00000196369;A3:1:144906074-144914692:144906039-144914692:-	-0.242943375	0.048951049
MYO18A	ENSG00000196535	ENSG00000196535;A3:17:29086624-29086936:29086577-29086936:-	0.1716222291	0.025974026
TOMM6	ENSG00000214736	ENSG00000214736;A3:6:41789336-41789531:41789336-41789568:+	0.1410464912	0.045954046
TSTD1	ENSG00000215845	ENSG00000215845;A3:1:161038673-161038880:161038075-161038880:-	0.2952004148	0.031968032
LRRC37A2	ENSG00000238083	ENSG00000238083;A3:17:46520283-46522631:46520283-46523084:+	0.2844435737	0.041958042
NME1	ENSG00000239672	ENSG00000239672;A3:17:51160081-51161098:51160081-51161160:+	-0.1205467162	0.04995005
LINC02024	ENSG00000241213	ENSG00000241213;A3:3:117690078-117690891:117690075-117690891:-	0.2121779836	0.03996004
YJEFN3	ENSG00000250067	ENSG00000250067;A3:19:19532740-19533104:19532740-19535034:+	0.2218859126	0.036963037
	ENSG00000262202	ENSG00000262202;A3:17:19112548-19190156:19112542-19190156:-	0.2406559064	0.0084915085
