gene_name	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR22776675_Aligned.sortedByCoord.out	countData.SRR22776676_Aligned.sortedByCoord.out	countData.SRR22776677_Aligned.sortedByCoord.out	countData.SRR22776686_Aligned.sortedByCoord.out	countData.SRR22776687_Aligned.sortedByCoord.out	countData.SRR22776688_Aligned.sortedByCoord.out	countData.SRR22776689_Aligned.sortedByCoord.out	countData.SRR22776690_Aligned.sortedByCoord.out	countData.SRR22776691_Aligned.sortedByCoord.out	countData.SRR22776692_Aligned.sortedByCoord.out	countData.SRR22776693_Aligned.sortedByCoord.out	countData.SRR22776660_Aligned.sortedByCoord.out	countData.SRR22776678_Aligned.sortedByCoord.out	countData.SRR22776679_Aligned.sortedByCoord.out	countData.SRR22776680_Aligned.sortedByCoord.out	countData.SRR22776681_Aligned.sortedByCoord.out	countData.SRR22776682_Aligned.sortedByCoord.out	countData.SRR22776683_Aligned.sortedByCoord.out	countData.SRR22776684_Aligned.sortedByCoord.out	countData.SRR22776685_Aligned.sortedByCoord.out
FYN	ENSG00000010810	E018	31.9989151431148	0.0407585280829759	12.5343453826409	0.000399539562274147	0.0420191172763498	6.55878456892773	7.46514769454181	0.674793580244722	6	111699935	111700103	169	-	29	22	26	34	27	9	40	26	15	20	27	46	39	61	59	65	48	61	25	17
ANOS1	ENSG00000011201	E001	524.130990213966	0.0244772685646567	16.4084974850469	5.10558339169363e-05	0.013694487183599	12.8841651586359	12.3887951525106	-0.345837807966644	X	8528874	8533053	4180	-	575	222	109	1085	1043	246	601	912	837	943	791	659	832	488	330	524	535	685	359	56
MBTD1	ENSG00000011258	E011	5.68607491430676	0.0530217478301287	13.4836588834306	0.000240650078234222	0.031636115715082	3.22563019423792	4.53005296922283	1.24661420267115	17	51193428	51193510	83	-	3	3	2	5	3	2	5	4	2	3	7	8	4	11	14	18	8	6	4	8
PIK3C2A	ENSG00000011405	E026	7.79779688901141	0.0484859327294656	21.881963687011	2.89946365653715e-06	0.00237471612661924	3.67981332642749	5.14934927271201	1.30630585414495	11	17135111	17135159	49	-	0	3	8	12	6	4	3	7	7	1	8	13	11	17	7	13	19	9	9	9
ANLN	ENSG00000011426	E049	49.3230836342881	0.0289073350223839	12.5639793364903	0.000393253466466945	0.0417343087415284	7.50746330630314	8.21071326113169	0.511546130022672	7	36449679	36449800	122	+	33	47	48	47	21	32	113	41	27	58	72	41	27	67	73	59	52	113	54	12
RABGAP1	ENSG00000011454	E041	14.1592958428703	0.065107134722554	15.7804547703876	7.11335704389386e-05	0.0160401825812627	4.80009031471939	6.08402766288586	1.03499893496946	9	123089552	123089757	206	+	12	10	11	23	12	10	3	14	13	3	4	22	21	13	19	17	23	34	16	19
PPP5C	ENSG00000011485	E046	15.2522946737215	0.194378047468891	13.0653725760413	0.000300805363166195	0.0358357780189431	4.30966851131176	6.42462310830645	1.7228159381844	19	46392637	46392981	345	+	7	6	6	14	8	6	2	1	16	7	1	10	16	14	87	18	30	36	18	20
CD22	ENSG00000012124	E072	7.64943851824851	0.0679541759915027	12.1838102213454	0.000482060763103969	0.0468673424462494	3.49493785618389	4.96164996107004	1.33482634606278	19	35346767	35346929	163	+	7	4	1	4	3	7	3	2	2	4	1	21	11	13	17	22	9	26	9	4
MAP4K5	ENSG00000012983	E003	307.419394019892	0.0266636302031268	13.2118420647877	0.000278185824505935	0.0343862335251045	11.8551929712579	11.1783450443291	-0.474083756348635	14	50418525	50419559	1035	-	299	295	281	585	296	335	436	409	312	360	376	325	200	303	189	270	409	404	275	123
MAP4K5	ENSG00000012983	E026	229.477888446069	0.0204416000231556	25.5296725763353	4.35631469487054e-07	0.000825031532100995	10.6119629072662	11.3935768942993	0.548678365982022	14	50448833	50450600	1768	-	194	189	153	309	174	136	260	164	186	183	245	234	238	263	329	489	437	475	288	77
MAP4K5	ENSG00000012983	E040	76.3225784849809	0.0181282537439469	13.9282445178742	0.00018992300881433	0.0280417279274239	8.42864871491634	9.0949040200961	0.476893363335829	14	50482652	50483149	498	-	82	92	41	127	57	52	72	54	62	54	66	122	79	88	93	127	124	136	99	33
CCDC88C	ENSG00000015133	E001	46.9120423876212	0.021887311832547	39.8018370407078	2.81080605694259e-10	3.60643281942075e-06	8.14727946618871	7.01644187612217	-0.828302105578491	14	91271323	91273468	2146	-	44	57	77	74	86	67	18	72	74	28	34	36	42	29	55	34	39	18	36	25
ATP2C1	ENSG00000017260	E046	36.3575821402915	0.0130312275844593	20.1735377004463	7.07245783214913e-06	0.00412472170278057	6.97660679990101	7.65723057616283	0.501869913802755	3	130975332	130975488	157	+	31	19	8	51	32	5	38	46	38	53	56	48	47	44	52	77	54	50	30	24
SLC11A1	ENSG00000018280	E061	12.5603514317274	0.205243769540148	15.2877192929108	9.23147248231118e-05	0.0189646319924225	6.27743178183888	4.30297380827138	-1.61643884332958	2	218396028	218396894	867	+	12	20	1	16	6	15	0	10	12	8	2	16	45	18	11	43	9	20	5	6
ATP1A2	ENSG00000018625	E029	118.349036711188	0.0383536983097637	14.5667819593723	0.000135278380535334	0.0229590316044531	9.24566400228528	10.0035814499598	0.537098792334894	1	160136901	160137031	131	+	118	116	97	141	122	143	66	111	88	75	106	112	86	177	144	219	160	138	101	117
ATP1A2	ENSG00000018625	E039	10449.0905313432	0.00938626955707689	13.2895762824417	0.000266885791088192	0.0337369934102084	19.0291380871178	18.5963387947873	-0.300851532181102	1	160141778	160143591	1814	+	8973	12094	11428	14455	14733	17301	9563	13774	11240	9158	9103	9471	8520	9387	9686	7379	11852	9024	8604	5950
GABRA1	ENSG00000022355	E047	1813.41456999385	0.0437425577563205	18.7098672911942	1.52192889864989e-05	0.00659704761047882	14.9513221526483	15.4927418470616	0.376763093505913	5	161897111	161897662	552	+	3087	236	56	1937	2208	30	3159	3557	2917	2920	4396	3018	2213	3682	384	1166	2075	3065	1151	44
GABRA1	ENSG00000022355	E054	841.89015509817	0.0529349585854868	17.5653814234294	2.77596180873966e-05	0.00945812531304331	13.7347691407683	13.1257193634208	-0.424588938638355	5	161898219	161899924	1706	+	1054	163	71	1552	1682	58	1189	2165	1766	1774	2397	1180	780	881	118	304	667	1034	364	18
SLC45A4	ENSG00000022567	E003	122.06740937899	0.0364993722520362	16.3885254681853	5.15966384181396e-05	0.0137024427332918	9.50694859149523	9.84662556016913	0.24057527566037	8	141210601	141211697	1097	-	102	89	51	285	208	57	42	119	90	53	60	192	122	112	131	119	199	175	148	218
SLC45A4	ENSG00000022567	E009	43.4368939604474	0.0301555477719703	18.3078932531498	1.87926903033647e-05	0.00758243686183495	7.36093087850636	7.8025331093353	0.32327424904149	8	141218011	141218773	763	-	26	34	14	77	69	36	7	40	44	23	12	102	74	37	47	38	51	83	45	62
SLC45A4	ENSG00000022567	E018	217.969200955944	0.120396058580805	16.2888553750598	5.43828603605931e-05	0.01406783726094	11.6271078727438	9.88217349254147	-1.22680597387394	8	141254101	141254629	529	-	186	144	144	308	368	320	199	420	284	323	313	204	163	247	120	95	174	184	128	162
GRAMD1B	ENSG00000023171	E028	39.6938462365869	0.0476692084533698	25.0165714285706	5.68396899592731e-07	0.000900354723446234	6.91031116763095	7.95143887470469	0.765539938121449	11	123603426	123603541	116	+	45	20	8	73	55	6	22	30	41	31	16	73	53	49	71	45	67	85	41	45
RB1CC1	ENSG00000023287	E018	163.183345377615	0.0130040198441197	13.851131848544	0.000197877516030174	0.0287448849826065	10.1462420923431	10.3578695000552	0.149197945922872	8	52645702	52645867	166	-	214	120	63	202	227	95	259	250	179	238	266	220	116	167	128	187	208	207	93	81
VEZT	ENSG00000028203	E089	66.8455722572211	0.031249994377012	14.0379717550124	0.000179156066341345	0.0269166255831295	8.74365168701408	7.80240187945363	-0.679142424415153	12	95300655	95300921	267	+	78	40	42	131	95	44	67	134	160	135	114	49	48	68	21	36	57	68	46	18
SNX1	ENSG00000028528	E043	174.367822647874	0.0102892372018133	19.5180512476157	9.96535106383255e-06	0.00497515304901206	10.5412262218438	9.97305429888135	-0.400564463842755	15	64143309	64144231	923	+	196	209	211	303	189	231	199	256	259	172	157	130	157	161	88	83	178	187	140	76
BCLAF1	ENSG00000029363	E018	210.88416553584	0.0416797424340518	13.4994756964761	0.000238630119253699	0.031568248581462	10.3767231681746	11.2882534716358	0.640441690637164	6	136261301	136261477	177	-	265	131	75	309	200	60	338	305	198	222	256	202	213	349	172	476	228	328	176	124
BCLAF1	ENSG00000029363	E046	21.6388185143906	0.0292762317668721	13.1171495643144	0.00029260488682415	0.0353511888972311	5.82810616934799	6.74997036145925	0.706371518346431	6	136275555	136275701	147	-	22	19	8	25	22	5	29	20	17	27	37	25	22	33	23	29	19	40	28	15
ARID4A	ENSG00000032219	E035	549.993751069953	0.0111563624241361	24.7628029285026	6.48366931312197e-07	0.000956199626309687	12.9491114395354	12.3261623347156	-0.434907567864231	14	58364170	58365300	1131	+	610	433	394	661	652	305	844	1033	743	1118	1120	438	329	560	393	553	544	568	317	131
CLXN	ENSG00000034239	E001	7.33922183777413	0.146275236464592	16.0729078082538	6.0949798568277e-05	0.0153037668397287	3.28871391969768	4.89759836086674	1.49405894595713	8	48710789	48711861	1073	-	0	6	9	0	9	0	0	1	5	2	5	3	2	7	22	9	13	12	5	25
RNF19A	ENSG00000034677	E031	13.5118721015348	0.15119835314499	15.6026520566032	7.81449088384009e-05	0.0171980457520066	4.34600371296428	6.21784040754708	1.53231585014981	8	100303160	100303230	71	-	10	7	15	5	12	1	2	9	6	11	4	8	18	11	43	52	27	21	8	16
TRIO	ENSG00000038382	E033	11.5324918724173	0.0636711652432018	12.4435682714679	0.000419433684852528	0.0435452751825783	5.65347565046117	4.46777711299447	-0.98459165325438	5	14387438	14387632	195	+	19	11	12	21	18	6	4	17	16	20	22	6	8	4	7	16	8	29	5	3
TRIO	ENSG00000038382	E046	7.07632693705166	0.0650042063327867	13.0809581558872	0.00029831282309216	0.0357045942907301	4.87992547003418	3.51461462260706	-1.24644514993593	5	14399071	14399400	330	+	6	10	14	17	15	2	5	16	7	9	6	6	6	6	0	8	8	8	4	0
INPP4A	ENSG00000040933	E021	10.8021473123237	0.0585522825082595	14.6373130697395	0.000130308848647723	0.0225924781786119	NA	NA	NA	2	98545969	98546073	105	+	15	6	5	16	11	2	3	9	11	5	10	14	19	27	18	10	21	34	14	0
DCUN1D1	ENSG00000043093	E002	316.596349106557	0.00740583560042919	16.5419143194893	4.7586461239313e-05	0.0131022070724706	11.6927786464044	11.3410425844957	-0.246359657348588	3	182942776	182943775	1000	-	373	260	271	479	447	196	487	581	356	505	519	290	210	280	303	199	320	336	203	108
ARAP2	ENSG00000047365	E032	12.6678244620701	0.140077642085998	19.8396872916129	8.42158458788499e-06	0.00448356776818743	4.12937996302267	6.23057552663542	1.73760453188375	4	36147296	36147359	64	-	7	15	8	9	1	4	10	4	5	10	3	5	22	22	37	30	34	8	26	8
GOPC	ENSG00000047932	E002	1166.36085755265	0.0247585009095572	19.0719060152952	1.25884423641051e-05	0.0057891494120748	14.542404217064	14.0158855723125	-0.366669972283212	6	117560272	117563384	3113	-	1247	574	466	1681	1558	467	1998	2186	1509	2113	2079	1310	823	1386	919	1052	1407	1622	899	292
GOPC	ENSG00000047932	E007	139.866399921863	0.0349965964958949	27.9388072239474	1.25213147248025e-07	0.00034997297634918	9.54831416182273	10.4561963067989	0.641313679845562	6	117602004	117602511	508	-	150	62	42	135	155	30	262	182	120	110	145	215	115	245	208	300	234	253	131	37
ZNF800	ENSG00000048405	E001	36.8378366075604	0.050784383773338	12.8342480725148	0.000340332198321192	0.0382705197526721	6.76921446453602	7.79262580720882	0.755686592750951	7	127346790	127348043	1254	-	35	32	32	58	32	31	20	16	27	25	35	69	65	31	53	34	64	54	30	32
RSF1	ENSG00000048649	E023	1042.7311163195	0.0113005388807821	24.8145999619128	6.31175853166437e-07	0.000956199626309687	14.3354643386606	13.6544658385012	-0.474396166965773	11	77701119	77702400	1282	-	1043	822	591	1243	1506	760	1582	1752	1194	1969	2028	1006	704	1095	795	963	933	1000	675	422
VPS13D	ENSG00000048707	E066	20.6645936538582	0.12096120074909	13.5781541637958	0.000228833146000389	0.0308734654371461	5.27949467895335	6.99641804503655	1.32850483483192	1	12356398	12356524	127	+	8	14	8	36	24	14	8	10	21	5	5	15	22	17	43	69	36	66	34	11
CELF2	ENSG00000048740	E022	39.4462465650324	0.0497034070335061	12.0456108511816	0.000519144720108345	0.0484783344356153	7.02141585746588	7.92887907164316	0.666364410056406	10	11270666	11270824	159	+	48	19	7	65	43	13	21	47	53	62	17	103	53	61	33	56	80	59	39	15
ARID1B	ENSG00000049618	E025	614.588396984689	0.0074344513949232	13.5885772503944	0.000227566040136152	0.0308624654287141	13.2096104628265	12.8207359146117	-0.271281979951116	6	156936674	156943901	7228	+	917	502	473	904	673	355	783	686	587	588	793	684	633	837	652	761	730	881	527	250
JKAMP	ENSG00000050130	E033	13.7825720266306	0.111729113979142	12.5890205564453	0.000388019430175279	0.0413155361062816	5.84541104527864	4.4988195190101	-1.10863018505499	14	59504706	59505404	699	+	18	14	23	25	19	10	12	29	14	22	21	11	14	13	4	0	13	0	9	8
PIK3CB	ENSG00000051382	E001	6.25924189808788	0.0869238320862131	13.2122511345427	0.000278125114129956	0.0343862335251045	3.30314245859221	4.69475561018186	1.30683732524264	3	138652336	138652697	362	-	8	3	1	8	2	2	6	4	3	2	3	3	6	10	14	11	11	6	13	12
TTC17	ENSG00000052841	E037	39.186923812207	0.027782710508112	12.4077838712547	0.000427547953017088	0.0441682509338249	6.97675026736679	7.83656856139583	0.632515633060109	11	43446545	43446719	175	+	40	22	23	34	29	14	32	41	44	38	28	88	36	62	41	62	57	75	50	30
SYNE2	ENSG00000054654	E040	90.7938001182436	0.0294552770124548	13.9819700061821	0.000184572119850001	0.027504705328962	8.06790740258805	9.08952763468438	0.733391347372708	14	64002720	64003023	304	+	30	26	43	44	20	48	58	37	10	32	27	46	22	63	164	56	88	78	37	522
FAM168A	ENSG00000054965	E010	65.7587956791033	0.0986755318188816	13.8026329576201	0.000203051471904945	0.0292398677376384	7.75788873878021	9.10342550584514	0.968499572137657	11	73430163	73430689	527	-	85	73	36	49	59	20	40	33	75	27	47	79	123	133	122	190	91	102	54	18
TAB2	ENSG00000055208	E020	15.1535610647757	0.11390830420165	15.1002713287216	0.000101948634469528	0.019885986774001	4.62315133918263	6.31516247912847	1.364040163958	6	149379942	149380143	202	+	9	11	3	20	17	8	1	5	13	3	5	13	28	22	30	21	37	22	28	24
KMT2C	ENSG00000055609	E154	731.998510179006	0.0214177376622499	12.285040019247	0.000456603608662029	0.0455205770108704	13.6761027172229	12.9799549731944	-0.485385795192249	7	152247902	152248620	719	-	676	835	625	935	826	651	989	785	767	972	1082	643	487	751	974	783	749	838	605	307
MRPL43	ENSG00000055950	E014	49.2728471200534	0.0904232700308052	13.1030558995992	0.000294814464983369	0.0355178072715081	8.32284575608356	7.26307197973173	-0.772254173409446	10	100986280	100986572	293	-	45	46	27	96	59	18	42	106	86	85	74	41	63	46	36	23	45	40	49	30
PSD	ENSG00000059915	E030	50.0928262741963	0.0380135091778661	21.2304784729865	4.07236917035155e-06	0.0028904551459648	7.57958796338825	8.31104009038854	0.531082908676017	10	102416710	102417121	412	-	45	29	22	115	101	27	4	71	76	15	10	125	148	32	49	48	93	39	67	17
STYK1	ENSG00000060140	E001	153.143766776346	0.113017317748207	16.3767363248769	5.1918565937662e-05	0.0137349763323663	10.6824948049112	9.38254488846122	-0.918172974689747	12	10618923	10620348	1426	-	183	25	7	168	270	9	268	415	223	323	421	228	76	231	53	113	181	168	93	6
STYK1	ENSG00000060140	E010	7.69604804154205	0.171814523738167	13.7168951138771	0.000212533930352373	0.0297375992015175	3.95608806473149	4.9478695753357	0.874631903402898	12	10631045	10631233	189	-	9	0	0	3	11	0	10	9	3	8	11	23	2	5	17	12	21	10	14	4
WNK1	ENSG00000060237	E012	133.121282156017	0.0129097203739701	13.227212648116	0.000275913816756898	0.0343369526409413	10.1527529287134	9.3302286819264	-0.582271340727644	12	859245	859464	220	+	131	179	155	196	201	212	111	138	126	102	114	107	92	105	113	135	137	139	67	112
WNK1	ENSG00000060237	E045	935.180811019548	0.00788729120483391	18.4859260278578	1.71163597748999e-05	0.00722411729367864	13.7498474261245	14.010945679299	0.181908618793159	12	884689	885131	443	+	932	1002	738	967	883	1363	618	780	778	564	688	1157	1239	1045	907	917	1120	1364	723	1063
SNRNP40	ENSG00000060688	E005	31.2025827436335	0.0474786501665048	14.9328041958914	0.000111408837372266	0.0207767765812296	7.36793398061005	6.3655772938898	-0.750104990657089	1	31259786	31260121	336	-	28	32	33	71	48	15	38	48	40	44	42	30	40	30	9	35	21	31	17	15
GUCY1B1	ENSG00000061918	E023	12.5185542387062	0.0451549758647706	15.3687878046977	8.84371342417044e-05	0.0183906238995399	4.77215901326758	5.93862876157083	0.945838872458041	4	155803624	155803764	141	+	21	5	0	9	13	2	5	25	15	15	11	26	11	37	6	27	23	18	15	3
MON2	ENSG00000061987	E034	52.4639375077702	0.0323207594307315	24.1249307731721	9.02838488057261e-07	0.00116989822079553	7.43539097586976	8.56012664100457	0.815997851103024	12	62546897	62547072	176	+	62	33	33	78	42	26	44	23	54	40	39	53	72	75	69	105	92	122	56	32
GPBP1	ENSG00000062194	E027	441.924508812799	0.00699474370754566	14.6363166195694	0.000130377761211474	0.0225924781786119	12.4038013817453	12.0985563475117	-0.213300198373993	5	57262594	57263085	492	+	495	302	240	551	572	292	714	766	577	759	781	383	229	464	467	496	439	531	282	140
LIMCH1	ENSG00000064042	E042	39.5583668961667	0.0442519719549133	16.7245348850691	4.32184541904176e-05	0.0124018709900961	6.87350285358231	8.02759467674865	0.848270273222779	4	41644500	41644626	127	+	48	31	18	38	41	25	43	27	41	20	22	80	74	63	27	43	87	81	57	9
HIPK2	ENSG00000064393	E002	637.804725895938	0.0326943195210345	16.0332069419277	6.22412026492894e-05	0.0153392342956088	12.7834313303646	13.3978330464317	0.428556960683578	7	139572629	139573397	769	-	372	772	671	664	544	995	177	366	343	173	245	1071	1081	716	718	776	916	742	671	726
HIPK2	ENSG00000064393	E006	321.974606645841	0.0635668145458669	13.1431880417774	0.000288566441974576	0.0351168252726504	11.2727680563429	12.0627755026464	0.553046657163897	7	139596717	139596998	282	-	197	410	332	300	272	474	62	191	186	63	66	561	483	279	451	521	465	366	337	404
SUGP2	ENSG00000064607	E034	449.402573212033	0.024327753616641	12.1606892278232	0.000488073380261821	0.0471912156201003	12.624639467139	12.0573656871991	-0.396314286934157	19	19024619	19025456	838	-	548	304	169	880	793	221	340	795	815	584	573	550	588	428	300	465	467	549	423	166
SLC12A2	ENSG00000064651	E040	368.374252563164	0.0211436718131018	14.7706405913079	0.000121411165512692	0.0220025155399314	12.1119119376448	11.6370872380492	-0.33216412287547	5	128187026	128188442	1417	+	341	322	338	842	262	362	593	520	498	391	415	423	312	357	215	151	380	436	305	235
SLC12A2	ENSG00000064651	E041	306.34002495264	0.0160501217823374	17.7048288265931	2.57970901875291e-05	0.0090435012393473	11.7228274041036	11.2478350051006	-0.33273210127145	5	128188443	128189677	1235	+	408	240	316	582	243	273	466	350	331	401	392	326	251	237	159	163	355	320	273	227
AP3D1	ENSG00000065000	E031	11.4563687873916	0.258914118336144	12.72724050183	0.000360367874128081	0.0394180396060337	3.90406403422465	5.84610167006053	1.64902449065154	19	2112422	2112707	286	-	3	11	6	2	4	1	13	0	6	5	2	22	13	31	21	19	21	24	22	14
IPO5	ENSG00000065150	E083	5.56693084749469	0.101896737072861	16.438481308106	5.02546106483001e-05	0.0135461514156319	3.12500649172697	4.63395923880097	1.44529198280096	13	98018586	98018704	119	+	8	0	0	3	7	2	3	2	6	6	4	10	7	9	9	5	3	14	8	10
SPEN	ENSG00000065526	E023	174.307292665207	0.0425275219535914	24.2597329650871	8.41806227352314e-07	0.0011250915604861	9.74665873231787	10.9765928994354	0.866638600421193	1	15937163	15937645	483	+	145	146	123	146	124	142	71	86	142	60	87	316	252	216	426	380	273	300	206	98
