groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR12582120_Aligned.sortedByCoord.out	countData.SRR12582121_Aligned.sortedByCoord.out	countData.SRR12582122_Aligned.sortedByCoord.out	countData.SRR12582123_Aligned.sortedByCoord.out	countData.SRR12582124_Aligned.sortedByCoord.out	countData.SRR12582125_Aligned.sortedByCoord.out	countData.SRR12582126_Aligned.sortedByCoord.out	countData.SRR12582127_Aligned.sortedByCoord.out	countData.SRR12582128_Aligned.sortedByCoord.out	countData.SRR12582129_Aligned.sortedByCoord.out	countData.SRR12582130_Aligned.sortedByCoord.out	countData.SRR12582131_Aligned.sortedByCoord.out	countData.SRR12582132_Aligned.sortedByCoord.out	countData.SRR12582133_Aligned.sortedByCoord.out	countData.SRR12582134_Aligned.sortedByCoord.out	countData.SRR12582135_Aligned.sortedByCoord.out	countData.SRR12582136_Aligned.sortedByCoord.out	countData.SRR12582137_Aligned.sortedByCoord.out	countData.SRR12582138_Aligned.sortedByCoord.out	countData.SRR12582139_Aligned.sortedByCoord.out	countData.SRR12582140_Aligned.sortedByCoord.out	countData.SRR12582145_Aligned.sortedByCoord.out	countData.SRR12582146_Aligned.sortedByCoord.out	countData.SRR12582147_Aligned.sortedByCoord.out	countData.SRR12582148_Aligned.sortedByCoord.out	countData.SRR12582149_Aligned.sortedByCoord.out	countData.SRR12582150_Aligned.sortedByCoord.out	countData.SRR12582151_Aligned.sortedByCoord.out	countData.SRR12582152_Aligned.sortedByCoord.out
ENSG00000005810	E022	8.80615378146502	0.0112587056887638	12.8953094769353	0.000329406624084036	0.0431707923480692	0.935679982202962	1.1274188759587	0.702955638761141	13	77064615	77064734	120	-	16	5	2	13	6	3	4	5	7	6	2	8	6	10	8	9	9	8	9	25	9	15	12	15	9	18	13	10	10
ENSG00000005810	E129	36.5142294611496	0.033033730754241	18.1292047252831	2.06411236489706e-05	0.0090621782800428	1.5203989172	1.71495233540497	0.662408423522758	13	77278758	77278911	154	-	35	30	11	62	27	30	16	15	19	16	20	27	32	11	15	26	27	75	100	114	42	37	51	69	50	56	60	51	39
ENSG00000006118	E043	423.216934660264	0.00859307167543764	36.2927428130771	1.69794952446126e-09	9.25134328977812e-06	2.64480238820721	2.53624372077383	-0.361554738419068	11	60936017	60936746	730	+	625	444	572	383	243	357	571	365	437	690	915	460	311	194	280	394	460	510	935	1291	190	397	238	334	302	380	214	271	465
ENSG00000006210	E004	57.8410730478632	0.0420920911473818	13.9475908801579	0.000187978401013904	0.0323696064559542	1.72935979661481	1.88261794207931	0.517241355598054	16	57376972	57379615	2644	+	55	62	61	64	40	37	64	22	50	76	80	41	54	40	31	27	51	99	103	50	18	102	57	77	79	146	46	61	82
ENSG00000006210	E008	1501.05413382368	0.012330369669513	22.949019545678	1.66355033881677e-06	0.00181866897926257	3.20922592716176	3.13375541828638	-0.250876849207966	16	57382479	57385041	2563	+	2282	1449	1359	1738	794	1064	1632	1249	1706	2033	1898	1646	1596	988	989	1407	1210	2038	3181	4024	957	1745	856	1549	1387	1950	1165	1487	1401
ENSG00000006747	E039	13.4940823809068	0.0250217240454178	14.5159443167237	0.000138978276311667	0.0277294937730469	0.973475563118664	1.18458940746872	0.765898784196084	7	12654986	12660182	5197	+	17	7	49	35	24	7	9	0	6	11	42	10	13	11	6	25	3	16	17	21	20	16	17	2	3	0	5	0	19
ENSG00000007202	E001	93.4213583116229	0.0193257743469431	14.0185685650936	0.000181014225675313	0.0317133899036474	2.03090544380346	1.90276587220749	-0.430332495091047	17	28614446	28614881	436	-	117	82	91	146	71	76	87	71	106	126	108	110	105	87	82	105	86	84	139	264	53	107	63	91	67	114	93	87	79
ENSG00000007202	E015	13.4389131558403	0.0353381687466098	19.6709855412795	9.19874990214317e-06	0.00526865219125635	1.08594156007805	1.3459395254285	0.92064085630751	17	28618791	28618971	181	-	5	8	10	14	5	5	7	5	9	6	11	11	11	6	4	5	8	23	21	52	10	16	25	22	18	45	13	11	39
ENSG00000007202	E023	9.09488986515583	0.0231322814233745	19.7205817329244	8.96308276205569e-06	0.00518962491923024	0.920362619544284	1.17380936051772	0.926484517431009	17	28624233	28624390	158	-	3	2	13	8	8	6	4	5	7	6	9	6	9	5	3	5	4	3	6	30	9	11	11	14	18	18	20	11	20
ENSG00000007237	E002	8502.4647166153	0.00320414971581428	17.7666987943522	2.49715993363385e-05	0.0101072191576697	3.94586567274427	3.91525049626573	-0.101713352276175	17	9910609	9915254	4646	-	10110	7900	7370	13271	4201	8692	6688	6136	8755	7841	9958	6686	9261	6234	6887	8870	7805	11310	19058	24751	7430	11115	4729	10429	7631	8746	8729	9510	6980
ENSG00000007541	E040	29.2028276102477	0.0190367936665947	30.6165772961306	3.14396004667246e-08	0.000101222651848117	1.55278827796188	1.32842520386387	-0.773707321390152	16	581761	582247	487	+	36	37	41	34	32	35	42	37	28	48	27	32	29	25	25	31	48	28	34	25	6	21	16	12	38	46	9	12	31
ENSG00000008300	E021	8.73691511982818	0.0351443254808899	13.7343747581973	0.000210565163520089	0.0342076630671822	0.915681897667942	1.13248396593969	0.796506702215249	3	48645742	48645868	127	-	6	9	13	5	12	7	3	4	4	8	21	4	4	6	6	4	10	9	4	4	0	18	14	11	16	16	13	9	17
ENSG00000008710	E028	37.726244859579	0.0173619574794138	12.9592007853738	0.000318353054270427	0.042385836817723	1.54469169486669	1.71494619873363	0.579249187663069	16	2093544	2093738	195	-	37	30	33	32	26	22	19	10	24	44	72	27	43	24	14	31	31	51	48	45	18	41	48	46	43	87	43	43	108
ENSG00000008710	E090	12.6122971731402	0.0103201865456887	14.9516719690529	0.000110300277993598	0.0241703441297777	1.07726746518653	1.27724638729205	0.712144641930557	16	2105865	2106024	160	-	9	10	15	9	4	8	13	6	8	14	24	12	6	7	4	6	7	12	18	20	7	19	11	15	13	41	16	19	30
ENSG00000008838	E072	6.49063800477815	0.012422234488519	13.6725981968621	0.000217606644957052	0.0348101279370178	0.936635287302461	0.681872250744761	-1.00538252129165	17	40035722	40035795	74	-	3	10	5	6	8	15	8	6	7	11	13	4	14	6	7	7	7	3	8	6	6	2	5	5	1	6	3	6	5
ENSG00000008853	E009	17.8546820488689	0.0598328803754743	15.1361717535387	0.000100028260176763	0.0230035769369491	1.21099224923892	1.42943234148709	0.762547381021886	8	22998923	22999161	239	+	21	10	17	12	16	16	11	13	21	16	14	8	27	5	10	5	14	11	15	8	0	31	25	24	25	76	31	36	18
ENSG00000008853	E010	6.93091518763388	0.041163062144704	17.5739440253387	2.76348996403633e-05	0.0107390843771617	0.802995852356646	1.07045080485577	1.00734938116016	8	22999548	22999928	381	+	6	9	8	6	8	4	3	4	5	6	8	3	1	2	4	2	4	4	5	2	2	10	13	4	19	30	11	9	13
ENSG00000009694	E033	14.0630882676111	0.0222440263354009	13.551392366001	0.00023211916267749	0.0359240329459781	1.11113446373633	1.29148574366268	0.639682768423374	X	124895981	124896241	261	-	11	12	8	25	11	11	11	3	18	12	13	11	15	11	11	10	10	20	28	26	20	10	12	22	22	20	20	13	17
ENSG00000009694	E034	21.65278926232	0.0496328616862688	14.1299219772395	0.000170608259209542	0.0308509038698322	1.27846568638561	1.48892537065337	0.729611329077639	X	124963537	124963817	281	-	30	15	13	23	16	19	15	14	13	18	11	19	31	18	16	11	14	30	50	47	27	16	31	30	32	49	18	20	25
ENSG00000009724	E011	13.2380049461176	0.0694778873502828	13.6716736766532	0.000217713807176221	0.0348101279370178	1.20825029429421	0.932087005700859	-1.00458985941721	1	11028962	11028989	28	-	18	20	13	16	9	25	9	9	13	17	29	19	10	13	19	15	13	15	26	31	12	7	3	3	10	20	2	4	11
ENSG00000010282	E006	4.96261596864877	0.0400097658540537	14.2198750496246	0.000162643579768501	0.0302367648256763	0.617925817325916	0.975976520832886	1.42615817997279	3	42693819	42693963	145	-	3	0	3	4	2	2	0	2	1	1	3	1	2	1	2	2	2	6	8	8	0	8	7	4	7	8	5	0	51
ENSG00000010282	E019	11.0714461418457	0.00888886316248229	14.8654942241488	0.000115455743401617	0.0248094798531128	1.18822233457514	0.974970613785955	-0.773251462490517	3	42699758	42699825	68	-	11	8	14	22	17	4	8	12	6	13	25	11	11	5	16	5	7	13	7	24	1	10	12	6	8	7	9	6	34
ENSG00000010318	E003	4.77803217915794	0.0174460859750669	14.4139037961765	0.000146715062481476	0.0283675375540275	0.673000871620166	0.93575107260521	1.03937246974942	3	52411036	52411196	161	+	5	2	3	7	3	5	3	3	4	0	6	7	7	4	1	4	1	6	9	9	2	5	3	4	9	16	4	3	13
ENSG00000010322	E033	304.475559068109	0.0334352920958213	13.0471766315386	0.000303741949530321	0.0413472377204014	2.44350526805778	2.57651952559712	0.443238892398551	3	52481110	52481910	801	+	267	266	396	276	401	288	368	211	258	612	449	260	249	213	167	192	318	213	289	331	67	330	388	316	509	591	257	291	339
ENSG00000010322	E050	1397.68156697505	0.00362064221912064	14.5324744462418	0.000137764190171164	0.0275649021299823	3.15695045828408	3.11282223045612	-0.146698378440128	3	52491872	52493068	1197	+	1831	1581	1803	1542	1105	1426	1492	1118	1450	2534	2031	1379	1311	1062	870	1039	1497	1269	2697	2343	952	1229	1295	1187	1566	1662	950	1198	1228
ENSG00000011028	E008	4.52618277949987	0.0196576146230971	18.9933649574724	1.31173795896522e-05	0.00674903472431952	0.614347596422106	0.924178734675457	1.24801155023764	17	62671649	62671837	189	+	5	3	6	3	3	2	6	0	2	13	15	1	4	3	0	3	5	4	2	10	1	4	1	4	0	8	5	2	22
ENSG00000011083	E018	440.068393004305	0.011260787095777	14.1883407092864	0.000165392164932646	0.0305075323811048	2.70390563141984	2.62370302044413	-0.267007186872329	5	150209534	150211063	1530	+	624	459	433	320	287	414	482	413	510	660	532	405	406	314	311	349	335	533	609	475	167	646	267	499	513	851	395	482	521
ENSG00000011347	E014	72.9161622842836	0.0177129248383417	14.7741874389075	0.00012118300631636	0.0255841094878064	1.83811012768861	1.95875102779461	0.405905876963819	11	61538144	61538266	123	-	91	81	94	72	67	60	54	54	61	116	121	57	52	39	39	52	55	79	92	65	29	79	83	71	96	199	72	86	88
ENSG00000012061	E002	76.8765196478369	0.0211922619343387	51.6582052464947	6.60540086327791e-13	1.75450180705064e-08	1.95069516223779	1.70932332988741	-0.814020167274212	19	45407358	45409545	2188	-	79	70	98	158	73	107	66	46	65	68	160	71	80	83	68	87	86	100	166	225	74	70	44	46	52	65	37	42	50
ENSG00000012822	E001	66.6372778569522	0.0323065607798917	20.6766797037189	5.43742172907592e-06	0.00391665781517467	1.89569645627132	1.65097857597957	-0.827064844468016	12	53708517	53711118	2602	-	47	112	77	128	67	101	58	41	67	58	132	44	114	72	45	65	55	91	159	144	62	70	43	44	51	81	27	36	17
ENSG00000015676	E025	56.3926034164355	0.0262723814951978	14.829216216976	0.000117697939300783	0.0250852439476843	1.72115212642945	1.86924241117086	0.499997981757677	7	44485069	44485274	206	-	55	47	50	52	33	37	49	36	40	37	104	35	69	26	13	37	37	67	97	191	52	77	38	66	62	149	65	66	89
ENSG00000016391	E004	7.74572973244554	0.0252851801899832	26.5297909409831	2.59505213894653e-07	0.000501300376510151	0.851232475300524	1.12110150921852	1.00199617587768	3	53820474	53820608	135	-	6	5	8	5	7	6	6	2	4	13	14	5	5	5	4	3	2	11	8	7	5	21	10	6	16	22	8	12	9
ENSG00000016391	E005	8.67964781725534	0.0498739184780451	18.206049195362	1.98248168531119e-05	0.00881982339737406	0.900772523403832	1.15087486469299	0.918860869761621	3	53821647	53821776	130	-	13	13	8	6	6	3	8	3	6	12	10	5	8	8	4	1	5	12	9	4	4	13	15	7	21	25	9	14	8
ENSG00000016391	E006	7.2237445923187	0.0197349140642977	17.0331823413408	3.67322575211747e-05	0.012615140279205	0.850137472810706	1.05659718852754	0.772916828041947	3	53822491	53822642	152	-	10	3	10	6	6	4	7	3	7	14	12	8	3	4	2	4	3	5	9	10	1	12	13	4	17	17	7	5	13
ENSG00000018625	E018	62.8905887160407	0.0462148143096018	16.6026819131832	4.60858063480133e-05	0.0144865551010479	1.76673698721735	1.9216644575606	0.522173831846538	1	160129266	160129400	135	+	48	38	31	49	57	73	64	46	57	69	159	71	18	28	33	45	34	45	86	116	30	87	74	93	84	165	56	36	133
ENSG00000018625	E025	30.2764434096819	0.0532720605246859	12.8490631931236	0.000337648239655583	0.0437006473079512	1.47293689450594	1.59077977212312	0.40335726480311	1	160136247	160136370	124	+	26	15	25	24	23	21	32	26	36	44	78	32	10	9	10	19	8	13	35	110	16	38	42	47	47	64	25	23	48
ENSG00000019102	E006	21.1476064336962	0.0267929553831782	16.3757176498528	5.1946477638216e-05	0.0155687769714773	1.34779377843219	1.10697202150969	-0.851146480632443	11	124750714	124750921	208	-	14	22	14	59	10	57	19	4	14	14	155	10	35	29	11	12	15	25	53	54	9	10	7	15	7	15	7	8	6
ENSG00000019144	E026	23.850249930972	0.0618063489167647	25.9340295826942	3.53286079770588e-07	0.000627589485618038	1.30194772523041	1.56337856670494	0.902318787864974	11	118629979	118630082	104	+	14	11	26	38	35	11	14	7	13	43	16	11	19	30	18	35	16	22	33	24	6	23	37	24	26	33	19	15	92
ENSG00000019485	E009	27.1776188037909	0.0363901348817968	23.6020970212253	1.18458351268533e-06	0.00140623298525723	1.40356768877317	1.57683288311896	0.594954496014513	11	45208874	45209295	422	+	37	19	17	18	33	16	28	17	25	42	47	26	16	17	8	10	19	19	30	51	9	48	44	46	35	49	27	37	37
ENSG00000019485	E010	81.4329452563272	0.0183623316240997	42.0286297701913	8.99468160839047e-11	1.06183715500651e-06	1.8824967040307	2.0256128888427	0.480790868350016	11	45212469	45214713	2245	+	98	58	62	85	71	51	83	61	50	114	140	69	49	40	39	55	59	77	106	149	48	132	105	115	85	180	115	114	83
ENSG00000019485	E016	675.892466183118	0.0180604576882589	35.9114162798739	2.06495248801111e-09	1.09696987258736e-05	2.885278413598	2.7511052231853	-0.446394865411492	11	45226184	45235109	8926	+	741	674	721	941	423	719	578	517	714	970	1106	614	787	517	524	610	725	936	1365	1461	437	708	421	663	669	877	540	605	478
ENSG00000019582	E005	449.590659961421	0.027822437793604	17.6187772065221	2.6991016207456e-05	0.0105430183951672	2.57234709015909	2.44112703431783	-0.437270292582367	5	150401670	150402169	500	-	350	254	966	2205	442	412	547	143	159	281	2361	411	517	588	366	366	183	505	624	1292	342	244	201	145	105	70	156	77	421
ENSG00000020181	E012	8.70017281732196	0.00901725237686589	16.846625636452	4.05253175062891e-05	0.0133509244850603	0.90475257818894	1.11776758566184	0.785054740576647	8	37833010	37833208	199	+	4	9	9	3	6	5	15	6	6	18	15	10	5	7	0	5	11	8	12	7	2	11	11	13	16	14	4	10	16
ENSG00000023171	E013	5.84503308411213	0.0504866058744933	13.5728449317036	0.000229481305281167	0.0356716686196862	0.742703273450227	1.0108261674971	1.03040752974558	11	123509918	123510037	120	+	6	4	4	9	8	4	6	5	1	9	8	4	0	4	2	4	6	1	7	6	1	10	8	8	14	13	8	4	12
ENSG00000023909	E002	195.346830544816	0.00310117510042113	25.9112047216914	3.57488084537165e-07	0.000627589485618038	2.27992982462982	2.24891661430686	-0.103587261734591	1	93887034	93889159	2126	-	257	205	121	467	129	189	100	140	236	148	127	234	253	286	170	212	174	259	529	527	206	207	184	242	111	145	166	143	54
ENSG00000025796	E036	6.87425310095352	0.0255306058030095	13.0872333288299	0.000297315148697421	0.0408386476355276	0.825400490276281	1.03989682776694	0.808132550958828	6	107957222	107957340	119	-	8	5	3	15	6	10	3	3	7	9	7	4	3	7	8	2	5	6	13	13	6	14	10	7	16	11	4	6	5
ENSG00000026036	E003	30.9444520413911	0.00539210287164368	16.502220615762	4.85931290864792e-05	0.0148880296211581	1.54083183486472	1.42030887599506	-0.414110089695923	20	63687771	63687936	166	+	32	27	45	37	38	36	39	23	22	72	116	34	34	21	19	22	36	24	29	12	4	31	17	23	26	55	13	23	27
ENSG00000030110	E002	95.7542203561652	0.00726478474495184	14.4707541799998	0.000142352618999695	0.0279267807335513	2.00317439786377	1.9583054963868	-0.150626548147897	6	33572552	33573907	1356	-	127	90	74	148	72	68	65	59	87	121	158	74	93	99	54	64	94	116	209	375	109	98	69	84	91	133	60	62	116
ENSG00000030582	E055	24.0238370760356	0.0152375387090911	12.8868169458614	0.000330904736539997	0.0431707923480692	1.43090428981484	1.28435958348988	-0.509279389369018	17	44352716	44353043	328	+	20	12	30	57	26	16	36	15	15	36	91	9	19	11	11	14	13	33	63	119	19	8	22	18	11	20	21	14	20
ENSG00000033627	E042	11.1252422377439	0.0358870782497955	16.2076004320465	5.67659088490749e-05	0.0163446589011741	1.1444044083244	0.875792964684946	-0.991028604209943	17	42478950	42479049	100	+	17	5	13	18	12	13	11	14	17	24	24	7	13	10	13	11	16	8	20	16	6	10	1	9	6	7	5	5	10
ENSG00000033627	E055	14.3380005630532	0.0498458259336045	13.6545830214474	0.000219704410004129	0.0348690799107102	1.10934505488881	1.3560239746081	0.871209573295989	17	42494342	42494473	132	+	12	11	6	17	4	12	9	3	9	4	8	16	21	7	6	8	5	17	26	45	25	28	13	21	17	41	22	24	13
ENSG00000034053	E008	3.44402657695661	0.0240833427218489	12.8982271289565	0.000328893519964114	0.0431707923480692	0.549815983860101	0.813945699768079	1.11489380445645	15	28919367	28919487	121	+	2	2	3	1	2	3	1	1	4	6	8	1	4	1	1	3	1	3	3	0	2	4	3	4	6	9	4	11	8
ENSG00000035681	E063	32.0093576008606	0.0365299418856983	13.9449908700232	0.000188238571002295	0.0323881608647699	1.45060165598416	1.63938087216041	0.645673513115685	8	58637234	58637389	156	-	29	33	24	34	22	42	23	23	31	24	12	41	46	26	21	32	23	30	40	42	21	50	32	49	34	33	41	39	52
ENSG00000038219	E009	20.4338379370467	0.0727604515312006	22.3013007810755	2.33048690279526e-06	0.00232493968749143	1.42402974404809	1.0118233032812	-1.46163141826041	4	13577632	13578201	570	-	26	16	7	75	23	46	6	15	18	23	31	21	45	61	16	18	15	17	61	43	10	16	8	11	13	10	6	6	6
ENSG00000038382	E026	14.9509518978723	0.0182000290697655	13.8190033146618	0.000201289987236068	0.0334165434559869	1.24386900752023	1.03181225384078	-0.76044054758218	5	14366860	14366979	120	+	24	15	16	22	18	18	29	16	10	16	19	18	24	20	10	14	10	16	22	18	12	12	9	13	7	7	12	8	11
ENSG00000039650	E054	4.50981803994138	0.0281814057333052	14.6455429731683	0.000129741084793149	0.0265854120838483	0.812723033185397	0.498168011095024	-1.3550415451459	19	49865954	49866031	78	-	9	7	14	8	3	5	5	1	3	11	17	5	6	3	2	4	5	2	6	2	1	1	1	0	6	4	1	2	3
ENSG00000040608	E002	326.29149736732	0.0246085485536216	16.7386220622964	4.28987484021455e-05	0.0139091847440494	2.57785480787301	2.47069761539099	-0.357038890570786	22	20241417	20242596	1180	-	668	297	389	216	197	190	418	331	281	513	481	386	228	142	165	323	253	451	508	578	78	410	253	439	334	514	247	390	251
ENSG00000041802	E001	168.762493087216	0.0137715122846726	17.3169136977544	3.16358475330472e-05	0.0114716657847096	2.24706817838286	2.18302619724359	-0.214048616774094	3	194640791	194642112	1322	-	186	134	123	405	136	125	119	103	152	198	367	108	150	197	119	157	125	196	305	717	165	174	133	155	136	144	126	128	181
ENSG00000041802	E017	27.0112123934499	0.0291802987152961	15.4632682614507	8.41242879409173e-05	0.0206656905403807	1.40688818399048	1.56445711240596	0.541225545447048	3	194652814	194653102	289	-	22	21	15	55	15	9	17	16	11	16	65	17	19	22	9	23	22	34	39	121	26	26	25	36	31	68	21	21	54
ENSG00000042445	E002	52.1619125391809	0.0182477691793638	24.7018865468248	6.69186384759954e-07	0.000947982816378646	1.77124545262966	1.58007832990862	-0.648851600692407	2	85342088	85342681	594	-	49	49	45	109	42	50	56	47	58	64	80	43	41	39	42	42	59	57	81	348	37	60	28	33	39	32	41	33	20
ENSG00000042753	E013	12.8172497724232	0.0304801837012003	17.47082076455	2.91751354027991e-05	0.0110969655026945	1.11494991551935	1.2741682270789	0.565257221118428	19	46845993	46846142	150	-	10	9	7	14	4	10	15	3	6	15	16	3	8	6	1	6	8	16	28	74	12	18	17	28	10	21	26	15	15
ENSG00000044115	E018	5.08477037634895	0.0304724991665959	13.4190234172189	0.000249085339972732	0.0371691651311979	0.831887912515757	0.494285756295966	-1.4489285532783	5	138782290	138782403	114	+	2	6	1	15	9	5	4	3	5	5	13	7	15	8	4	4	4	6	13	17	5	4	3	0	4	1	1	1	1
ENSG00000044574	E002	157.941068141163	0.0252891794764401	17.4924193826499	2.88455545305845e-05	0.0110841669125178	2.20310063919479	2.05037201166218	-0.511191623366429	9	125234860	125236488	1629	-	206	101	185	231	81	131	154	77	137	166	251	107	123	123	115	125	119	174	305	1111	394	159	116	109	61	83	91	76	78
ENSG00000046653	E006	363.669932009598	0.0123579976969406	14.3977518530478	0.000147978871144677	0.0285081362340397	2.57182972374422	2.45056737693687	-0.404074138018617	X	13774337	13774624	288	-	244	253	148	1053	356	291	181	218	259	186	306	249	247	423	386	409	324	460	885	3172	507	328	392	300	241	281	212	113	179
