ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
290	ENSG00000154767	XPC	chr3	-	14147289	14148001	14147289	14147379	14147907	14148001	290	48,25,44,116,50,34,47,32,25,25,67,38,50,27,33,56,43,30,43,28,20	17,6,13,14,11,13,16,3,9,12,29,8,19,21,4,12,11,7,14,30,6	27,38,29,48,58,13,40,35	19,15,13,17,33,14,8,38	603	75	0.00178981023204	0.0245650767764	0.26,0.341,0.296,0.508,0.361,0.245,0.268,0.57,0.257,0.206,0.223,0.371,0.247,0.138,0.506,0.367,0.327,0.348,0.276,0.104,0.293	0.15,0.24,0.217,0.26,0.179,0.104,0.383,0.103	0.106
305	ENSG00000177239	MAN1B1	chr9	+	137101483	137106315	137101483	137101672	137106124	137106315	305	431,318,323,516,318,456,345,245,304,516,1158,288,341,290,234,311,397,310,465,297,136	38,26,38,46,12,32,39,15,34,37,52,30,23,32,17,31,22,30,71,62,22	438,325,418,504,749,266,398,875	33,19,18,9,30,15,19,26	4527	75	1.0590518229e-07	8.2113459943e-06	0.158,0.168,0.123,0.157,0.305,0.191,0.128,0.213,0.129,0.188,0.27,0.137,0.197,0.131,0.186,0.143,0.23,0.146,0.098,0.074,0.093	0.18,0.221,0.278,0.481,0.293,0.227,0.258,0.358	-0.122
348	ENSG00000225470	JPX	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	348	11,15,10,43,20,13,13,19,21,28,16,8,23,16,6,24,26,15,32,23,2	8,2,2,3,4,6,4,7,5,9,2,8,7,2,5,5,7,8,5,12,2	7,7,3,13,18,7,7,18	7,4,6,14,8,2,7,5	184	75	0.00270708907849	0.0331411321457	0.359,0.754,0.671,0.854,0.671,0.469,0.57,0.525,0.631,0.559,0.765,0.29,0.573,0.765,0.328,0.662,0.602,0.433,0.723,0.439,0.29	0.29,0.416,0.169,0.275,0.478,0.588,0.29,0.595	0.181
438	ENSG00000130714	POMT1	chr9	+	131509902	131510415	131509902	131510062	131510259	131510415	438	59,49,80,77,51,74,56,22,61,76,192,61,73,56,50,46,69,60,101,45,15	2,3,2,0,3,4,1,0,4,5,13,1,0,5,0,2,1,9,8,8,3	45,39,83,60,104,54,72,52	2,0,4,3,1,0,2,1	272	75	0.0012840101414	0.0189189648344	0.891,0.818,0.917,1.0,0.824,0.836,0.939,1.0,0.808,0.807,0.803,0.944,1.0,0.755,1.0,0.864,0.95,0.648,0.777,0.608,0.58	0.861,1.0,0.851,0.847,0.966,1.0,0.908,0.935	-0.075
445	ENSG00000130714	POMT1	chr9	+	131522931	131523799	131522931	131523170	131523346	131523799	445	177,113,135,207,116,150,112,58,110,181,209,152,100,103,79,116,116,136,213,225,61	1,2,4,1,1,7,3,1,3,2,9,0,1,6,3,4,4,1,4,6,2	116,57,80,129,137,59,84,59	0,0,2,0,1,0,0,0	251	75	1.20879040111e-08	1.39893435738e-06	0.981,0.944,0.91,0.984,0.972,0.865,0.918,0.945,0.916,0.964,0.874,1.0,0.968,0.837,0.887,0.897,0.897,0.976,0.941,0.918,0.901	1.0,1.0,0.923,1.0,0.976,1.0,1.0,1.0	-0.059
454	ENSG00000234912	SNHG20	chr17	+	77088748	77089271	77088748	77088949	77089152	77089271	454	17,3,27,6,10,14,9,6,14,10,35,8,6,12,3,13,21,11,10,6,1	19,19,20,34,15,36,26,15,15,33,39,14,14,19,16,16,17,18,25,52,35	11,22,14,15,32,6,6,21	14,9,14,13,29,7,8,10	278	75	6.54381898224e-07	4.02370278166e-05	0.194,0.041,0.267,0.045,0.152,0.095,0.085,0.097,0.201,0.076,0.195,0.134,0.104,0.146,0.048,0.18,0.25,0.142,0.097,0.03,0.008	0.175,0.397,0.212,0.237,0.229,0.188,0.168,0.362	-0.123
490	ENSG00000115556	PLCD4	chr2	+	218628028	218629663	218628028	218628230	218629518	218629663	490	45,58,40,66,72,41,30,26,38,90,59,45,46,78,17,22,55,28,39,14,36	3,2,1,0,1,2,2,2,5,6,2,4,0,2,1,0,1,1,5,13,3	18,36,27,36,47,19,17,17	0,1,0,1,2,0,0,1	1363	75	4.28132634567e-07	2.81722540193e-05	0.452,0.615,0.688,1.0,0.798,0.53,0.452,0.417,0.295,0.452,0.619,0.382,1.0,0.682,0.483,1.0,0.752,0.606,0.3,0.056,0.398	1.0,0.665,1.0,0.665,0.564,1.0,1.0,0.483	-0.227
507	ENSG00000148288	GBGT1	chr9	-	133155900	133156065	133155900	133155936	133156014	133156065	507	2,11,13,22,3,14,12,4,5,4,20,3,15,2,10,1,14,7,16,10,3	1,3,5,9,3,2,3,1,1,1,4,2,1,3,1,6,5,9,7,3,0	8,18,16,9,11,9,11,18	3,4,1,0,3,0,1,1	153	75	0.0010020228457	0.0154664081832	0.495,0.643,0.56,0.545,0.329,0.774,0.662,0.662,0.71,0.662,0.71,0.424,0.88,0.246,0.831,0.076,0.579,0.276,0.528,0.62,1.0	0.567,0.688,0.887,1.0,0.643,1.0,0.844,0.898	-0.234
511	ENSG00000107796	ACTA2	chr10	-	88939506	88941390	88939506	88939698	88941228	88941390	511	130,139,206,184,153,180,110,95,171,260,159,233,171,151,172,141,211,227,340,395,110	26,60,15,40,78,4,118,10,26,138,81,74,36,28,22,12,77,46,147,145,33	226,226,227,227,224,241,204,90	11,19,10,14,3,5,9,20	1605	75	2.71900613136e-10	5.1312262879e-08	0.189,0.098,0.391,0.177,0.084,0.678,0.042,0.307,0.235,0.081,0.084,0.128,0.182,0.201,0.268,0.354,0.114,0.187,0.098,0.113,0.135	0.49,0.357,0.515,0.431,0.777,0.693,0.514,0.174	-0.296
512	ENSG00000107796	ACTA2	chr10	-	88947257	88948953	88947257	88947386	88948801	88948953	512	55,49,77,61,109,52,63,59,57,117,39,242,76,58,53,40,113,52,125,127,24	29,73,45,43,99,5,168,22,20,134,142,123,40,21,14,14,101,29,159,172,38	98,83,70,58,59,85,65,15	10,10,6,3,8,6,6,28	1490	75	0	0.0	0.087,0.033,0.079,0.067,0.053,0.344,0.019,0.119,0.125,0.042,0.014,0.09,0.087,0.122,0.16,0.126,0.053,0.083,0.038,0.036,0.031	0.33,0.295,0.37,0.493,0.271,0.416,0.353,0.026	-0.233
543	ENSG00000112159	MDN1	chr6	-	89655763	89658370	89655763	89655968	89656699	89658370	543	83,47,35,118,40,49,57,35,61,50,67,42,102,54,56,60,72,36,109,82,54	47,41,44,43,29,31,27,20,46,50,74,27,33,22,16,28,39,40,41,105,17	29,37,45,51,49,40,40,35	46,37,58,55,47,49,30,63	806	75	2.03599137549e-10	4.01861143448e-08	0.141,0.096,0.069,0.203,0.114,0.128,0.164,0.14,0.11,0.085,0.078,0.126,0.223,0.186,0.246,0.166,0.147,0.077,0.198,0.068,0.228	0.055,0.085,0.067,0.079,0.088,0.071,0.11,0.049	0.067
544	ENSG00000112159	MDN1	chr6	-	89656699	89658370	89656699	89656801	89658208	89658370	544	175,168,154,352,163,214,142,133,191,145,191,147,278,261,194,221,235,189,300,190,150	40,33,39,26,32,22,27,26,34,46,45,21,27,12,14,26,18,22,23,51,16	121,130,163,118,146,134,95,121	26,18,31,20,65,28,22,39	1482	75	3.04079080019e-05	0.000932818065682	0.181,0.205,0.167,0.407,0.205,0.33,0.21,0.206,0.221,0.138,0.177,0.262,0.343,0.524,0.412,0.301,0.398,0.303,0.398,0.159,0.322	0.191,0.268,0.21,0.23,0.102,0.195,0.179,0.136	0.091
555	ENSG00000032742	IFT88	chr13	+	20567669	20567997	20567669	20567785	20567884	20567997	555	5,1,5,34,5,10,7,6,6,7,17,6,9,8,11,16,6,12,19,33,11	1,0,0,6,0,0,0,1,0,0,5,1,0,0,2,0,0,1,4,11,1	12,12,10,7,5,6,9,13	0,0,0,2,0,0,0,1	174	75	0.000923302151879	0.0146231466559	0.683,1.0,1.0,0.71,1.0,1.0,1.0,0.721,1.0,1.0,0.594,0.721,1.0,1.0,0.703,1.0,1.0,0.838,0.672,0.564,0.826	1.0,1.0,1.0,0.601,1.0,1.0,1.0,0.849	-0.073
630	ENSG00000178035	IMPDH2	chr3	-	49026518	49027047	49026518	49026609	49026686	49027047	630	12,7,15,27,4,10,10,4,12,11,33,11,9,11,7,10,6,12,16,25,7	46,59,53,74,41,41,61,43,38,64,71,29,60,85,36,39,35,64,124,263,87	11,10,6,23,19,9,4,8	48,34,36,22,34,29,38,30	152	75	0.00267709634214	0.0329491207672	0.114,0.055,0.123,0.153,0.046,0.107,0.075,0.044,0.135,0.078,0.187,0.158,0.069,0.06,0.088,0.112,0.078,0.085,0.06,0.045,0.038	0.102,0.127,0.076,0.34,0.216,0.133,0.049,0.116	-0.054
635	ENSG00000178035	IMPDH2	chr3	-	49027709	49028532	49027709	49027916	49028430	49028532	635	70,41,30,119,49,64,40,39,39,60,179,36,66,64,43,44,29,31,66,149,31	4,1,0,15,0,3,0,0,1,0,8,0,6,7,0,1,0,1,4,9,14	46,56,78,42,59,28,52,29	1,0,1,0,0,0,2,0	589	75	1.74777570194e-09	2.59061723339e-07	0.69,0.839,1.0,0.503,1.0,0.731,1.0,1.0,0.832,1.0,0.74,1.0,0.583,0.538,1.0,0.849,1.0,0.798,0.678,0.678,0.22	0.854,1.0,0.909,1.0,1.0,1.0,0.768,1.0	-0.147
661	ENSG00000182944	EWSR1	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	661	882,1001,931,1766,1331,1192,752,728,1002,1099,1230,902,1153,967,1129,1175,1377,1011,1559,1235,577	46,45,32,67,28,34,46,38,44,61,82,43,39,28,32,29,42,32,101,157,22	1267,1285,1271,1151,1289,1049,911,693	36,24,13,20,20,13,20,26	2850	75	5.60012798356e-08	5.00111429389e-06	0.335,0.369,0.434,0.41,0.556,0.48,0.301,0.335,0.375,0.322,0.283,0.356,0.438,0.476,0.481,0.516,0.463,0.454,0.289,0.172,0.408	0.481,0.585,0.72,0.602,0.629,0.68,0.545,0.412	-0.189
662	ENSG00000182944	EWSR1	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	662	886,1003,934,1774,1338,1196,756,732,1005,1105,1236,907,1158,971,1136,1181,1378,1015,1563,1245,578	68,70,54,98,25,51,63,35,60,77,129,53,69,59,34,59,58,43,121,166,38	1273,1293,1276,1156,1292,1052,913,694	56,26,24,23,22,16,29,45	2853	75	3.83020671069e-07	2.58849510272e-05	0.255,0.274,0.313,0.322,0.585,0.381,0.24,0.355,0.306,0.274,0.201,0.31,0.306,0.302,0.468,0.345,0.384,0.383,0.253,0.165,0.286	0.374,0.567,0.583,0.569,0.607,0.633,0.453,0.288	-0.19
663	ENSG00000182944	EWSR1	chr22	+	29298732	29299280	29298732	29298895	29299194	29299280	663	73,42,65,93,44,61,64,41,58,51,209,33,57,45,50,54,64,67,73,139,25	1,1,0,8,2,2,2,0,1,3,12,3,3,2,2,3,2,2,1,5,0	52,41,51,64,109,59,37,97	4,0,1,1,0,2,0,3	374	75	0.00169730546934	0.0235784018116	0.936,0.894,1.0,0.7,0.815,0.859,0.865,1.0,0.921,0.773,0.777,0.688,0.792,0.819,0.834,0.783,0.865,0.87,0.936,0.848,1.0	0.723,1.0,0.911,0.928,1.0,0.855,1.0,0.866	-0.054
702	ENSG00000105397	TYK2	chr19	-	10364850	10365898	10364850	10365048	10365516	10365898	702	27,42,58,36,22,22,25,13,24,94,78,33,18,10,24,20,23,45,21,16,10	24,21,24,24,29,23,28,14,28,36,96,13,20,10,16,29,22,29,25,37,6	48,29,35,32,57,19,30,76	20,12,17,19,36,5,12,42	543	75	3.23164649371e-05	0.000970658505408	0.134,0.216,0.25,0.172,0.095,0.117,0.11,0.114,0.106,0.265,0.101,0.26,0.111,0.121,0.172,0.087,0.126,0.176,0.104,0.056,0.187	0.249,0.25,0.221,0.189,0.179,0.344,0.257,0.2	-0.089
745	ENSG00000198818	SFT2D1	chr6	-	166322856	166324595	166322856	166322886	166324536	166324595	745	108,131,93,287,141,150,97,145,122,121,145,95,191,176,137,140,165,124,251,267,144	39,31,32,106,42,31,26,26,35,31,35,21,33,48,22,41,29,53,107,371,33	154,122,142,94,155,89,113,138	36,39,49,8,15,30,21,22	1725	75	0.00207805725801	0.0273843592814	0.107,0.155,0.112,0.105,0.127,0.174,0.14,0.195,0.132,0.145,0.153,0.164,0.201,0.137,0.213,0.129,0.198,0.092,0.093,0.03,0.159	0.157,0.12,0.112,0.338,0.31,0.114,0.19,0.214	-0.053
757	ENSG00000137841	PLCB2	chr15	-	40291264	40291924	40291264	40291487	40291848	40291924	757	20,12,66,43,13,23,20,12,16,24,133,23,30,21,7,30,20,12,25,33,18	1,2,2,0,2,2,2,0,1,0,2,0,1,1,2,3,1,1,4,5,4	16,4,14,7,8,5,5,42	2,1,0,0,0,0,0,4	436	75	0.000310859775655	0.0062184389522	0.775,0.508,0.85,1.0,0.528,0.664,0.632,1.0,0.733,1.0,0.92,1.0,0.838,0.783,0.376,0.632,0.775,0.674,0.518,0.532,0.436	0.579,0.408,1.0,1.0,1.0,1.0,1.0,0.644	-0.106
876	ENSG00000250241	PCDH10-DT	chr4	-	133109839	133110910	133109839	133110099	133110785	133110910	876	32,33,15,115,32,57,27,26,52,40,39,29,50,85,46,69,46,60,80,98,35	1,0,0,2,0,3,0,0,2,0,0,2,0,1,0,0,0,0,0,4,0	42,29,23,24,74,45,26,29	1,1,4,1,0,1,3,0	761	75	0.000809333808261	0.0133108694145	0.759,1.0,1.0,0.85,1.0,0.652,1.0,1.0,0.719,1.0,1.0,0.588,1.0,0.893,1.0,1.0,1.0,1.0,1.0,0.707,1.0	0.805,0.741,0.362,0.703,1.0,0.816,0.461,1.0	0.177
946	ENSG00000070423	RNF126	chr19	-	648881	649748	648881	648975	649678	649748	946	31,53,22,47,37,36,28,36,23,40,58,26,34,21,32,30,40,16,47,48,11	23,23,18,78,18,31,23,19,23,18,54,25,22,34,16,33,19,53,80,91,30	35,41,19,35,45,19,36,45	35,18,18,20,19,21,32,7	778	75	0.0031867484974	0.0370626261291	0.115,0.182,0.105,0.055,0.165,0.101,0.105,0.154,0.088,0.176,0.094,0.091,0.13,0.056,0.162,0.081,0.169,0.028,0.054,0.048,0.034	0.088,0.18,0.092,0.144,0.186,0.08,0.098,0.383	-0.052
1016	ENSG00000288550	NA	chr3	+	9923880	9924291	9923880	9924137	9924231	9924291	1016	4,20,16,17,26,6,4,6,14,9,15,6,5,13,11,13,12,13,18,4,7	4,0,4,2,2,3,8,3,0,5,1,0,3,1,1,2,1,3,3,3,0	4,15,6,26,11,3,5,6	2,0,1,1,1,0,1,1	169	75	6.85339694964e-05	0.0017897565611	0.307,1.0,0.64,0.79,0.852,0.47,0.182,0.47,1.0,0.444,0.869,1.0,0.425,0.852,0.83,0.743,0.842,0.658,0.727,0.372,1.0	0.47,1.0,0.727,0.92,0.83,1.0,0.689,0.727	-0.106
1020	ENSG00000158850	B4GALT3	chr1	-	161173604	161174049	161173604	161173727	161173858	161174049	1020	19,8,22,19,30,18,34,5,13,41,33,10,17,17,8,18,20,12,20,17,13	32,27,11,26,16,17,27,17,8,32,27,17,18,14,9,19,26,19,47,65,12	37,21,15,33,51,27,27,40	24,9,30,17,27,24,25,18	206	75	0.00110772885395	0.0168637808177	0.178,0.097,0.421,0.21,0.406,0.278,0.314,0.097,0.372,0.318,0.308,0.176,0.256,0.307,0.244,0.256,0.219,0.187,0.134,0.087,0.283	0.36,0.459,0.154,0.414,0.407,0.291,0.282,0.447	-0.107
1088	ENSG00000159403	C1R	chr12	-	7088838	7089489	7088838	7088986	7089292	7089489	1088	3,6,9,11,13,6,7,2,2,15,17,14,5,9,12,4,27,1,5,1,2	6,35,20,41,30,11,28,10,5,33,26,14,15,36,5,9,43,17,90,26,16	6,11,3,10,14,1,7,2	6,33,5,2,8,2,5,8	381	75	0.00275366959649	0.0335880528099	0.09,0.033,0.081,0.05,0.079,0.097,0.047,0.038,0.073,0.082,0.114,0.164,0.062,0.047,0.321,0.08,0.11,0.011,0.011,0.008,0.024	0.164,0.062,0.106,0.496,0.256,0.09,0.216,0.047	-0.102
1101	ENSG00000105426	PTPRS	chr19	-	5218419	5219467	5218419	5218532	5219309	5219467	1101	85,80,50,78,68,101,91,62,42,76,128,57,64,50,89,102,72,82,80,67,23	1,3,0,9,0,2,1,2,3,0,13,1,6,7,2,1,2,0,11,13,7	88,103,65,85,120,69,27,139	3,1,3,0,1,0,1,0	852	75	1.45164939496e-05	0.000504145737791	0.882,0.701,1.0,0.433,1.0,0.816,0.889,0.732,0.552,1.0,0.464,0.834,0.484,0.386,0.797,0.9,0.76,1.0,0.39,0.312,0.224	0.721,0.901,0.656,1.0,0.914,1.0,0.704,1.0	-0.169
1111	ENSG00000143669	LYST	chr1	-	235826339	235830424	235826339	235829039	235830225	235830424	1111	126,92,47,200,99,141,34,65,112,65,66,94,103,113,115,105,136,118,172,124,119	1,1,0,9,0,0,1,0,1,0,6,2,0,1,0,0,0,1,9,6,12	151,115,133,101,84,111,106,38	0,0,2,0,1,0,2,0	1261	75	4.99714291391e-07	3.18353015445e-05	0.882,0.845,1.0,0.569,1.0,1.0,0.669,1.0,0.869,1.0,0.395,0.737,1.0,0.87,1.0,1.0,1.0,0.875,0.532,0.551,0.371	1.0,1.0,0.798,1.0,0.833,1.0,0.759,1.0	-0.106
1123	ENSG00000140368	PSTPIP1	chr15	+	77031179	77032394	77031179	77031278	77032297	77032394	1123	9,22,17,31,31,28,16,11,18,30,68,30,30,13,13,27,30,5,41,24,10	3,2,1,5,5,2,2,0,2,0,1,4,2,1,0,0,3,7,6,5,4	14,28,15,32,39,9,8,43	1,0,1,2,1,0,0,0	1094	75	3.46279097618e-08	3.27170439128e-06	0.171,0.43,0.538,0.298,0.298,0.49,0.354,1.0,0.382,1.0,0.823,0.34,0.507,0.471,1.0,1.0,0.407,0.047,0.319,0.248,0.146	0.49,1.0,0.507,0.523,0.728,1.0,1.0,1.0	-0.292
1125	ENSG00000140368	PSTPIP1	chr15	+	77031179	77032952	77031179	77032394	77032861	77032952	1125	2,8,3,14,13,11,3,5,10,9,19,9,13,9,8,2,7,2,9,10,4	1,2,0,8,6,0,1,2,1,4,0,2,1,1,0,0,1,4,10,8,2	9,11,3,5,5,6,2,8	0,1,0,0,0,0,0,4	542	75	2.7874186137e-07	1.96336344889e-05	0.217,0.356,1.0,0.195,0.231,1.0,0.293,0.257,0.58,0.237,1.0,0.384,0.643,0.555,1.0,1.0,0.492,0.065,0.111,0.147,0.217	1.0,0.604,1.0,1.0,1.0,1.0,1.0,0.217	-0.377
1134	ENSG00000105135	ILVBL	chr19	-	15122692	15123030	15122692	15122804	15122891	15123030	1134	10,5,12,9,12,4,11,10,8,9,31,10,7,5,5,9,11,7,12,12,3	33,34,36,48,25,35,46,20,39,61,94,24,26,29,22,36,44,40,57,192,27	9,9,7,13,24,4,10,33	28,23,29,19,31,17,13,73	162	75	2.76128811783e-06	0.000127862980345	0.123,0.064,0.134,0.08,0.182,0.05,0.1,0.188,0.087,0.064,0.132,0.162,0.111,0.074,0.095,0.104,0.104,0.075,0.089,0.028,0.049	0.13,0.153,0.101,0.241,0.264,0.098,0.263,0.173	-0.078
1148	ENSG00000198208	RPS6KL1	chr14	-	74909100	74910148	74909100	74909190	74909542	74910148	1148	59,45,47,74,46,26,48,38,41,113,154,60,61,44,27,64,44,100,86,84,28	11,7,10,8,5,4,11,5,6,14,5,7,6,11,2,5,10,9,5,17,5	71,41,89,98,189,68,80,140	5,4,7,4,9,6,7,5	427	75	0.000101569157848	0.00250838201678	0.485,0.53,0.452,0.619,0.618,0.533,0.434,0.572,0.546,0.586,0.844,0.601,0.641,0.413,0.703,0.692,0.436,0.661,0.751,0.465,0.496	0.714,0.643,0.691,0.811,0.787,0.666,0.667,0.831	-0.151
1204	ENSG00000012822	CALCOCO1	chr12	-	53713700	53714241	53713700	53713900	53714132	53714241	1204	121,162,237,141,197,147,159,89,85,234,312,130,114,78,99,119,157,100,135,83,18	113,102,70,127,64,85,111,82,92,157,195,93,79,45,58,88,85,71,150,236,50	163,160,176,186,273,125,114,181	90,62,89,115,132,58,56,118	307	75	3.66879893875e-05	0.00106672462167	0.207,0.28,0.453,0.213,0.429,0.297,0.259,0.21,0.184,0.267,0.281,0.255,0.261,0.297,0.294,0.248,0.311,0.256,0.18,0.079,0.081	0.307,0.387,0.326,0.283,0.336,0.345,0.332,0.273	-0.069
1295	ENSG00000079616	KIF22	chr16	+	29803997	29805026	29803997	29804065	29804813	29805026	1295	61,43,49,108,50,84,55,30,41,71,178,36,58,43,48,60,66,57,85,96,31	18,12,10,26,11,14,20,9,13,15,41,10,20,12,6,13,9,15,31,31,6	53,69,62,54,90,48,50,59	9,9,12,4,10,7,10,7	823	75	0.000448425521907	0.00830583716688	0.236,0.246,0.309,0.275,0.293,0.353,0.2,0.233,0.223,0.301,0.283,0.247,0.209,0.246,0.422,0.296,0.401,0.257,0.2,0.22,0.32	0.349,0.411,0.32,0.552,0.451,0.385,0.313,0.434	-0.127
