	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
LMNB1	ENSG00000113368	ENSG00000113368;A5:5:126777252-126804776:126777244-126804776:+	-0.2201345815	0.0014985015
LMNB1	ENSG00000113368	ENSG00000113368;A5:5:126777867-126804776:126777252-126804776:+	0.0618603755	0.011988012
TRIM23	ENSG00000113595	ENSG00000113595;A5:5:65591502-65591843:65591502-65591872:-	-0.6666666667	0.002997003
MAPKAPK3	ENSG00000114738	ENSG00000114738;A5:3:50617241-50617514:50617226-50617514:+	-0.096566091	0.0104895105
RGS4	ENSG00000117152	ENSG00000117152;A5:1:163069528-163072395:163069408-163072395:+	0.1336929916	0.0164835165
C19orf25	ENSG00000119559	ENSG00000119559;A5:19:1478905-1479114:1478905-1479140:-	0.1695752652	0.041958042
C19orf25	ENSG00000119559	ENSG00000119559;A5:19:1478905-1479140:1478905-1479163:-	-0.0891877713	0.04995005
ARL1	ENSG00000120805	ENSG00000120805;A5:12:101405981-101407011:101405981-101407278:-	0.5691400027	0.0044955045
ARL1	ENSG00000120805	ENSG00000120805;A5:12:101405981-101407278:101405981-101407378:-	-0.430928831	0.0074925075
HYCC1	ENSG00000122591	ENSG00000122591;A5:7:22946163-22946952:22946163-22947033:-	0.1308738897	0.0494505495
DDX54	ENSG00000123064	ENSG00000123064;A5:12:113161997-113162896:113161997-113162932:-	0.1233520696	0.016983017
OBSL1	ENSG00000124006	ENSG00000124006;A5:2:219568324-219570221:219568324-219571394:-	-0.2076885087	0.008991009
POLR1B	ENSG00000125630	ENSG00000125630;A5:2:112542166-112542396:112542088-112542396:+	0.2779501719	0.032967033
ZNF384	ENSG00000126746	ENSG00000126746;A5:12:6688226-6688703:6688226-6688837:-	-0.1664239062	0.027972028
TRMT5	ENSG00000126814	ENSG00000126814;A5:14:60979886-60980844:60979886-60980963:-	-0.1420195988	0.041958042
TRMT5	ENSG00000126814	ENSG00000126814;A5:14:60979886-60980844:60979886-60981024:-	-0.3219664979	0.041958042
METTL26	ENSG00000130731	ENSG00000130731;A5:16:635340-635518:635340-635612:-	-0.127687977	0.0174825175
PPFIA1	ENSG00000131626	ENSG00000131626;A5:11:70338453-70339171:70338434-70339171:+	-0.0828241707	0.047952048
CDK4	ENSG00000135446	ENSG00000135446;A5:12:57751090-57751207:57751090-57751500:-	-0.1894043	0.013986014
DGKB	ENSG00000136267	ENSG00000136267;A5:7:14736194-14757655:14736194-14757690:-	-0.3181098549	0.0374625375
RPL35	ENSG00000136942	ENSG00000136942;A5:9:124858067-124858276:124858067-124858458:-	-0.2350913447	0.040959041
AMIGO2	ENSG00000139211	ENSG00000139211;A5:12:47079065-47079142:47079065-47079147:-	-0.1717041909	0.037962038
CMTM3	ENSG00000140931	ENSG00000140931;A5:16:66604449-66604731:66604182-66604731:+	-0.5169340656	0.0134865135
NPEPPS	ENSG00000141279	ENSG00000141279;A5:17:47586244-47586365:47585745-47586365:+	0.5960115986	0.002997003
DYM	ENSG00000141627	ENSG00000141627;A5:18:49363233-49368602:49363233-49368672:-	-0.302872109	0.008991009
MIEN1	ENSG00000141741	ENSG00000141741;A5:17:39729761-39730194:39729761-39730354:-	-0.0654462064	0.042957043
PHOSPHO2	ENSG00000144362	ENSG00000144362;A5:2:169694741-169695215:169694622-169695215:+	-0.1361403826	0.033966034
VGLL4	ENSG00000144560	ENSG00000144560;A5:3:11703047-11719417:11703047-11719579:-	-0.1988174368	0.025974026
SNCA	ENSG00000145335	ENSG00000145335;A5:4:89835692-89836743:89835692-89837098:-	-0.1241912351	0.047952048
SNCA	ENSG00000145335	ENSG00000145335;A5:4:89835692-89836962:89835692-89837098:-	-0.1963702513	0.047952048
METTL14	ENSG00000145388	ENSG00000145388;A5:4:118689457-118691532:118689404-118691532:+	-0.1257346664	0.020979021
C7orf50	ENSG00000146540	ENSG00000146540;A5:7:1127386-1138189:1127386-1138218:-	-0.0730417312	0.0134865135
HTR2C	ENSG00000147246	ENSG00000147246;A5:X:114848203-114906589:114848108-114906589:+	-0.3590710881	0.0194805195
UHRF2	ENSG00000147854	ENSG00000147854;A5:9:6497360-6498018:6497268-6498018:+	0.0748173863	0.0314685315
SURF2	ENSG00000148291	ENSG00000148291;A5:9:133357234-133357711:133357182-133357711:+	-0.2128769824	0.035964036
CHEK1	ENSG00000149554	ENSG00000149554;A5:11:125626034-125626749:125626029-125626749:+	0.35667302	0.014985015
ZFYVE27	ENSG00000155256	ENSG00000155256;A5:10:97737325-97738477:97737321-97738477:+	-0.0539995329	0.0414585415
CLEC18A	ENSG00000157322	ENSG00000157322;A5:16:69951097-69951261:69951039-69951261:+	0.2803040539	0.011988012
HSF2BP	ENSG00000160207	ENSG00000160207;A5:21:43630454-43633263:43630454-43633272:-	-0.2943038812	0.0464535465
PAQR6	ENSG00000160781	ENSG00000160781;A5:1:156246756-156247915:156246756-156247957:-	0.2134371992	0.0464535465
SRSF2	ENSG00000161547	ENSG00000161547;A5:17:76736443-76736799:76736443-76736835:-	0.3296961778	0.005994006
ADGRL4	ENSG00000162618	ENSG00000162618;A5:1:79005219-79006543:79005219-79006633:-	-0.3223226209	0.034965035
SHISA5	ENSG00000164054	ENSG00000164054;A5:3:48503193-48503721:48503193-48504019:-	-0.4000316767	0.043956044
ARFIP1	ENSG00000164144	ENSG00000164144;A5:4:152780226-152829625:152780091-152829625:+	-0.0674456524	0.0454545455
UQCRQ	ENSG00000164405	ENSG00000164405;A5:5:132867035-132867488:132866687-132867488:+	-0.1107886892	0.011988012
YWHAZ	ENSG00000164924	ENSG00000164924;A5:8:100948900-100951186:100948900-100951235:-	0.0683229543	0.0124875125
MID1IP1	ENSG00000165175	ENSG00000165175;A5:X:38804413-38804683:38801487-38804683:+	-0.1326413616	0.025974026
HIF1AN	ENSG00000166135	ENSG00000166135;A5:10:100536135-100536411:100536050-100536411:+	0.1029926379	0.0144855145
ZNF606	ENSG00000166704	ENSG00000166704;A5:19:58001370-58002396:58001370-58002780:-	-0.06727513	0.0384615385
ATP5MG	ENSG00000167283	ENSG00000167283;A5:11:118401728-118406937:118401717-118406937:+	0.0535542266	0.017982018
SPATA33	ENSG00000167523	ENSG00000167523;A5:16:89657948-89658248:89657866-89658248:+	-0.1544799564	0.0404595405
RPL13	ENSG00000167526	ENSG00000167526;A5:16:89561063-89561227:89560712-89561227:+	0.2544789284	0.0164835165
ZNF610	ENSG00000167554	ENSG00000167554;A5:19:52347944-52349154:52347831-52349154:+	-0.1610516405	0.043956044
SLC20A2	ENSG00000168575	ENSG00000168575;A5:8:42472654-42501031:42472654-42501187:-	0.1226857775	0.048951049
NPIPB3	ENSG00000169246	ENSG00000169246;A5:16:21415085-21419490:21415085-21419635:-	0.4035390976	0.028971029
POLR1C	ENSG00000171453	ENSG00000171453;A5:6:43520185-43520275:43519838-43520275:+	0.2206154111	0.032967033
PSME3IP1	ENSG00000172775	ENSG00000172775;A5:16:57173869-57185821:57173869-57186031:-	0.0707796025	0.043956044
TMEM196	ENSG00000173452	ENSG00000173452;A5:7:19729438-19772550:19729438-19773102:-	-0.2458021726	0.025974026
WDR25	ENSG00000176473	ENSG00000176473;A5:14:100376504-100380910:100376495-100380910:+	0.2465002592	0.0374625375
CCDC121	ENSG00000176714	ENSG00000176714;A5:2:27627917-27628390:27627917-27628396:-	-0.2358317022	0.047952048
VSIG10	ENSG00000176834	ENSG00000176834;A5:12:118079606-118082127:118079606-118082152:-	-0.2693641757	0.0124875125
TGIF1	ENSG00000177426	ENSG00000177426;A5:18:3451771-3456354:3451762-3456354:+	0.3959742592	0.034965035
TGIF1	ENSG00000177426	ENSG00000177426;A5:18:3451775-3456354:3451762-3456354:+	0.2196537774	0.034965035
TGIF1	ENSG00000177426	ENSG00000177426;A5:18:3452382-3456354:3451762-3456354:+	0.2352281984	0.034965035
MRFAP1	ENSG00000179010	ENSG00000179010;A5:4:6640755-6640828:6640708-6640828:+	-0.0535529545	0.0294705295
PDXDC1	ENSG00000179889	ENSG00000179889;A5:16:14974973-14997753:14974804-14997753:+	-0.3974919381	0.043956044
SLC36A4	ENSG00000180773	ENSG00000180773;A5:11:93181786-93182806:93181786-93182835:-	0.0513306594	0.043956044
C8orf33	ENSG00000182307	ENSG00000182307;A5:8:145052936-145053062:145052897-145053062:+	-0.0566582077	0.023976024
KPNA4	ENSG00000186432	ENSG00000186432;A5:3:160536840-160564505:160536840-160564521:-	0.0944203518	0.0304695305
NF2	ENSG00000186575	ENSG00000186575;A5:22:29683079-29694752:29683064-29694752:+	-0.3195044711	0.00999001
MAGED4B	ENSG00000187243	ENSG00000187243;A5:X:52062038-52062222:52062038-52062234:-	-0.0599619706	0.012987013
ALKBH2	ENSG00000189046	ENSG00000189046;A5:12:109092937-109093247:109092937-109093350:-	-0.1234412702	0.035964036
LIN54	ENSG00000189308	ENSG00000189308;A5:4:82984876-83010484:82984876-83010747:-	0.2293875835	0.041958042
ZNF34	ENSG00000196378	ENSG00000196378;A5:8:144778525-144780228:144778525-144780232:-	0.1405706899	0.042957043
PCBP2	ENSG00000197111	ENSG00000197111;A5:12:53453283-53454726:53452975-53454726:+	0.3445121328	0.0004995005
ZNF84	ENSG00000198040	ENSG00000198040;A5:12:133037554-133041278:133037545-133041278:+	-0.0946798246	0.03996004
RTL10	ENSG00000215012	ENSG00000215012;A5:22:19854539-19854660:19854539-19854820:-	-0.1686268575	0.046953047
TGFB2-AS1	ENSG00000232480	ENSG00000232480;A5:1:218344462-218345126:218344462-218345175:-	0.4493998354	0.0324675325
ADSL	ENSG00000239900	ENSG00000239900;A5:22:40363092-40364276:40363071-40364276:+	-0.0553909396	0.041958042
PCDHGC4	ENSG00000242419	ENSG00000242419;A5:5:141487615-141494807:141485185-141494807:+	0.1451417764	0.0204795205
MCPH1-DT	ENSG00000246089	ENSG00000246089;A5:8:6405120-6405589:6405120-6405706:-	-0.2789052342	0.0404595405
ZNF674	ENSG00000251192	ENSG00000251192;A5:X:46501335-46528335:46501335-46528350:-	0.2738863259	0.0494505495
TSKU-AS1	ENSG00000255100	ENSG00000255100;A5:11:76782856-76782991:76782856-76783003:-	0.3097882757	0.0414585415
HMBS	ENSG00000256269	ENSG00000256269;A5:11:119089131-119089217:119088707-119089217:+	-0.5326319783	0.0
HMBS	ENSG00000256269	ENSG00000256269;A5:11:119089775-119089990:119089760-119089990:+	-0.1159533323	0.00999001
CORO7	ENSG00000262246	ENSG00000262246;A5:16:4405567-4407501:4405567-4407562:-	0.0518701592	0.0454545455
	ENSG00000270372	ENSG00000270372;A5:9:10948481-10950009:10948481-10950013:-	-0.4581105526	0.020979021
CD24	ENSG00000272398	ENSG00000272398;A5:6:106974754-106975134:106974754-106975369:-	-0.0792432755	0.023976024
PAXIP1-DT	ENSG00000273344	ENSG00000273344;A5:7:155003876-155003962:155003708-155003962:+	0.25845201	0.035964036
	ENSG00000290833	ENSG00000290833;A5:7:74888397-74890271:74888397-74890388:-	0.0875447254	0.0464535465
	ENSG00000291113	ENSG00000291113;A5:5:177882873-177883667:177882752-177883667:+	0.5489183557	0.04995005
	ENSG00000293471	ENSG00000293471;A5:4:122732193-122732287:122732193-122732419:-	0.3373887579	0.030969031
	ENSG00000293904	ENSG00000293904;A5:12:116576359-116592167:116576359-116592174:-	-0.3333333333	0.0324675325
	ENSG00000300673	ENSG00000300673;A5:9:96419066-96419166:96419066-96419278:-	0.3372017739	0.0304695305
	ENSG00000307784	ENSG00000307784;A5:17:66301339-66302772:66301339-66302796:-	-0.3333333333	0.038961039
	ENSG00000309692	ENSG00000309692;A5:11:34714807-34715057:34714753-34715057:+	0.0961810923	0.043956044
