	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
DMAC2	ENSG00000105341	ENSG00000105341;AF:19:41438414-41439474:41439576:41438414-41439882:41439908:-	-0.4072758539	0.0494505495
NOP53	ENSG00000105373	ENSG00000105373;AF:19:47745551:47745783-47746967:47745891:47746029-47746967:+	0.4086031516	0.011988012
RPA3	ENSG00000106399	ENSG00000106399;AF:7:7639144-7640320:7640577:7639144-7640723:7640816:-	-0.3200305432	0.013986014
GLI3	ENSG00000106571	ENSG00000106571;AF:7:42223295-42227651:42227721:42223295-42237499:42237555:-	-0.6073019607	0.0374625375
GLI3	ENSG00000106571	ENSG00000106571;AF:7:42223295-42236971:42237209:42223295-42237499:42237555:-	-0.4342895325	0.03996004
AK1	ENSG00000106992	ENSG00000106992;AF:9:127871939-127872690:127872713:127871939-127873026:127873054:-	0.1332375215	0.025974026
FBXW4	ENSG00000107829	ENSG00000107829;AF:10:101676436-101694381:101695170:101676436-101695240:101695295:-	0.2850353029	0.0084915085
RNF141	ENSG00000110315	ENSG00000110315;AF:11:10534205-10540753:10540906:10534205-10541122:10541187:-	-0.0921454875	0.0434565435
RNF141	ENSG00000110315	ENSG00000110315;AF:11:10534205-10540753:10540906:10534205-10541122:10541190:-	-0.3165152761	0.0434565435
RNF141	ENSG00000110315	ENSG00000110315;AF:11:10534205-10540753:10540906:10534205-10541122:10541230:-	-0.2647120207	0.0434565435
FBXO9	ENSG00000112146	ENSG00000112146;AF:6:53064998:53065208-53071057:53066037:53066150-53071057:+	-0.1437581587	0.038961039
FBXO9	ENSG00000112146	ENSG00000112146;AF:6:53065404:53065792-53071057:53066037:53066150-53071057:+	-0.192604708	0.038961039
VEGFA	ENSG00000112715	ENSG00000112715;AF:6:43770213:43771312-43774341:43771992:43772101-43774341:+	-0.303817036	0.04995005
SPARC	ENSG00000113140	ENSG00000113140;AF:5:151676201-151685066:151685230:151676201-151686865:151686975:-	-0.0659329607	0.015984016
IK	ENSG00000113141	ENSG00000113141;AF:5:140647058:140647309-140648471:140647842:140647924-140648471:+	0.5749928832	0.006993007
IK	ENSG00000113141	ENSG00000113141;AF:5:140647842:140647924-140648471:140648094:140648162-140648471:+	-0.544851539	0.006993007
GNPDA1	ENSG00000113552	ENSG00000113552;AF:5:142012377-142012669:142012973:142012377-142012995:142013027:-	0.2856122326	0.0394605395
TFDP2	ENSG00000114126	ENSG00000114126;AF:3:141995141-142000252:142000353:141995141-142005441:142005469:-	0.3580599068	0.027972028
EPHA4	ENSG00000116106	ENSG00000116106;AF:2:221568785-221569396:221569481:221568785-221572158:221572358:-	-0.3020828305	0.032967033
DNAJC6	ENSG00000116675	ENSG00000116675;AF:1:65254462:65254649-65364635:65309543:65309938-65364635:+	-0.1487739299	0.044955045
DNAJC6	ENSG00000116675	ENSG00000116675;AF:1:65264754:65264932-65364635:65309543:65309938-65364635:+	-0.191365204	0.041958042
MTHFD1L	ENSG00000120254	ENSG00000120254;AF:6:150865679:150866049-150876090:150866333:150866387-150876090:+	-0.1596420748	0.0404595405
MTHFD1L	ENSG00000120254	ENSG00000120254;AF:6:150865702:150866049-150876090:150866333:150866387-150876090:+	-0.1628500749	0.0404595405
MTHFD1L	ENSG00000120254	ENSG00000120254;AF:6:150865944:150866049-150876090:150866333:150866387-150876090:+	-0.5472486541	0.023976024
MTHFD1L	ENSG00000120254	ENSG00000120254;AF:6:150865944:150866049-150876090:150866506:150866635-150876090:+	-0.5653998187	0.0404595405
MTHFD1L	ENSG00000120254	ENSG00000120254;AF:6:150866333:150866387-150876090:150866506:150866635-150876090:+	0.266569954	0.0491508492
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642655:28643005:28622165-28648205:28648291:-	-0.2603349104	0.0376766091
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642922:28643007:28622165-28648205:28648291:-	-0.3645332037	0.0376766091
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642992:28643063:28622165-28648205:28648291:-	-0.340690508	0.0376766091
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642992:28643067:28622165-28648205:28648291:-	-0.1405939406	0.0376766091
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642992:28643085:28622165-28648205:28648291:-	-0.3173422718	0.0376766091
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642992:28643104:28622165-28648205:28648291:-	-0.2744818824	0.0376766091
TAF12	ENSG00000120656	ENSG00000120656;AF:1:28622165-28642992:28643115:28622165-28648205:28648291:-	-0.3421255157	0.0376766091
ARL1	ENSG00000120805	ENSG00000120805;AF:12:101405981-101407278:101407463:101405981-101407642:101407756:-	-0.5835291936	0.025974026
ARL1	ENSG00000120805	ENSG00000120805;AF:12:101405981-101407278:101407463:101405981-101407642:101407762:-	-0.6346797748	0.025974026
ARL1	ENSG00000120805	ENSG00000120805;AF:12:101405981-101407278:101407463:101405981-101407642:101407772:-	-0.1715191273	0.0303030303
PDZRN3	ENSG00000121440	ENSG00000121440;AF:3:73404395-73433639:73433904:73404395-73561451:73561618:-	0.4787319721	0.0094905095
PDZRN3	ENSG00000121440	ENSG00000121440;AF:3:73404395-73474455:73474632:73404395-73561451:73561618:-	0.5465999735	0.0094905095
MRM2	ENSG00000122687	ENSG00000122687;AF:7:2239707-2241296:2241303:2239707-2241975:2242169:-	0.3581344544	0.007992008
MRM2	ENSG00000122687	ENSG00000122687;AF:7:2239707-2241296:2241303:2239707-2242162:2242189:-	0.2627902525	0.007992008
MRM2	ENSG00000122687	ENSG00000122687;AF:7:2239707-2241296:2241303:2239707-2242162:2242205:-	0.2189467283	0.007992008
CALD1	ENSG00000122786	ENSG00000122786;AF:7:134744252:134744363-134843884:134779637:134779749-134843884:+	0.4110265691	0.0224775225
PLAU	ENSG00000122861	ENSG00000122861;AF:10:73910605:73910749-73911525:73911132:73911218-73911525:+	-0.1678002597	0.040959041
ATF1	ENSG00000123268	ENSG00000123268;AF:12:50763710:50763741-50780140:50764078:50764307-50780140:+	-0.4142336034	0.035964036
ATF1	ENSG00000123268	ENSG00000123268;AF:12:50763710:50763741-50780140:50764101:50764307-50780140:+	-0.2609455386	0.035964036
MORF4L2	ENSG00000123562	ENSG00000123562;AF:X:103685260-103686631:103686684:103685260-103687989:103688027:-	0.3163163936	0.0314685315
MORF4L2	ENSG00000123562	ENSG00000123562;AF:X:103685260-103686631:103686684:103685260-103687989:103688038:-	0.526946932	0.0395604396
MORF4L2	ENSG00000123562	ENSG00000123562;AF:X:103685260-103686631:103686684:103685260-103687989:103688041:-	0.2442466119	0.0314685315
MORF4L2	ENSG00000123562	ENSG00000123562;AF:X:103685260-103686631:103686684:103685260-103687989:103688122:-	0.5236749532	0.026973027
MORF4L2	ENSG00000123562	ENSG00000123562;AF:X:103685260-103686631:103686684:103685260-103687989:103688158:-	0.339448061	0.017982018
OBSL1	ENSG00000124006	ENSG00000124006;AF:2:219568324-219570221:219570739:219568324-219571394:219571464:-	-0.5159802132	0.020979021
OBSL1	ENSG00000124006	ENSG00000124006;AF:2:219568324-219570221:219571289:219568324-219571394:219571464:-	-0.0840046269	0.034965035
ENKD1	ENSG00000124074	ENSG00000124074;AF:16:67666265-67666358:67666727:67666265-67666789:67667265:-	-0.447970613	0.045954046
SNRPC	ENSG00000124562	ENSG00000124562;AF:6:34757525:34757551-34762595:34757554:34757954-34762595:+	-0.1816546265	0.0284715285
SNRPC	ENSG00000124562	ENSG00000124562;AF:6:34757525:34757551-34762595:34757912:34757954-34762595:+	-0.2536915757	0.0284715285
ATG4C	ENSG00000125703	ENSG00000125703;AF:1:62784132:62784273-62803719:62785233:62785260-62803719:+	0.3871407067	0.01998002
ATG4C	ENSG00000125703	ENSG00000125703;AF:1:62784135:62784225-62803719:62785233:62785260-62803719:+	0.3320544591	0.01998002
PSMF1	ENSG00000125818	ENSG00000125818;AF:20:1113306:1113409-1125498:1118598:1118902-1125498:+	-0.0972261402	0.02997003
TMX4	ENSG00000125827	ENSG00000125827;AF:20:8010315-8013768:8013930:8010315-8019438:8019761:-	-0.0902034573	0.0264735265
TMX4	ENSG00000125827	ENSG00000125827;AF:20:8010315-8013768:8013930:8010315-8019438:8019805:-	-0.3679568197	0.017982018
CITED1	ENSG00000125931	ENSG00000125931;AF:X:72302934-72305825:72305914:72302934-72307025:72307187:-	-0.5144595708	0.0274725275
CITED1	ENSG00000125931	ENSG00000125931;AF:X:72302934-72306477:72306987:72302934-72307025:72307187:-	-0.2605335786	0.044955045
UQCR11	ENSG00000127540	ENSG00000127540;AF:19:1599560-1602037:1602129:1599560-1605360:1605436:-	0.3540961432	0.003996004
UQCR11	ENSG00000127540	ENSG00000127540;AF:19:1599560-1602037:1602129:1599560-1605360:1605462:-	0.1705929703	0.002997003
UQCR11	ENSG00000127540	ENSG00000127540;AF:19:1599560-1602037:1602129:1599560-1605360:1605473:-	0.3132582526	0.003996004
GNAI1	ENSG00000127955	ENSG00000127955;AF:7:80135079:80135278-80188951:80135694:80136072-80188951:+	0.6002453122	0.0124875125
MRPS12	ENSG00000128626	ENSG00000128626;AF:19:38930944:38930998-38931276:38930999:38931171-38931276:+	0.0764766532	0.031968032
FLOT2	ENSG00000132589	ENSG00000132589;AF:17:28884315-28885857:28886011:28884315-28888945:28889026:-	0.2717747274	0.0434565435
TPT1	ENSG00000133112	ENSG00000133112;AF:13:45340184-45340352:45340402:45340184-45340712:45341158:-	0.488748028	0.004995005
TPT1	ENSG00000133112	ENSG00000133112;AF:13:45340184-45340352:45340402:45340184-45341042:45341155:-	0.4866282254	0.0058275058
TPT1	ENSG00000133112	ENSG00000133112;AF:13:45340184-45340352:45340402:45340184-45341042:45341212:-	0.0872280179	0.0058275058
HSPBP1	ENSG00000133265	ENSG00000133265;AF:19:55279702-55279807:55279856:55279702-55279930:55280077:-	0.1863830298	0.035964036
HSPBP1	ENSG00000133265	ENSG00000133265;AF:19:55279702-55279807:55279856:55279702-55280035:55280381:-	0.1748299078	0.035964036
ARF3	ENSG00000134287	ENSG00000134287;AF:12:48941188-48956098:48956440:48941188-48956985:48957069:-	-0.2892006304	0.0412087912
ARF3	ENSG00000134287	ENSG00000134287;AF:12:48941188-48956985:48957069:48941188-48957310:48957477:-	0.1220588858	0.0412087912
RBM17	ENSG00000134453	ENSG00000134453;AF:10:6089054:6089193-6101271:6096910:6097188-6101271:+	-0.1407660267	0.0284715285
RNF138	ENSG00000134758	ENSG00000134758;AF:18:32091891:32092235-32111754:32092702:32092886-32111754:+	0.3632417657	0.0434565435
CAPRIN1	ENSG00000135387	ENSG00000135387;AF:11:34051731:34051871-34052421:34052055:34052162-34052421:+	0.1217834516	0.0391275391
CAPRIN1	ENSG00000135387	ENSG00000135387;AF:11:34051732:34051871-34052421:34052055:34052162-34052421:+	0.07754951	0.0391275391
CAPRIN1	ENSG00000135387	ENSG00000135387;AF:11:34052210:34052636-34071726:34053451:34053519-34071726:+	-0.0570464672	0.0391275391
CAPRIN1	ENSG00000135387	ENSG00000135387;AF:11:34052329:34052636-34071726:34052981:34053185-34071726:+	0.1552821133	0.0391275391
CAPRIN1	ENSG00000135387	ENSG00000135387;AF:11:34052329:34052636-34071726:34053451:34053519-34071726:+	-0.2984904559	0.0391275391
CAPRIN1	ENSG00000135387	ENSG00000135387;AF:11:34052981:34053185-34071726:34053451:34053519-34071726:+	-0.1888761132	0.0391275391
CDK4	ENSG00000135446	ENSG00000135446;AF:12:57751736-57751913:57752115:57751736-57752175:57752326:-	-0.4045889672	0.048951049
EIF4E2	ENSG00000135930	ENSG00000135930;AF:2:232550704:232550744-232556416:232550807:232551218-232556416:+	-0.3090559197	0.044955045
PWP1	ENSG00000136045	ENSG00000136045;AF:12:107685802:107685971-107688448:107686042:107686137-107688448:+	-0.1165831205	0.043956044
HMGA1	ENSG00000137309	ENSG00000137309;AF:6:34236873:34236963-34240737:34237204:34237317-34240737:+	0.074335302	0.0392940393
HMGA1	ENSG00000137309	ENSG00000137309;AF:6:34236873:34237317-34240737:34238791:34238957-34240737:+	-0.0770511718	0.0392940393
HMGA1	ENSG00000137309	ENSG00000137309;AF:6:34237204:34237317-34240737:34238791:34238957-34240737:+	-0.0814467151	0.0392940393
HNRNPD	ENSG00000138668	ENSG00000138668;AF:4:82359639-82373924:82373999:82359639-82374119:82374185:-	-0.1729102653	0.0452880453
HNRNPD	ENSG00000138668	ENSG00000138668;AF:4:82371584-82373119:82373150:82371584-82373446:82373523:-	0.1797963849	0.00999001
HNRNPD	ENSG00000138668	ENSG00000138668;AF:4:82371584-82373119:82373150:82371584-82374119:82374175:-	-0.2111118902	0.00999001
HNRNPD	ENSG00000138668	ENSG00000138668;AF:4:82371584-82373446:82373523:82371584-82374119:82374175:-	-0.3934749609	0.007992008
HNRNPD	ENSG00000138668	ENSG00000138668;AF:4:82371584-82373446:82373986:82371584-82374119:82374175:-	-0.061244182	0.0191808192
HNRNPD	ENSG00000138668	ENSG00000138668;AF:4:82371584-82373446:82373991:82371584-82374119:82374175:-	-0.2743830692	0.00999001
SEPTIN11	ENSG00000138758	ENSG00000138758;AF:4:76949836:76949930-77028629:77020532:77020670-77028629:+	-0.7566123885	0.023976024
RTN1	ENSG00000139970	ENSG00000139970;AF:14:59607492-59630446:59630612:59607492-59726919:59727713:-	0.4181563487	0.011988012
TSPAN3	ENSG00000140391	ENSG00000140391;AF:15:77056255-77070892:77071109:77056255-77083847:77083984:-	0.0560674454	0.016983017
TSPAN3	ENSG00000140391	ENSG00000140391;AF:15:77056255-77071005:77071122:77056255-77083847:77083984:-	0.0516519291	0.016983017
DEF8	ENSG00000140995	ENSG00000140995;AF:16:89948779:89948814-89955169:89954172:89954376-89955169:+	-0.1154427734	0.0274725275
ARHGDIA	ENSG00000141522	ENSG00000141522;AF:17:81869957-81870636:81870664:81869957-81871298:81871329:-	-0.4235237513	0.0192307692
ARHGDIA	ENSG00000141522	ENSG00000141522;AF:17:81869957-81870636:81870664:81869957-81871298:81871376:-	-0.5287759606	0.0192307692
ARHGDIA	ENSG00000141522	ENSG00000141522;AF:17:81869957-81870636:81870664:81869957-81871298:81871378:-	-0.0807756419	0.0494505495
ARHGDIA	ENSG00000141522	ENSG00000141522;AF:17:81869957-81870636:81870974:81869957-81871298:81871329:-	-0.1149918903	0.0494505495
FOXK2	ENSG00000141568	ENSG00000141568;AF:17:82519713:82520307-82563354:82559364:82559447-82563354:+	0.3217897843	0.0314685315
FOXK2	ENSG00000141568	ENSG00000141568;AF:17:82519732:82520307-82563354:82559364:82559447-82563354:+	0.0860255342	0.0375874126
FOXK2	ENSG00000141568	ENSG00000141568;AF:17:82519977:82520307-82563354:82559364:82559447-82563354:+	0.2474296315	0.0314685315
FOXK2	ENSG00000141568	ENSG00000141568;AF:17:82520294:82520307-82563354:82559364:82559447-82563354:+	0.2950881581	0.0314685315
CBX8	ENSG00000141570	ENSG00000141570;AF:17:79796540-79796930:79797077:79796540-79798242:79798331:-	0.134300904	0.0367132867
CBX8	ENSG00000141570	ENSG00000141570;AF:17:79796540-79798242:79798331:79796540-79801401:79801533:-	-0.2602173763	0.0367132867
HDGF	ENSG00000143321	ENSG00000143321;AF:1:156745373-156747435:156747471:156745373-156751343:156751721:-	0.1105255306	0.037962038
LHX9	ENSG00000143355	ENSG00000143355;AF:1:197912491:197912559-197917879:197915837:197916751-197917879:+	0.3282243535	0.0484515485
RPS27A	ENSG00000143947	ENSG00000143947;AF:2:55231903:55232108-55232808:55232432:55232518-55232808:+	0.5835044542	0.0128205128
RPS27A	ENSG00000143947	ENSG00000143947;AF:2:55232432:55232518-55232808:55232681:55232708-55232808:+	-0.5916188086	0.0128205128
RPS27A	ENSG00000143947	ENSG00000143947;AF:2:55232432:55232518-55232808:55232689:55232708-55232808:+	-0.4272835355	0.0128205128
ZMAT2	ENSG00000146007	ENSG00000146007;AF:5:140698680:140698831-140700819:140700464:140700478-140700819:+	-0.1558668025	0.041958042
TMEM168	ENSG00000146802	ENSG00000146802;AF:7:112775318-112778223:112778656:112775318-112790160:112790423:-	0.307941606	0.047952048
TMEM168	ENSG00000146802	ENSG00000146802;AF:7:112775318-112783698:112783745:112775318-112790160:112790423:-	0.3681760097	0.047952048
BIN3	ENSG00000147439	ENSG00000147439;AF:8:22636962-22644755:22644804:22636962-22669044:22669079:-	0.1865823175	0.0144855145
VLDLR	ENSG00000147852	ENSG00000147852;AF:9:2621567:2622271-2635453:2622445:2622726-2635453:+	0.2589078222	0.020979021
VLDLR	ENSG00000147852	ENSG00000147852;AF:9:2621787:2622271-2635453:2622445:2622726-2635453:+	0.390222079	0.020979021
VLDLR	ENSG00000147852	ENSG00000147852;AF:9:2622041:2622271-2635453:2622445:2622726-2635453:+	0.1810385304	0.020979021
VLDLR	ENSG00000147852	ENSG00000147852;AF:9:2622053:2622271-2635453:2622445:2622726-2635453:+	0.3399160243	0.020979021
VLDLR	ENSG00000147852	ENSG00000147852;AF:9:2622135:2622271-2635453:2622445:2622726-2635453:+	0.4750525702	0.020979021
VLDLR	ENSG00000147852	ENSG00000147852;AF:9:2622205:2622271-2635453:2622445:2622726-2635453:+	0.4744991802	0.020979021
SEC16A	ENSG00000148396	ENSG00000148396;AF:9:136448161-136448621:136448726:136448161-136450818:136450881:-	-0.3311591867	0.0404595405
DNAJB12	ENSG00000148719	ENSG00000148719;AF:10:72343511-72344950:72344961:72343511-72353342:72354380:-	-0.3365123973	0.022977023
PAK1	ENSG00000149269	ENSG00000149269;AF:11:77343931-77347035:77347072:77343931-77349239:77349546:-	-0.5404241247	0.027972028
DLG2	ENSG00000150672	ENSG00000150672;AF:11:83633325-83682158:83682394:83633325-83725170:83725403:-	0.2793502773	0.0414585415
DLG2	ENSG00000150672	ENSG00000150672;AF:11:83633325-83724856:83724956:83633325-83725170:83725403:-	0.3830703369	0.0414585415
PRSS23	ENSG00000150687	ENSG00000150687;AF:11:86791059:86791195-86807631:86800542:86800651-86807631:+	-0.0878479112	0.026973027
CMIP	ENSG00000153815	ENSG00000153815;AF:16:81444808:81445541-81607567:81495349:81495494-81607567:+	-0.0864084511	0.035964036
SLC25A28	ENSG00000155287	ENSG00000155287;AF:10:99613924-99619727:99619983:99613924-99620533:99620609:-	-0.7152823392	0.0311355311
SLC25A28	ENSG00000155287	ENSG00000155287;AF:10:99613924-99620045:99620289:99613924-99620533:99620609:-	-0.3466820265	0.0311355311
SLC25A28	ENSG00000155287	ENSG00000155287;AF:10:99613924-99620045:99620439:99613924-99620533:99620609:-	-0.5094664224	0.0311355311
C16orf87	ENSG00000155330	ENSG00000155330;AF:16:46824482-46830635:46830759:46824482-46830989:46831068:-	0.472081283	0.0058275058
C16orf87	ENSG00000155330	ENSG00000155330;AF:16:46824482-46830635:46830759:46824482-46831084:46831162:-	0.5625304559	0.0058275058
C16orf87	ENSG00000155330	ENSG00000155330;AF:16:46824482-46830635:46830759:46824482-46831084:46831180:-	0.2975471538	0.004995005
NIFK	ENSG00000155438	ENSG00000155438;AF:2:121728356-121728477:121728599:121728356-121730893:121730943:-	0.1805708809	0.036963037
ELMO1	ENSG00000155849	ENSG00000155849;AF:7:36895017-36984915:36985060:36895017-36985923:36986116:-	-0.3367401512	0.041958042
ELMO1	ENSG00000155849	ENSG00000155849;AF:7:36895017-36984915:36985060:36895017-36985923:36986509:-	-0.2391207051	0.041958042
PHKG2	ENSG00000156873	ENSG00000156873;AF:16:30748293:30748418-30748803:30748443:30748490-30748803:+	0.4395783578	0.038961039
DDX19B	ENSG00000157349	ENSG00000157349;AF:16:70289663:70289705-70312609:70294777:70294917-70312609:+	0.3888033886	0.027972028
DDX19B	ENSG00000157349	ENSG00000157349;AF:16:70289663:70289705-70312609:70299186:70299354-70312609:+	0.1865656453	0.0454545455
