	gene_id	RI_con1-RI_con2_dPSI	RI_con1-RI_con2_p-val
TMEM41B	ENSG00000166471	ENSG00000166471;RI:11:9280654:9281041-9283371:9283593:-	-0.0522229754	0.0344655345
MCM7	ENSG00000166508	ENSG00000166508;RI:7:100099023:100099403-100099589:100099753:-	0.0826203022	0.046953047
TPM4	ENSG00000167460	ENSG00000167460;RI:19:16095264:16095591-16095776:16095893:+	0.253378651	0.005994006
KIFC2	ENSG00000167702	ENSG00000167702;RI:8:144472795:144473051-144473132:144474202:+	-0.1461888413	0.0274725275
RPSA	ENSG00000168028	ENSG00000168028;RI:3:39411896:39412061-39412277:39412438:+	-0.1185919683	0.0474525475
CPT1C	ENSG00000169169	ENSG00000169169;RI:19:49705007:49705114-49705214:49705298:+	-0.0518502979	0.01998002
DUS1L	ENSG00000169718	ENSG00000169718;RI:17:82058341:82058416-82058781:82058818:-	0.0742438016	0.02997003
TRABD	ENSG00000170638	ENSG00000170638;RI:22:50197823:50197995-50198075:50198186:+	0.0677164989	0.0254745255
IQCK	ENSG00000174628	ENSG00000174628;RI:16:19763848:19763900-19764035:19764112:+	0.0672668306	0.0434565435
CD151	ENSG00000177697	ENSG00000177697;RI:11:838133:838367-838445:838831:+	-0.0914069223	0.043956044
TDRKH	ENSG00000182134	ENSG00000182134;RI:1:151773494:151774227-151774413:151774504:-	0.2445008042	0.036963037
LINC01547	ENSG00000183250	ENSG00000183250;RI:21:44933315:44934368-44934934:44935096:-	0.2991181066	0.043956044
LRRC51	ENSG00000184154	ENSG00000184154;RI:11:72094948:72095096-72095379:72096895:+	-0.1862219287	0.0484515485
XPOT	ENSG00000184575	ENSG00000184575;RI:12:64425038:64425138-64425338:64425457:+	0.1194193208	0.0404595405
BICD2	ENSG00000185963	ENSG00000185963;RI:9:92711363:92713461-92715253:92715463:-	0.114362809	0.0024975025
TMEM222	ENSG00000186501	ENSG00000186501;RI:1:27334151:27334281-27335379:27336399:+	0.1731088981	0.030969031
SPIN2B	ENSG00000186787	ENSG00000186787;RI:X:57119682:57120101-57120405:57120631:-	-0.2397895594	0.011988012
ALKBH2	ENSG00000189046	ENSG00000189046;RI:12:109092507:109092937-109093247:109093472:-	0.1030958013	0.037962038
AMZ2	ENSG00000196704	ENSG00000196704;RI:17:68248043:68248086-68248640:68248705:+	-0.0513587831	0.015984016
RAMP2-AS1	ENSG00000197291	ENSG00000197291;RI:17:42760426:42760509-42760635:42760711:-	-0.2982997355	0.0384615385
RAMP2-AS1	ENSG00000197291	ENSG00000197291;RI:17:42760426:42760513-42760635:42760711:-	-0.3050523714	0.0384615385
DDX47	ENSG00000213782	ENSG00000213782;RI:12:12823203:12823319-12824540:12824677:+	0.4423816702	0.047952048
CPNE1	ENSG00000214078	ENSG00000214078;RI:20:35626044:35626381-35626567:35626803:-	0.0719995203	0.0194805195
GOLGA8B	ENSG00000215252	ENSG00000215252;RI:15:34532846:34532962-34534054:34534173:-	-0.0619603863	0.0444555445
FAM66A	ENSG00000227888	ENSG00000227888;RI:8:12438164:12438218-12438340:12438511:+	-0.075702684	0.047952048
SNHG7	ENSG00000233016	ENSG00000233016;RI:9:136727881:136727990-136728039:136728184:-	-0.0694746131	0.038961039
MALAT1	ENSG00000251562	ENSG00000251562;RI:11:65499045:65500814-65502290:65502393:+	0.3219416857	0.0254745255
MIR124-1HG	ENSG00000253230	ENSG00000253230;RI:8:9900545:9900612-9900689:9903398:-	-0.370086312	0.0294705295
MIR124-1HG	ENSG00000253230	ENSG00000253230;RI:8:9900555:9900612-9900689:9903398:-	0.3397012902	0.020979021
	ENSG00000289019	ENSG00000289019;RI:4:70901949:70902158-70902349:70902447:-	0.2574676461	0.042957043
PPIEL	ENSG00000291129	ENSG00000291129;RI:1:39547579:39547634-39548862:39548951:-	0.2600237377	0.034965035
