ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4501	ENSG00000196935	SRGAP1	chr12	+	64091275	64091378	64091892	64091926	64086998	64087026	64094931	64094992	4501	44,35,32	213,228,178	126,79,88	279,169,180	252	183	4.15003587051e-11	6.26207233068e-07	0.13,0.1,0.115	0.247,0.253,0.262	-0.139
4658	ENSG00000138166	DUSP5	chr10	+	110502720	110502869	110506934	110507154	110497906	110498500	110510019	110511533	4658	45,33,39	72,72,60	30,20,31	91,136,96	298	369	0.000124444201746	0.0280261362361	0.436,0.362,0.446	0.29,0.154,0.286	0.171
4712	ENSG00000170919	TPT1-AS1	chr13	+	45344753	45344909	45370079	45370182	45344378	45344446	45377060	45377215	4712	3,9,2	66,76,40	0,0,0	53,45,67	305	252	0.000142896221316	0.0299421753162	0.036,0.089,0.04	0.0,0.0,0.0	0.055
4975	ENSG00000185379	RAD51D	chr17	-	35107365	35107447	35118500	35118619	35106987	35107122	35119110	35119172	4975	20,22,12	79,132,92	38,21,35	75,82,64	268	231	0.000130455561246	0.0286331619808	0.179,0.126,0.101	0.304,0.181,0.32	-0.133
5103	ENSG00000165490	DDIAS	chr11	+	82913654	82913746	82913956	82914170	82913286	82913386	82914722	82914851	5103	7,6,4	4,0,8	0,0,0	4,7,3	241	363	3.5074165794e-11	6.26207233068e-07	0.725,1.0,0.43	0.0,0.0,0.0	0.718
5635	ENSG00000241288	LINC02614	chr3	-	125848229	125848447	125862815	125863113	125827237	125827455	125873740	125873845	5635	1,1,2	9,3,11	2,5,1	1,0,1	447	367	1.90430065838e-06	0.00216820499129	0.084,0.215,0.13	0.622,1.0,0.451	-0.548
5636	ENSG00000241288	LINC02614	chr3	-	125848229	125848447	125872072	125872253	125827237	125827455	125873740	125873845	5636	5,12,7	9,3,11	4,8,2	1,0,1	330	367	7.3722803613e-05	0.02091005744	0.382,0.816,0.414	0.816,1.0,0.69	-0.298
5640	ENSG00000241288	LINC02614	chr3	-	125848229	125848447	125908436	125908565	125827239	125827455	125914419	125914445	5640	1,2,0	8,3,11	0,2,8	1,0,1	278	367	2.17888874839e-05	0.00937642739189	0.142,0.468,0.0	0.0,1.0,0.914	-0.435
6563	ENSG00000138380	CARF	chr2	+	202924356	202924415	202941859	202941980	202917876	202918043	202942739	202942967	6563	7,12,3	91,92,84	1,2,1	52,100,66	208	270	0.000137683479717	0.0294567027133	0.091,0.145,0.044	0.024,0.025,0.019	0.071
6564	ENSG00000138380	CARF	chr2	+	202924356	202924415	202942739	202942967	202917876	202918043	202954004	202954134	6564	7,14,3	33,26,35	1,2,1	29,39,27	208	377	0.000159073111369	0.0314987814585	0.278,0.494,0.134	0.059,0.085,0.063	0.233
6565	ENSG00000138380	CARF	chr2	+	202924356	202924415	202952558	202952679	202917876	202918043	202954004	202954134	6565	7,14,3	59,59,39	1,2,1	41,59,42	208	270	3.67771811318e-05	0.013673105464	0.133,0.235,0.091	0.031,0.042,0.03	0.119
6742	ENSG00000104218	CSPP1	chr8	+	67078366	67078487	67079350	67079462	67076481	67076581	67086006	67086110	6742	0,0,4	2,3,3	3,3,4	0,2,1	270	261	0.000266533079968	0.0422219301055	0.0,0.0,0.563	1.0,0.592,0.795	-0.608
6755	ENSG00000104218	CSPP1	chr8	+	67114328	67114370	67115196	67115264	67113804	67113862	67115913	67116122	6755	10,14,3	3,4,6	12,13,11	0,0,2	191	217	3.9815142957e-05	0.0144264644667	0.791,0.799,0.362	1.0,1.0,0.862	-0.303
6928	ENSG00000158428	CATIP	chr2	+	218364627	218364752	218367023	218367100	218360572	218360659	218367429	218367518	6928	3,9,2	0,2,0	0,0,0	1,1,3	274	226	1.04360964315e-14	5.70353542174e-10	1.0,0.788,1.0	0.0,0.0,0.0	0.929
7538	ENSG00000136231	IGF2BP3	chr7	-	23405018	23405110	23416128	23416219	23361689	23361741	23418775	23418824	7538	2,2,5	3,1,6	4,9,2	1,0,0	240	241	1.83793247632e-06	0.00213716352544	0.401,0.668,0.456	0.801,1.0,1.0	-0.425
7696	ENSG00000050767	COL23A1	chr5	-	178256352	178256397	178256865	178256928	178250060	178250105	178257522	178257567	7696	12,31,5	2,7,4	8,4,3	1,0,0	212	194	0.000144281784598	0.0299820839994	0.846,0.802,0.534	0.88,1.0,1.0	-0.233
8305	ENSG00000152894	PTPRK	chr6	-	128001195	128001207	128003196	128003232	127998719	127998904	128005083	128005244	8305	2,13,15	5,7,3	9,6,14	1,1,0	185	161	4.12626448665e-05	0.0148360925477	0.258,0.618,0.813	0.887,0.839,1.0	-0.346
8354	ENSG00000007341	ST7L	chr1	-	112555867	112556018	112597970	112598086	112541950	112542090	112610840	112611003	8354	4,9,4	33,22,6	0,2,1	30,16,19	265	300	6.9392223543e-05	0.0203736319635	0.121,0.317,0.43	0.0,0.124,0.056	0.229
8357	ENSG00000007341	ST7L	chr1	-	112576985	112577088	112597970	112598086	112541950	112542090	112610840	112611003	8357	4,9,4	3,2,3	0,2,1	5,4,9	265	252	7.90963364461e-06	0.00531465208746	0.559,0.811,0.559	0.0,0.322,0.096	0.504
8448	ENSG00000148985	PGAP2	chr11	+	3808293	3808315	3811249	3811424	3797938	3797982	3822908	3822993	8448	1,7,7	33,47,38	0,1,0	38,46,24	171	324	3.41199803289e-06	0.00310787527489	0.054,0.22,0.259	0.0,0.04,0.0	0.164
8487	ENSG00000274372	NA	chr1	+	148019936	148020208	148021913	148022168	148016160	148016258	148024529	148024719	8487	12,8,9	0,0,0	8,8,17	7,0,3	421	404	2.58341289157e-05	0.0106961122235	1.0,1.0,1.0	0.523,1.0,0.845	0.211
8578	ENSG00000112624	BICRAL	chr6	+	42810305	42810401	42822017	42822063	42782051	42782101	42822795	42822844	8578	15,4,3	41,27,27	2,2,0	19,32,29	245	195	0.000264796303745	0.0420687430008	0.226,0.105,0.081	0.077,0.047,0.0	0.096
9226	ENSG00000291133	NA	chr7	-	35118660	35118789	35119675	35119720	35117747	35117794	35121506	35121608	9226	4,5,4	4,2,2	1,1,1	2,5,10	194	278	7.95406274864e-05	0.0219548200676	0.589,0.782,0.741	0.417,0.223,0.125	0.449
9339	ENSG00000228624	HDAC2-AS2	chr6	+	114371591	114371692	114395213	114395281	114342224	114342389	114406642	114406668	9339	12,3,6	1,0,0	13,5,7	7,2,1	250	217	2.99907711416e-05	0.0119639096674	0.912,1.0,1.0	0.617,0.685,0.859	0.25
9774	ENSG00000100714	MTHFD1	chr14	+	64389000	64389125	64390336	64390467	64388307	64388468	64400792	64400877	9774	0,1,0	1,0,2	2,8,4	0,1,4	274	280	0.000236802806488	0.0395772078905	0.0,1.0,0.0	1.0,0.891,0.505	-0.465
9786	ENSG00000104976	SNAPC2	chr19	+	7921422	7921542	7921704	7921773	7921014	7921119	7922034	7922347	9786	20,20,16	120,129,95	55,38,44	118,140,142	269	218	8.65535342213e-05	0.0226331280013	0.119,0.112,0.12	0.274,0.18,0.201	-0.101
9934	ENSG00000122026	RPL21	chr13	+	27254219	27254281	27255241	27255349	27251560	27251585	27256183	27256334	9934	0,0,0	2,3,4	5,1,1	5,5,1	211	257	6.61683506309e-06	0.00475820091932	0.0,0.0,0.0	0.549,0.196,0.549	-0.431
10094	ENSG00000149231	CCDC82	chr11	-	96385936	96386020	96387529	96387613	96383961	96384761	96389843	96389936	10094	11,21,6	7,16,4	6,4,6	15,13,18	233	233	0.000108866459191	0.0260954812619	0.611,0.568,0.6	0.286,0.235,0.25	0.336
10936	ENSG00000163517	HDAC11	chr3	+	13498512	13498555	13501870	13501933	13483463	13483564	13504093	13504272	10936	1,0,2	7,4,16	3,9,3	7,9,4	192	212	9.29929190806e-05	0.0237488271663	0.136,0.0,0.121	0.321,0.525,0.453	-0.347
11437	ENSG00000183077	AFMID	chr17	+	78205439	78205518	78205602	78205738	78202702	78202751	78205945	78206050	11437	6,1,6	7,0,2	5,6,1	0,0,0	228	285	1.75390940041e-05	0.00863555464425	0.517,1.0,0.789	1.0,1.0,1.0	-0.231
11561	ENSG00000006837	CDKL3	chr5	-	134350248	134350427	134359896	134360091	134321790	134321903	134370997	134371041	11561	4,8,5	16,19,9	9,10,23	6,9,5	344	328	0.000144039655387	0.0299820839994	0.192,0.286,0.346	0.589,0.514,0.814	-0.364
11566	ENSG00000286619	PM20D1-AS1	chr1	+	205858142	205858320	205891155	205891309	205853787	205853874	205894167	205896026	11566	14,14,7	62,61,52	4,4,5	90,63,55	327	303	0.000224339259251	0.0385553119389	0.173,0.175,0.111	0.04,0.056,0.078	0.095
11986	ENSG00000259529	NA	chr14	+	24151130	24151379	24151785	24151992	24150597	24150888	24155156	24155330	11986	508,503,330	314,354,287	612,449,441	277,232,219	398	356	0.000219803496239	0.0382570085237	0.591,0.56,0.507	0.664,0.634,0.643	-0.094
12037	ENSG00000059588	TARBP1	chr1	-	234437274	234437372	234450427	234450566	234430086	234430301	234457666	234457756	12037	102,121,111	7,19,9	105,109,112	6,2,2	288	247	0.000125507751177	0.0281116787595	0.926,0.845,0.914	0.938,0.979,0.98	-0.071
12047	ENSG00000092098	RNF31	chr14	+	24157831	24158011	24158141	24158199	24157519	24157638	24159863	24159960	12047	8,3,2	107,103,73	13,6,21	93,82,87	329	207	6.76460778872e-05	0.0203736319635	0.045,0.018,0.017	0.081,0.044,0.132	-0.059
12072	ENSG00000130402	ACTN4	chr19	+	38710256	38710342	38711275	38711361	38709394	38709476	38714468	38714561	12072	1079,801,569	1844,1755,1477	1447,1588,1571	2281,2333,1940	235	235	2.12570276354e-05	0.00922015138357	0.369,0.313,0.278	0.388,0.405,0.447	-0.093
12293	ENSG00000261824	LINC00662	chr19	-	27771543	27771989	27778710	27779043	27746097	27746340	27792999	27793232	12293	1,2,4	45,23,26	12,12,10	10,51,17	482	595	1.71356486869e-05	0.00851361338215	0.027,0.097,0.16	0.597,0.225,0.421	-0.32
12294	ENSG00000261824	LINC00662	chr19	-	27771663	27771989	27778710	27779043	27746097	27746340	27792999	27793232	12294	1,2,4	45,24,26	12,12,10	15,46,21	482	475	7.74796617864e-06	0.00531465208746	0.021,0.076,0.132	0.441,0.205,0.319	-0.245
12650	ENSG00000104361	NIPAL2	chr8	-	98194727	98194822	98195941	98196005	98189825	98193090	98203107	98203196	12650	1,2,1	4,3,3	1,2,2	2,0,0	213	244	0.000242305169061	0.0401286730289	0.223,0.433,0.276	0.364,1.0,1.0	-0.477
13084	ENSG00000146433	TMEM181	chr6	+	158573419	158573523	158580939	158580995	158560090	158560232	158583953	158584044	13084	115,129,78	114,119,85	180,115,132	83,70,87	253	205	8.59448664846e-05	0.0225820136688	0.45,0.468,0.426	0.637,0.571,0.551	-0.138
13190	ENSG00000213047	DENND1B	chr1	-	197583151	197583253	197595207	197595333	197546732	197546773	197607072	197607174	13190	11,37,15	1,2,7	20,32,34	0,0,0	275	251	2.03995888698e-05	0.00909647283613	0.909,0.944,0.662	1.0,1.0,1.0	-0.162
13550	ENSG00000161040	FBXL13	chr7	-	102822039	102822203	102832839	102832974	102811188	102813531	102854776	102854860	13550	7,0,2	19,22,8	0,0,1	23,14,20	284	313	0.000165991591431	0.0321694058684	0.289,0.0,0.216	0.0,0.0,0.052	0.151
13693	ENSG00000248429	GASK1B-AS1	chr4	+	158179660	158179735	158198787	158198870	158172816	158172940	158199087	158199592	13693	4,1,3	1,1,1	1,0,0	1,1,2	224	232	2.82090112658e-06	0.00280305251582	0.806,0.509,0.757	0.509,0.0,0.0	0.521
13745	ENSG00000183273	CCDC60	chr12	+	119520120	119520192	119528614	119528746	119516622	119516707	119530873	119531063	13745	0,3,6	2,1,5	0,0,1	1,3,2	221	281	9.44267750002e-05	0.0238223685672	0.0,0.792,0.604	0.0,0.0,0.389	0.336
13908	ENSG00000088766	CRLS1	chr20	+	6023379	6023422	6028671	6028725	6015360	6015490	6031284	6031370	13908	0,1,0	9,15,10	6,0,2	2,2,6	192	203	0.000315230408842	0.0471999241206	0.0,0.066,0.0	0.76,0.0,0.261	-0.318
13910	ENSG00000088766	CRLS1	chr20	+	6026170	6026238	6028671	6028725	6015360	6015490	6031284	6031370	13910	1,4,0	9,15,10	3,6,11	2,2,6	217	203	3.59099915803e-07	0.000700911735659	0.094,0.2,0.0	0.584,0.737,0.632	-0.553
13990	ENSG00000112584	FAM120B	chr6	+	170323078	170323259	170330448	170330550	170306757	170306842	170358225	170358318	13990	51,70,59	10,27,7	67,61,53	1,4,3	330	251	3.38036257075e-06	0.00310787527489	0.795,0.664,0.865	0.981,0.921,0.931	-0.17
14107	ENSG00000112139	MDGA1	chr6	-	37658244	37658419	37663966	37664106	37652010	37652340	37696744	37696811	14107	84,57,69	12,5,1	72,71,74	26,14,12	289	324	0.000292992599217	0.0451060043166	0.887,0.927,0.987	0.756,0.85,0.874	0.107
14417	ENSG00000197555	SIPA1L1	chr14	+	71512742	71512845	71529311	71529370	71321121	71321181	71576534	71576587	14417	75,101,71	5,3,2	78,67,78	13,15,4	252	208	0.000244773001194	0.0404149065295	0.925,0.965,0.967	0.832,0.787,0.942	0.099
14446	ENSG00000049540	ELN	chr7	+	74036554	74036584	74037706	74037739	74035363	74035414	74042613	74042706	14446	1,1,3	2,1,9	4,3,4	0,1,0	179	182	9.28925394383e-08	0.000253838153269	0.337,0.504,0.253	1.0,0.753,1.0	-0.553
15324	ENSG00000075413	MARK3	chr14	+	103498501	103498528	103500155	103500200	103480386	103480490	103502881	103503820	15324	11,11,11	113,109,87	33,20,15	71,82,85	176	194	0.000200524548647	0.0358761626409	0.097,0.1,0.122	0.339,0.212,0.163	-0.132
15395	ENSG00000237877	LINC01473	chr2	-	186081329	186081416	186099768	186099830	186039499	186039555	186215018	186215090	15395	6,4,1	2,4,5	0,0,0	5,2,4	211	236	4.0977744753e-08	0.000131736218014	0.77,0.528,0.183	0.0,0.0,0.0	0.494
15553	ENSG00000231738	TSPAN19	chr12	-	85024651	85024772	85027898	85028023	85023325	85023400	85029718	85029791	15553	9,17,4	20,9,15	10,22,16	3,5,2	274	270	4.23070825361e-05	0.0150140693166	0.307,0.651,0.208	0.767,0.813,0.887	-0.434
15781	ENSG00000255717	SNHG1	chr11	-	62852810	62853115	62853800	62853833	62851977	62852681	62854017	62854064	15781	122,173,103	797,865,693	185,195,145	804,666,564	182	454	7.07276667469e-05	0.0204814041355	0.276,0.333,0.27	0.365,0.422,0.391	-0.1
15784	ENSG00000255717	SNHG1	chr11	-	62852810	62853590	62853800	62853833	62851978	62852681	62854017	62854551	15784	122,173,103	1422,1608,1281	185,195,145	1431,1176,1047	182	929	2.52903891274e-05	0.0105509186763	0.305,0.354,0.291	0.398,0.458,0.414	-0.107
15807	ENSG00000255717	SNHG1	chr11	-	62853341	62853590	62853800	62853833	62853074	62853115	62854017	62854064	15807	122,173,102	112,141,110	190,197,146	81,88,64	182	398	2.51151358599e-08	9.15061603344e-05	0.704,0.728,0.67	0.837,0.83,0.833	-0.133
16143	ENSG00000198794	SCAMP5	chr15	+	74997233	74997316	75009890	75009940	74995597	74995673	75011791	75011846	16143	3,0,0	36,47,44	4,9,3	39,51,52	232	199	0.000340132780722	0.0498362915068	0.067,0.0,0.0	0.081,0.131,0.047	-0.064
16175	ENSG00000130347	RTN4IP1	chr6	-	106592163	106592300	106619201	106619326	106583327	106583420	106621424	106621493	16175	65,45,42	2,1,11	78,69,48	0,3,0	274	286	0.000338444517992	0.0497222306379	0.971,0.979,0.799	1.0,0.96,1.0	-0.07
16558	ENSG00000293516	ZNF271P	chr18	+	35291009	35291232	35322387	35322501	35290323	35290391	35326796	35328390	16558	217,253,178	32,29,12	244,298,228	12,11,8	372	263	4.75350423834e-06	0.003877440502	0.827,0.86,0.913	0.935,0.95,0.953	-0.079
16597	ENSG00000126218	F10	chr13	+	113140566	113141050	113143850	113144095	113139356	113139470	113147378	113147472	16597	9,4,3	37,38,14	1,1,2	83,55,39	633	394	1.28327504804e-05	0.00708419676015	0.131,0.061,0.118	0.007,0.011,0.031	0.087
17014	ENSG00000228315	GUSBP11	chr22	-	23652478	23652576	23652860	23652944	23640307	23640423	23659864	23660000	17014	9,2,3	0,0,0	5,2,1	3,4,0	233	247	5.37129583889e-05	0.0180093288458	1.0,1.0,1.0	0.639,0.346,1.0	0.338
17222	ENSG00000175287	PHYHD1	chr9	+	128936582	128936645	128937756	128937778	128936447	128936503	128941444	128941571	17222	18,18,13	0,0,0	63,26,37	2,4,5	212	171	0.000157617187421	0.0313239800979	1.0,1.0,1.0	0.962,0.84,0.857	0.114
17224	ENSG00000175287	PHYHD1	chr9	+	128937756	128937778	128940598	128940715	128936447	128936503	128941444	128941571	17224	0,0,0	20,17,17	2,4,5	56,12,25	171	266	1.41200844739e-05	0.00751235304441	0.0,0.0,0.0	0.053,0.341,0.237	-0.21
17364	ENSG00000138448	ITGAV	chr2	+	186633328	186633374	186636081	186636207	186625472	186625587	186638276	186638320	17364	0,0,0	3,1,2	10,2,4	5,4,7	195	275	2.10184669669e-09	1.27633472964e-05	0.0,0.0,0.0	0.738,0.414,0.446	-0.533
17908	ENSG00000100106	TRIOBP	chr22	+	37713209	37713411	37715762	37715934	37710426	37710566	37723184	37726503	17908	186,112,116	156,106,140	58,137,117	122,228,169	351	321	8.27544977492e-05	0.0222793044876	0.522,0.491,0.431	0.303,0.355,0.388	0.133
17918	ENSG00000072609	CHFR	chr12	-	132841517	132841596	132843010	132843083	132822186	132822311	132844026	132844134	17918	202,191,123	11,20,17	217,162,182	3,5,7	222	228	6.26802100845e-06	0.0046291876237	0.95,0.907,0.881	0.987,0.971,0.964	-0.061
17937	ENSG00000127603	MACF1	chr1	+	39370029	39370186	39378460	39378523	39368147	39368314	39379202	39379444	17937	906,729,532	217,182,112	804,814,855	127,116,131	306	212	7.15939682207e-05	0.0205934397431	0.743,0.735,0.767	0.814,0.829,0.819	-0.072
17938	ENSG00000127603	MACF1	chr1	+	39372478	39372596	39378460	39378523	39368147	39368314	39379202	39379444	17938	213,105,71	217,182,112	165,217,150	127,116,131	267	212	6.79107093745e-05	0.0203736319635	0.438,0.314,0.335	0.508,0.598,0.476	-0.165
17939	ENSG00000127603	MACF1	chr1	+	39372478	39372596	39378460	39378523	39370029	39370186	39379202	39379444	17939	916,709,489	216,182,113	781,889,735	128,116,131	267	212	8.23734389461e-05	0.0222793044876	0.771,0.756,0.775	0.829,0.859,0.817	-0.068
17982	ENSG00000248550	OTX2-AS1	chr14	+	56919640	56919692	56927568	56927718	56813290	56813469	56928879	56929039	17982	1,0,1	33,2,9	3,6,1	15,6,6	201	299	8.98444137155e-05	0.0232124827056	0.043,0.0,0.142	0.229,0.598,0.199	-0.28
18377	ENSG00000293616	PCBP1-AS1	chr2	-	69964230	69964427	69988445	69988505	69963253	69963500	69996685	69996888	18377	3,0,3	5,9,3	0,0,0	12,10,8	209	346	0.000163165158618	0.0318475080314	0.498,0.0,0.623	0.0,0.0,0.0	0.374
18432	ENSG00000293616	PCBP1-AS1	chr2	-	70051202	70051305	70077300	70077381	70018014	70018131	70083537	70083687	18432	0,0,1	21,24,31	6,2,2	17,27,10	230	252	3.04850093741e-05	0.0120729473356	0.0,0.0,0.034	0.279,0.075,0.18	-0.167
18454	ENSG00000293616	PCBP1-AS1	chr2	-	70053730	70053792	70077300	70077381	70051202	70051305	70083537	70083687	18454	0,0,3	5,11,8	8,3,2	4,4,3	230	211	5.5180058238e-05	0.0182769729868	0.0,0.0,0.256	0.647,0.408,0.379	-0.393
18461	ENSG00000293616	PCBP1-AS1	chr2	-	70053730	70053815	70077300	70077381	70051202	70051305	70083537	70083687	18461	0,0,3	5,11,6	8,3,2	4,4,4	230	234	0.000225778686232	0.0385601773748	0.0,0.0,0.337	0.67,0.433,0.337	-0.368
18486	ENSG00000293616	PCBP1-AS1	chr2	-	70059642	70059680	70077300	70077381	70051202	70051305	70083537	70083687	18486	0,0,3	28,26,37	8,3,2	22,23,22	230	187	0.000211961421726	0.0371285757057	0.0,0.0,0.062	0.228,0.096,0.069	-0.11
18788	ENSG00000153558	FBXL2	chr3	+	33297868	33297962	33364624	33364719	33297663	33297725	33373091	33373160	18788	0,2,0	130,93,63	9,6,4	88,76,83	243	244	7.91328609917e-06	0.00531465208746	0.0,0.021,0.0	0.093,0.073,0.046	-0.064
19131	ENSG00000197467	COL13A1	chr10	+	69897474	69897531	69898696	69898762	69895549	69895576	69902747	69902855	19131	0,0,0	14,3,5	2,2,4	18,5,11	206	215	4.82188096811e-05	0.0166775883476	0.0,0.0,0.0	0.104,0.295,0.275	-0.225
