	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
MAGED4	ENSG00000154545	ENSG00000154545;A3:X:52184965-52185832:52184965-52185922:+	0.21640311	0.0
MAGED4	ENSG00000154545	ENSG00000154545;A3:X:52184965-52185892:52184965-52185922:+	0.0597980773	0.005994006
SLC25A28	ENSG00000155287	ENSG00000155287;A3:10:99613924-99620045:99612599-99620045:-	0.2715936769	0.0044955045
DEDD	ENSG00000158796	ENSG00000158796;A3:1:161130847-161132551:161130843-161132551:-	-0.1207947332	0.017982018
U2AF1	ENSG00000160201	ENSG00000160201;A3:21:43101432-43104315:43100614-43104315:-	0.1905529405	0.04995005
PSMC2	ENSG00000161057	ENSG00000161057;A3:7:103362088-103362686:103362088-103362695:+	0.0540153716	0.035964036
SRSF2	ENSG00000161547	ENSG00000161547;A3:17:76736464-76736835:76736443-76736835:-	0.3095321311	0.000999001
RYK	ENSG00000163785	ENSG00000163785;A3:3:134191983-134195082:134191974-134195082:-	0.0512745493	0.0264735265
LSM6	ENSG00000164167	ENSG00000164167;A3:4:146175811-146182906:146175811-146182912:+	0.0599991733	0.0104895105
SLC25A46	ENSG00000164209	ENSG00000164209;A3:5:110756759-110761204:110756759-110761447:+	0.0511378171	0.0384615385
UTP15	ENSG00000164338	ENSG00000164338;A3:5:73567434-73568235:73567434-73568292:+	0.2242342507	0.0124875125
UQCRQ	ENSG00000164405	ENSG00000164405;A3:5:132866687-132866869:132866687-132867488:+	-0.0763023039	0.012987013
MID1IP1	ENSG00000165175	ENSG00000165175;A3:X:38801487-38802535:38801487-38804310:+	0.1217700336	0.0044955045
SLC7A3	ENSG00000165349	ENSG00000165349;A3:X:70930022-70930977:70929998-70930977:-	-0.1693035692	0.0094905095
METTL3	ENSG00000165819	ENSG00000165819;A3:14:21501903-21503173:21501824-21503173:-	-0.0554768969	0.028971029
SLC39A13	ENSG00000165915	ENSG00000165915;A3:11:47408662-47410066:47408662-47410087:+	0.0579734212	0.0334665335
SLC39A13	ENSG00000165915	ENSG00000165915;A3:11:47414909-47415039:47414909-47415060:+	-0.0680612125	0.0334665335
BTRC	ENSG00000166167	ENSG00000166167;A3:10:101430452-101461964:101430452-101461981:+	-0.0734444226	0.043956044
MMP10	ENSG00000166670	ENSG00000166670;A3:11:102778749-102779213:102778716-102779213:-	0.1893795044	0.0014985015
RPL13	ENSG00000167526	ENSG00000167526;A3:16:89560712-89560940:89560712-89561227:+	0.1392093548	0.017982018
SLC25A6	ENSG00000169100	ENSG00000169100;A3:X:1390293-1391899:1390290-1391899:-	-0.2929337127	0.035964036
LMAN2	ENSG00000169223	ENSG00000169223;A3:5:177337524-177337706:177337465-177337706:-	0.0605702873	0.0134865135
DUS1L	ENSG00000169718	ENSG00000169718;A3:17:82058416-82058781:82058408-82058781:-	-0.0732472344	0.0284715285
NLGN2	ENSG00000169992	ENSG00000169992;A3:17:7405610-7408012:7405610-7408460:+	-0.0507405407	0.028971029
UBE2E3	ENSG00000170035	ENSG00000170035;A3:2:181075528-181076196:181075528-181076199:+	-0.431719855	0.007992008
RNASEH2C	ENSG00000172922	ENSG00000172922;A3:11:65719156-65719681:65718769-65719681:-	-0.3444920828	0.03996004
MRPL11	ENSG00000174547	ENSG00000174547;A3:11:66437443-66438164:66437435-66438164:-	-0.0556655393	0.012987013
RPL15	ENSG00000174748	ENSG00000174748;A3:3:23917173-23917837:23917173-23917947:+	-0.0506857344	0.02997003
ALG10B	ENSG00000175548	ENSG00000175548;A3:12:38318458-38320161:38318458-38323913:+	0.1233095303	0.0384615385
TGIF1	ENSG00000177426	ENSG00000177426;A3:18:3450070-3450322:3450070-3450325:+	-0.1852798404	0.006993007
GEN1	ENSG00000178295	ENSG00000178295;A3:2:17754345-17759912:17754345-17759929:+	-0.2343412139	0.0174825175
GRINA	ENSG00000178719	ENSG00000178719;A3:8:143991804-143991878:143991804-143992245:+	0.2869499831	0.021978022
PUF60	ENSG00000179950	ENSG00000179950;A3:8:143827699-143828984:143827536-143828984:-	0.1802350673	0.0454545455
AP1S2	ENSG00000182287	ENSG00000182287;A3:X:15833007-15845379:15831568-15845379:-	0.0938486682	0.026973027
ZFP90	ENSG00000184939	ENSG00000184939;A3:16:68558568-68562989:68558568-68563044:+	-0.1027490458	0.014985015
FLRT2	ENSG00000185070	ENSG00000185070;A3:14:85561289-85562643:85561289-85562699:+	0.1550294423	0.044955045
TRIM69	ENSG00000185880	ENSG00000185880;A3:15:44729552-44736342:44729552-44736483:+	0.2910083887	0.022977023
ZNRF1	ENSG00000186187	ENSG00000186187;A3:16:75106571-75107733:75106571-75107838:+	-0.0581104203	0.0414585415
POFUT2	ENSG00000186866	ENSG00000186866;A3:21:45282459-45283383:45282398-45283383:-	0.0960115497	0.0044955045
MAGED4B	ENSG00000187243	ENSG00000187243;A3:X:52068224-52069130:52068173-52069130:-	-0.1128952689	0.00999001
ZNF286A	ENSG00000187607	ENSG00000187607;A3:17:15699777-15700048:15699777-15700208:+	-0.1123286212	0.00999001
ZNF286A	ENSG00000187607	ENSG00000187607;A3:17:15699777-15700135:15699777-15700208:+	-0.1139846529	0.00999001
ZNF286A	ENSG00000187607	ENSG00000187607;A3:17:15708247-15716000:15708247-15716059:+	-0.0658754972	0.0193140193
SECISBP2	ENSG00000187742	ENSG00000187742;A3:9:89319797-89325427:89319797-89325548:+	-0.0682018004	0.044955045
COMMD6	ENSG00000188243	ENSG00000188243;A3:13:75530408-75537664:75530405-75537664:-	-0.3034015942	0.044955045
CIBAR1	ENSG00000188343	ENSG00000188343;A3:8:93706196-93709771:93706196-93709775:+	0.1160264688	0.012987013
PPIA	ENSG00000196262	ENSG00000196262;A3:7:44799277-44799392:44799277-44799702:+	0.394797002	0.012987013
SRGAP2B	ENSG00000196369	ENSG00000196369;A3:1:144906074-144914692:144906039-144914692:-	0.0790501068	0.048951049
ANXA4	ENSG00000196975	ENSG00000196975;A3:2:69742175-69781494:69742175-69781520:+	-0.2252278052	0.0114885115
ZNF43	ENSG00000198521	ENSG00000198521;A3:19:21851162-21851905:21851027-21851905:-	0.1550943723	0.038961039
PNP	ENSG00000198805	ENSG00000198805;A3:14:20469031-20469323:20469031-20469327:+	0.3233937802	0.007992008
NAGA	ENSG00000198951	ENSG00000198951;A3:22:42070373-42070763:42070366-42070763:-	0.1504506232	0.0294705295
PCMTD2	ENSG00000203880	ENSG00000203880;A3:20:64265429-64267887:64265429-64267968:+	0.0543264161	0.0414585415
RXRB	ENSG00000204231	ENSG00000204231;A3:6:33195466-33195570:33195454-33195570:-	-0.0521656378	0.0434565435
STK19	ENSG00000204344	ENSG00000204344;A3:6:31978998-31979414:31978998-31980451:+	0.1478858512	0.0424575425
PRRC2A	ENSG00000204469	ENSG00000204469;A3:6:31620858-31622690:31620858-31622727:+	-0.0540865889	0.006993007
ZNF611	ENSG00000213020	ENSG00000213020;A3:19:52721267-52728730:52721263-52728730:-	0.3877330084	0.012987013
LTB4R2	ENSG00000213906	ENSG00000213906;A3:14:24310255-24310599:24310255-24310655:+	-0.2893533554	0.0314685315
ZBED1	ENSG00000214717	ENSG00000214717;A3:X:2490772-2500817:2490769-2500817:-	0.0698782826	0.032967033
PPP2R2A	ENSG00000221914	ENSG00000221914;A3:8:26354633-26358907:26354633-26358912:+	-0.4628135144	0.0234765235
LINC01918	ENSG00000226508	ENSG00000226508;A3:2:105144175-105144451:105144175-105144489:+	0.1310129006	0.0394605395
ING2-DT	ENSG00000232648	ENSG00000232648;A3:4:183497669-183504176:183497639-183504176:-	0.3421998641	0.0304695305
A2M-AS1	ENSG00000245105	ENSG00000245105;A3:12:9065228-9065808:9065228-9065826:+	0.2970884656	0.031968032
	ENSG00000251661	ENSG00000251661;A3:11:318746-324571:318746-324575:+	-0.4234868994	0.016983017
NKX2-1-AS1	ENSG00000253563	ENSG00000253563;A3:14:36519679-36521644:36519679-36522278:+	-0.1327037798	0.0274725275
ANKHD1-EIF4EBP3	ENSG00000254996	ENSG00000254996;A3:5:140535538-140537338:140535538-140537389:+	0.1112955849	0.0384615385
TIRAP-AS1	ENSG00000255062	ENSG00000255062;A3:11:126294656-126304208:126294602-126304208:-	0.1760631334	0.047952048
CNPY2	ENSG00000257727	ENSG00000257727;A3:12:56315242-56315821:56314966-56315821:-	0.215185698	0.043956044
C17orf49	ENSG00000258315	ENSG00000258315;A3:17:7017014-7017257:7017014-7017261:+	0.0653277952	0.023976024
ATP2A1-AS1	ENSG00000260442	ENSG00000260442;A3:16:28879107-28879542:28879104-28879542:-	0.0549734853	0.0494505495
	ENSG00000266993	ENSG00000266993;A3:1:51794074-51797955:51794074-51798276:+	0.3365620471	0.0154845155
	ENSG00000271147	ENSG00000271147;A3:X:102599572-102599706:102599572-102599712:+	-0.155691602	0.0464535465
LINC03104	ENSG00000274333	ENSG00000274333;A3:21:5585987-5588137:5585987-5591742:+	0.3575658416	0.0404595405
ZNF658	ENSG00000274349	ENSG00000274349;A3:9:66900836-66903361:66900836-66903518:+	-0.2070884734	0.0454545455
ARHGAP23	ENSG00000275832	ENSG00000275832;A3:17:38472006-38477579:38472006-38477828:+	0.0754155725	0.0394605395
	ENSG00000284642	ENSG00000284642;A3:1:10396376-10396823:10396376-10396833:+	0.123170434	0.046953047
NCAL1	ENSG00000284879	ENSG00000284879;A3:2:87716790-87719807:87716790-87719832:+	-0.1624548264	0.03996004
ASDURF	ENSG00000286053	ENSG00000286053;A3:2:189663954-189665376:189663954-189665422:+	-0.631024969	0.0064935065
	ENSG00000287961	ENSG00000287961;A3:19:16191895-16192288:16191891-16192288:-	0.3333333333	0.036963037
	ENSG00000290385	ENSG00000290385;A3:1:497299-498073:497228-498073:-	0.124451907	0.02997003
	ENSG00000290385	ENSG00000290385;A3:1:505103-514359:504933-514359:-	-0.2517498138	0.02997003
	ENSG00000293192	ENSG00000293192;A3:3:160566153-160567539:160566153-160567543:+	0.2726155843	0.044955045
C19orf48P	ENSG00000293495	ENSG00000293495;A3:19:50798924-50799294:50798782-50799294:-	-0.2643057137	0.047952048
C19orf48P	ENSG00000293495	ENSG00000293495;A3:19:50798958-50799294:50798782-50799294:-	-0.0646600353	0.047952048
	ENSG00000296908	ENSG00000296908;A3:5:175967632-175967917:175967632-175967960:+	0.2121236929	0.0154845155
	ENSG00000301565	ENSG00000301565;A3:1:149607681-149607771:149607625-149607771:-	0.2732143627	0.022977023
	ENSG00000301565	ENSG00000301565;A3:1:149607684-149607771:149607625-149607771:-	0.4176429244	0.01998002
	ENSG00000303567	ENSG00000303567;A3:17:40121413-40121784:40121410-40121784:-	-0.2888752616	0.042957043
	ENSG00000306436	ENSG00000306436;A3:1:35264627-35267531:35264623-35267531:-	0.5232541311	0.011988012
	ENSG00000308263	ENSG00000308263;A3:1:162451702-162488145:162451671-162488145:-	-0.2606899271	0.0474525475
