	gene_id	AL_con1-AL_con2_dPSI	AL_con1-AL_con2_p-val
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35212379:+	-0.3386850072	0.04995005
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35212465:+	-0.1959135511	0.04995005
CREM	ENSG00000095794	ENSG00000095794;AL:10:35207051-35211254:35211398:35207051-35211656:35212958:+	-0.3221426078	0.04995005
COCH	ENSG00000100473	ENSG00000100473;AL:14:30886312-30889616:30889887:30886312-30894913:30895065:+	0.3818774697	0.0434565435
COCH	ENSG00000100473	ENSG00000100473;AL:14:30886312-30889616:30890100:30886312-30894913:30895065:+	0.2305473464	0.0434565435
COCH	ENSG00000100473	ENSG00000100473;AL:14:30886312-30889616:30890616:30886312-30894913:30895065:+	0.3477353166	0.0434565435
COCH	ENSG00000100473	ENSG00000100473;AL:14:30886312-30889616:30890618:30886312-30894913:30895065:+	0.1492287258	0.0434565435
CGRRF1	ENSG00000100532	ENSG00000100532;AL:14:54537829-54538063:54538098:54537829-54538118:54538614:+	-0.226794239	0.0254745255
NAA10	ENSG00000102030	ENSG00000102030;AL:X:153930779:153930847-153932071:153931954:153931981-153932071:-	0.0984521556	0.023976024
MAGT1	ENSG00000102158	ENSG00000102158;AL:X:77826409:77826809-77841246:77827435:77829235-77841246:-	-0.3757807714	0.02997003
SPAG1	ENSG00000104450	ENSG00000104450;AL:8:100240771-100240891:100241904:100240771-100259042:100259278:+	-0.2989937174	0.0284715285
VRK3	ENSG00000105053	ENSG00000105053;AL:19:49981654:49982188-49988372:49986742:49986933-49988372:-	-0.4322973123	0.04995005
DMAC2	ENSG00000105341	ENSG00000105341;AL:19:41431318:41432408-41433537:41433224:41433434-41433537:-	-0.4050337048	0.0384615385
PCOLCE	ENSG00000106333	ENSG00000106333;AL:7:100605215-100605505:100605552:100605215-100605676:100605765:+	-0.2612374706	0.03996004
PHACTR2	ENSG00000112419	ENSG00000112419;AL:6:143749065-143753754:143754138:143749065-143765261:143765500:+	0.2536931099	0.047952048
BRD8	ENSG00000112983	ENSG00000112983;AL:5:138169263:138169358-138170345:138169363:138169388-138170345:-	-0.2591757484	0.020979021
SPCS2	ENSG00000118363	ENSG00000118363;AL:11:74949399-74965034:74965169:74949399-74976857:74977056:+	0.1356805519	0.025974026
CCDC77	ENSG00000120647	ENSG00000120647;AL:12:433322-433407:433480:433322-438335:438611:+	-0.4001162699	0.0174825175
ZSCAN18	ENSG00000121413	ENSG00000121413;AL:19:58086174:58086266-58087316:58086580:58087008-58087316:-	-0.2074769082	0.030969031
SEC22A	ENSG00000121542	ENSG00000121542;AL:3:123225297-123243812:123243950:123225297-123245899:123245930:+	0.2503319698	0.0474525475
NAA50	ENSG00000121579	ENSG00000121579;AL:3:113723487:113723517-113723959:113723519:113723596-113723959:-	0.3227170372	0.0094905095
CALD1	ENSG00000122786	ENSG00000122786;AL:7:134965386-134968340:134968402:134965386-134968554:134968875:+	0.16454855	0.021978022
VPS26A	ENSG00000122958	ENSG00000122958;AL:10:69166110-69168489:69168532:69166110-69171156:69171359:+	0.3878635325	0.026973027
VPS26A	ENSG00000122958	ENSG00000122958;AL:10:69166110-69168489:69168532:69166110-69171156:69172856:+	-0.1567077387	0.032967033
SNX21	ENSG00000124104	ENSG00000124104;AL:20:45835116-45838268:45838318:45835116-45840639:45841730:+	-0.2219174523	0.0434565435
SNX21	ENSG00000124104	ENSG00000124104;AL:20:45835116-45838268:45838318:45835116-45840639:45843276:+	-0.2254713413	0.0434565435
NCAN	ENSG00000130287	ENSG00000130287;AL:19:19245457-19248700:19249019:19245457-19249766:19249929:+	0.2259302505	0.0304695305
ZNF317	ENSG00000130803	ENSG00000130803;AL:19:9158908-9160114:9161433:9158908-9163055:9163424:+	-0.1773307847	0.0454545455
EXOC4	ENSG00000131558	ENSG00000131558;AL:7:133480138-133484040:133484197:133480138-133630045:133630198:+	0.3025332982	0.0354645355
ZRANB2	ENSG00000132485	ENSG00000132485;AL:1:71063291:71065137-71066776:71065719:71065752-71066776:-	0.0899601232	0.047952048
RNF138	ENSG00000134758	ENSG00000134758;AL:18:32092886-32109459:32109512:32092886-32113745:32113813:+	-0.7265081961	0.001998002
VPS36	ENSG00000136100	ENSG00000136100;AL:13:52413154:52413226-52416017:52415525:52415923-52416017:-	0.5031935278	0.0094905095
SUCLA2	ENSG00000136143	ENSG00000136143;AL:13:47954453:47954557-47968595:47956873:47956878-47968595:-	-0.3201442893	0.0384615385
EDNRB	ENSG00000136160	ENSG00000136160;AL:13:77896408:77896558-77899859:77898192:77898334-77899859:-	-0.1981753972	0.030969031
KDELR2	ENSG00000136240	ENSG00000136240;AL:7:6445953:6446104-6483967:6474080:6474284-6483967:-	0.0587864427	0.036963037
SRSF1	ENSG00000136450	ENSG00000136450;AL:17:58003493:58003718-58004923:58003807:58004001-58004923:-	-0.3630695055	0.034965035
DPM2	ENSG00000136908	ENSG00000136908;AL:9:127935383:127935780-127937434:127936034:127936655-127937434:-	-0.3554512571	0.030969031
DCUN1D5	ENSG00000137692	ENSG00000137692;AL:11:103062076:103062414-103066269:103064275:103064377-103066269:-	-0.0551048497	0.04995005
RPS24	ENSG00000138326	ENSG00000138326;AL:10:78037304-78040615:78040716:78037304-78054531:78056813:+	-0.3204462283	0.011988012
SEPTIN11	ENSG00000138758	ENSG00000138758;AL:4:77030970-77034497:77034667:77030970-77039073:77039115:+	-0.5286247656	0.017982018
SEPTIN11	ENSG00000138758	ENSG00000138758;AL:4:77030970-77034497:77034667:77030970-77039073:77039326:+	-0.4544791328	0.017982018
SEPTIN11	ENSG00000138758	ENSG00000138758;AL:4:77030970-77034497:77034667:77030970-77039743:77040100:+	-0.5531351097	0.017982018
HADH	ENSG00000138796	ENSG00000138796;AL:4:108014588-108018446:108018511:108014588-108019540:108020320:+	-0.3493213828	0.0194805195
SLC38A6	ENSG00000139974	ENSG00000139974;AL:14:61030523-61034019:61034299:61030523-61037059:61037118:+	0.5078411448	0.024975025
FTO	ENSG00000140718	ENSG00000140718;AL:16:53934109-53979371:53979499:53934109-54111762:54112138:+	0.6513161923	0.044955045
G6PC3	ENSG00000141349	ENSG00000141349;AL:17:44075451-44075680:44075832:44075451-44080098:44080172:+	-0.2778209017	0.035964036
G6PC3	ENSG00000141349	ENSG00000141349;AL:17:44075451-44075680:44076329:44075451-44080098:44080172:+	-0.2007850292	0.0392940393
G6PC3	ENSG00000141349	ENSG00000141349;AL:17:44075451-44075680:44076343:44075451-44080098:44080172:+	-0.2346556508	0.035964036
IMPA2	ENSG00000141401	ENSG00000141401;AL:18:11999187-12008333:12008360:11999187-12009883:12010221:+	0.3349585684	0.02997003
SFXN5	ENSG00000144040	ENSG00000144040;AL:2:73049086:73049899-73058528:73053329:73053551-73058528:-	-0.340738124	0.0204795205
NHP2	ENSG00000145912	ENSG00000145912;AL:5:178149463:178149838-178153491:178150826:178150993-178153491:-	0.0616655183	0.0344655345
PAK1	ENSG00000149269	ENSG00000149269;AL:11:77322017:77323154-77332730:77323269:77323360-77332730:-	-0.6130347318	0.013986014
ZNF776	ENSG00000152443	ENSG00000152443;AL:19:57750911-57753274:57753444:57750911-57756872:57757309:+	-0.3552060448	0.0074925075
LINC00467	ENSG00000153363	ENSG00000153363;AL:1:211426283-211432046:211432290:211426283-211432319:211432535:+	-0.3119221242	0.044955045
LINC00467	ENSG00000153363	ENSG00000153363;AL:1:211426283-211432046:211432290:211426283-211432319:211432537:+	-0.227100627	0.044955045
LINC00467	ENSG00000153363	ENSG00000153363;AL:1:211426283-211432046:211432290:211426283-211432319:211435333:+	-0.3120115102	0.044955045
C21orf91	ENSG00000154642	ENSG00000154642;AL:21:17793247:17793581-17796582:17795208:17795270-17796582:-	-0.2945235208	0.021978022
VPS37A	ENSG00000155975	ENSG00000155975;AL:8:17298158-17299855:17300131:17298158-17302214:17302427:+	-0.3107059465	0.028971029
VPS37A	ENSG00000155975	ENSG00000155975;AL:8:17298158-17299855:17300282:17298158-17302214:17302427:+	-0.3438346851	0.027972028
FANCC	ENSG00000158169	ENSG00000158169;AL:9:95172043:95172147-95240649:95186531:95186645-95240649:-	-0.5490739132	0.004995005
DONSON	ENSG00000159147	ENSG00000159147;AL:21:33578242:33578444-33581302:33579524:33579562-33581302:-	-0.1760814578	0.044955045
RGS12	ENSG00000159788	ENSG00000159788;AL:4:3428169-3430407:3430447:3428169-3439455:3439913:+	-0.1042893981	0.0374625375
MIX23	ENSG00000160124	ENSG00000160124;AL:3:122359629:122359827-122362968:122359862:122359919-122362968:-	-0.2598020913	0.01998002
BRSK1	ENSG00000160469	ENSG00000160469;AL:19:55303826-55304050:55304073:55303826-55304551:55304667:+	0.1696694847	0.037962038
LZIC	ENSG00000162441	ENSG00000162441;AL:1:9922113:9922358-9931891:9929720:9930457-9931891:-	-0.3504513629	0.037962038
MXRA8	ENSG00000162576	ENSG00000162576;AL:1:1352692:1353332-1353848:1353439:1353629-1353848:-	-0.2718983599	0.044955045
SANBR	ENSG00000162929	ENSG00000162929;AL:2:61118116-61121185:61121565:61118116-61134137:61134232:+	-0.4801555717	0.007992008
BAP1	ENSG00000163930	ENSG00000163930;AL:3:52406646:52406907-52407399:52407179:52407316-52407399:-	0.2756001968	0.0134865135
BRI3	ENSG00000164713	ENSG00000164713;AL:7:98282453-98291111:98291524:98282453-98292639:98292963:+	0.1741271612	0.0464535465
SPIDR	ENSG00000164808	ENSG00000164808;AL:8:47396626-47407861:47408006:47396626-47440323:47440542:+	0.5159833834	0.0124875125
HPRT1	ENSG00000165704	ENSG00000165704;AL:X:134498684-134500030:134500668:134498684-134520482:134520513:+	-0.1326758624	0.023976024
STK32C	ENSG00000165752	ENSG00000165752;AL:10:132324037:132324373-132331436:132330281:132330485-132331436:-	0.1427178846	0.0214785215
FRS2	ENSG00000166225	ENSG00000166225;AL:12:69562274-69569005:69569066:69562274-69570331:69570469:+	-0.4071546268	0.020979021
ZNF606	ENSG00000166704	ENSG00000166704;AL:19:57988676:57988721-58000683:57997396:57999896-58000683:-	-0.2119324252	0.038961039
SLC3A2	ENSG00000168003	ENSG00000168003;AL:11:62885608-62886461:62886526:62885608-62888135:62888805:+	-0.2660620929	0.01998002
TCTN2	ENSG00000168778	ENSG00000168778;AL:12:123707073-123707604:123707997:123707073-123708204:123708340:+	0.3494583501	0.0374625375
TCTN2	ENSG00000168778	ENSG00000168778;AL:12:123707073-123707604:123708007:123707073-123708204:123708340:+	0.1882316896	0.0374625375
HNRNPH1	ENSG00000169045	ENSG00000169045;AL:5:179617817:179617911-179620892:179619101:179619407-179620892:-	-0.2420480404	0.006993007
HNRNPH1	ENSG00000169045	ENSG00000169045;AL:5:179617817:179617911-179620892:179619469:179620037-179620892:-	-0.1737187492	0.048951049
RNF34	ENSG00000170633	ENSG00000170633;AL:12:121400218-121416159:121416609:121400218-121423386:121423906:+	0.2004734279	0.0364635365
ALG14	ENSG00000172339	ENSG00000172339;AL:1:94974405:94983306-95027129:94983550:94983633-95027129:-	0.5272809111	0.0124875125
DCP2	ENSG00000172795	ENSG00000172795;AL:5:112976986-112983974:112984651:112976986-112985835:112986010:+	0.2381698514	0.026973027
MZT2A	ENSG00000173272	ENSG00000173272;AL:2:131483958:131484218-131491876:131486424:131486561-131491876:-	0.3391274046	0.028971029
HAP1	ENSG00000173805	ENSG00000173805;AL:17:41717742:41718026-41725859:41720813:41725154-41725859:-	-0.1936012887	0.036963037
HAP1	ENSG00000173805	ENSG00000173805;AL:17:41717742:41718026-41725859:41722640:41725154-41725859:-	-0.1473515999	0.036963037
RALGAPA1	ENSG00000174373	ENSG00000174373;AL:14:35538352:35539690-35549110:35548512:35548538-35549110:-	-0.1859108164	0.040959041
LRRTM4	ENSG00000176204	ENSG00000176204;AL:2:77519762:77519864-77592815:77552566:77552656-77592815:-	0.7682686105	0.002997003
PAWR	ENSG00000177425	ENSG00000177425;AL:12:79667979:79668408-79689729:79688372:79688465-79689729:-	0.4763311234	0.02997003
TBL1XR1	ENSG00000177565	ENSG00000177565;AL:3:177051701:177051726-177064920:177053792:177053918-177064920:-	0.6296545139	0.01998002
ZNF552	ENSG00000178935	ENSG00000178935;AL:19:57803841:57804064-57813294:57807909:57809103-57813294:-	-0.4015693695	0.041958042
GAK	ENSG00000178950	ENSG00000178950;AL:4:893943:894009-898033:896469:896549-898033:-	0.2744234375	0.047952048
AP1S2	ENSG00000182287	ENSG00000182287;AL:X:15825806:15827372-15845379:15830059:15833007-15845379:-	-0.0792385997	0.012987013
GJC1	ENSG00000182963	ENSG00000182963;AL:17:44798448:44800851-44804588:44803949:44804114-44804588:-	-0.254941322	0.028971029
ZNF320	ENSG00000182986	ENSG00000182986;AL:19:52881617:52881941-52888127:52881954:52881983-52888127:-	0.1942224408	0.0434565435
NPIPA5	ENSG00000183793	ENSG00000183793;AL:16:15363628:15364069-15365429:15364876:15364932-15365429:-	-0.1679419251	0.0384615385
SAXO2	ENSG00000188659	ENSG00000188659;AL:15:82263188-82264673:82264889:82263188-82265569:82265748:+	0.255515005	0.030969031
ALKBH2	ENSG00000189046	ENSG00000189046;AL:12:109088222:109088512-109092507:109090037:109090207-109092507:-	-0.4916665511	0.0024975025
ALKBH2	ENSG00000189046	ENSG00000189046;AL:12:109088222:109088512-109092507:109090125:109090207-109092507:-	-0.496769679	0.004995005
LITAF	ENSG00000189067	ENSG00000189067;AL:16:11549107:11549745-11553533:11551773:11551804-11553533:-	0.2242616483	0.0324675325
TRAPPC4	ENSG00000196655	ENSG00000196655;AL:11:119021886-119023010:119023282:119021886-119023321:119023665:+	-0.4888569574	0.0254745255
ZNF28	ENSG00000198538	ENSG00000198538;AL:19:52800048:52801702-52817944:52807876:52808133-52817944:-	0.2415704046	0.040959041
ZNF28	ENSG00000198538	ENSG00000198538;AL:19:52800048:52801702-52817944:52814284:52814426-52817944:-	0.5834733046	0.012987013
ZNF521	ENSG00000198795	ENSG00000198795;AL:18:25227244:25227697-25322008:25315524:25315788-25322008:-	0.3499127272	0.031968032
SERF1B	ENSG00000205572	ENSG00000205572;AL:5:70026515-70029766:70030122:70026515-70032315:70032493:+	0.3037631482	0.03996004
SERF1B	ENSG00000205572	ENSG00000205572;AL:5:70026515-70032315:70032493:70026515-70041524:70042008:+	-0.1673741849	0.03996004
SERF1B	ENSG00000205572	ENSG00000205572;AL:5:70026515-70032315:70032493:70026515-70041524:70043113:+	-0.140479267	0.03996004
LCMT1	ENSG00000205629	ENSG00000205629;AL:16:25151615-25158787:25158931:25151615-25161102:25161206:+	0.2516269903	0.041958042
ARL2	ENSG00000213465	ENSG00000213465;AL:11:65018733-65020419:65020547:65018733-65021721:65022160:+	0.2322434315	0.0254745255
TAFA5	ENSG00000219438	ENSG00000219438;AL:22:48707844-48749839:48750488:48707844-48850758:48850912:+	0.2769532221	0.03996004
LINC01766	ENSG00000224910	ENSG00000224910;AL:19:35575779-35581852:35581964:35575779-35600641:35601037:+	0.07358497	0.004995005
RBM14	ENSG00000239306	ENSG00000239306;AL:11:66617550-66618496:66618532:66617550-66624214:66624498:+	0.1612093061	0.03996004
PRAF2	ENSG00000243279	ENSG00000243279;AL:X:49071597:49072008-49073809:49072031:49072650-49073809:-	-0.1405316445	0.0474525475
	ENSG00000247134	ENSG00000247134;AL:8:33041771-33044367:33044614:33041771-33076539:33076784:+	0.4147370122	0.03996004
	ENSG00000247134	ENSG00000247134;AL:8:33041771-33044367:33045440:33041771-33076539:33076784:+	0.4457666832	0.03996004
GP6-AS1	ENSG00000267265	ENSG00000267265;AL:19:55006464-55020235:55021066:55006464-55042800:55042864:+	0.3381459746	0.0354645355
LINC01801	ENSG00000267767	ENSG00000267767;AL:19:34849046:34849549-34860174:34850628:34850794-34860174:-	0.1721975746	0.0404595405
CHASERR	ENSG00000272888	ENSG00000272888;AL:15:92883186-92883585:92883861:92883186-92897724:92898089:+	-0.1014874608	0.0004995005
CD99P1	ENSG00000291040	ENSG00000291040;AL:X:2626642-2637974:2638329:2626642-2658503:2658943:+	0.4207315004	0.0244755245
SBDSP1	ENSG00000291152	ENSG00000291152;AL:7:72831798-72833764:72833858:72831798-72836577:72837377:+	-0.4779477228	0.0464535465
	ENSG00000296726	ENSG00000296726;AL:15:84071993:84073321-84080045:84079390:84079602-84080045:-	-0.425479121	0.047952048
	ENSG00000305087	ENSG00000305087;AL:9:35725920:35726229-35727638:35726397:35726534-35727638:-	0.2520306614	0.013986014
