ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4661	ENSG00000143363	PRUNE1	chr1	+	151024610	151024795	151018466	151018669	151027232	151027327	4661	197,214,177	7,4,2	195,191,180	1,21,19	334	149	0.000476548807864	0.0364792844448	0.926,0.96,0.975	0.989,0.802,0.809	0.087
4666	ENSG00000143363	PRUNE1	chr1	+	151025514	151025673	151018466	151018669	151027232	151027327	4666	219,198,137	7,4,2	184,191,153	1,21,19	308	149	0.000431456544785	0.0341303737666	0.938,0.96,0.971	0.989,0.815,0.796	0.09
4701	ENSG00000157087	ATP2B2	chr3	-	10336128	10336300	10328146	10329125	10338175	10338358	4701	28,11,12	30,22,12	4,6,3	23,21,12	321	149	0.000237329369221	0.0236597406548	0.302,0.188,0.317	0.075,0.117,0.104	0.17
4727	ENSG00000234127	TRIM26	chr6	-	30204655	30204765	30201034	30201083	30213304	30213365	4727	45,32,34	0,0,0	60,48,48	8,2,1	259	149	5.98270560683e-05	0.0100667688371	1.0,1.0,1.0	0.812,0.932,0.965	0.097
4776	ENSG00000147813	NAPRT	chr8	-	143574985	143575093	143574784	143574900	143575422	143575525	4776	57,29,32	1,0,5	43,34,35	7,8,10	257	149	0.000271686661697	0.0258479024267	0.971,1.0,0.788	0.781,0.711,0.67	0.199
4777	ENSG00000147813	NAPRT	chr8	-	143575190	143575345	143574784	143574900	143575422	143575525	4777	112,91,78	1,0,5	105,116,93	7,8,10	304	149	0.000343108005105	0.0298426060691	0.982,1.0,0.884	0.88,0.877,0.82	0.096
5122	ENSG00000173295	FAM86B3P	chr8	+	8232793	8232874	8230842	8230905	8234482	8234584	5122	19,18,15	0,1,0	19,13,7	6,2,0	230	149	0.000139221822774	0.0170632502639	1.0,0.921,1.0	0.672,0.808,1.0	0.147
5702	ENSG00000114062	UBE3A	chr15	-	25420655	25420752	25409087	25409207	25438488	25438986	5702	2,1,0	15,29,11	4,6,6	35,7,11	246	149	0.000122048770126	0.0156287530013	0.075,0.02,0.0	0.065,0.342,0.248	-0.187
5850	ENSG00000167460	TPM4	chr19	+	16080914	16081075	16077015	16077130	16081912	16082046	5850	58,32,32	8,4,5	19,37,17	16,12,13	310	149	5.58163115043e-05	0.00956168998303	0.777,0.794,0.755	0.363,0.597,0.386	0.327
5950	ENSG00000106462	EZH2	chr7	-	148836821	148837000	148829727	148829848	148884163	148884321	5950	4,6,10	19,25,26	1,4,0	35,51,24	328	149	1.79451972848e-05	0.00455699175564	0.087,0.098,0.149	0.013,0.034,0.0	0.096
6038	ENSG00000163820	FYCO1	chr3	-	45964335	45964454	45962224	45962392	45965032	45965125	6038	96,109,136	6,12,0	199,137,134	2,2,2	268	149	0.00069065036115	0.0461740672011	0.899,0.835,1.0	0.982,0.974,0.974	-0.065
6068	ENSG00000131051	RBM39	chr20	-	35729461	35729551	35729311	35729365	35731940	35732135	6068	1260,1353,1082	44,49,34	1332,1143,1054	97,95,69	239	149	1.27680686024e-08	3.48303238694e-05	0.947,0.945,0.952	0.895,0.882,0.905	0.054
6251	ENSG00000174306	ZHX3	chr20	-	41267462	41267612	41202056	41205066	41268978	41269083	6251	10,12,4	19,21,8	1,0,4	11,24,15	299	149	4.00508309908e-05	0.00781242878015	0.208,0.222,0.199	0.043,0.0,0.117	0.156
6252	ENSG00000174306	ZHX3	chr20	-	41267462	41267612	41202056	41205066	41268989	41269083	6252	7,15,6	36,33,36	0,4,4	32,39,32	299	149	0.000663638097643	0.0450370878304	0.088,0.185,0.077	0.0,0.049,0.059	0.081
6342	ENSG00000130714	POMT1	chr9	+	131511574	131511742	131511336	131511472	131512040	131512136	6342	3,9,4	48,33,23	2,0,2	26,45,43	317	149	0.00076474902522	0.0492364928387	0.029,0.114,0.076	0.035,0.0,0.021	0.054
6397	ENSG00000291081	NA	chr3	-	130102763	130102913	130097781	130099358	130111278	130111498	6397	24,11,18	0,1,0	25,16,12	8,1,1	299	149	4.0296339201e-05	0.00784332302569	1.0,0.846,1.0	0.609,0.889,0.857	0.164
6398	ENSG00000291081	NA	chr3	-	130102763	130102935	130098964	130099358	130111278	130111498	6398	27,11,24	0,1,0	27,17,11	8,1,1	321	149	2.66314786233e-05	0.00594152578163	1.0,0.836,1.0	0.61,0.888,0.836	0.167
6408	ENSG00000291081	NA	chr3	-	130105529	130105631	130099005	130099358	130111278	130111433	6408	5,3,8	0,1,0	2,1,2	8,1,1	251	149	1.25367248582e-07	0.000167196263233	1.0,0.64,1.0	0.129,0.372,0.543	0.532
6522	ENSG00000135905	DOCK10	chr2	-	224768871	224768947	224765103	224765837	224770210	224770349	6522	7,15,8	38,44,35	6,2,1	72,24,29	225	149	0.000246189882317	0.0241947407107	0.109,0.184,0.131	0.052,0.052,0.022	0.099
6546	ENSG00000121957	GPSM2	chr1	+	108877530	108877774	108877158	108877228	108882475	108882625	6546	5,6,9	3,1,5	1,7,7	0,0,0	393	149	3.07300351832e-09	1.31731612488e-05	0.387,0.695,0.406	1.0,1.0,1.0	-0.504
6704	ENSG00000120262	CCDC170	chr6	+	151585888	151586089	151573173	151573491	151593106	151593280	6704	30,15,21	7,0,1	10,5,10	0,0,1	350	149	0.000338079645755	0.0295193373718	0.646,1.0,0.899	1.0,1.0,0.81	-0.088
6866	ENSG00000197415	VEPH1	chr3	-	157489054	157489160	157470418	157470529	157493186	157493293	6866	14,2,12	3,4,6	5,8,2	0,1,0	255	149	1.22699216473e-05	0.00360022446592	0.732,0.226,0.539	1.0,0.824,1.0	-0.442
7201	ENSG00000115310	RTN4	chr2	-	55025085	55027485	54987490	54987698	55049744	55050451	7201	17849,16319,13067	2884,2898,2164	14048,15019,12579	3877,2860,2837	2549	149	0.000257692834267	0.0249377883947	0.266,0.248,0.261	0.175,0.235,0.206	0.053
7234	ENSG00000105339	DENND3	chr8	+	141141202	141141324	141138021	141138137	141144147	141144259	7234	25,24,31	0,0,0	59,46,37	0,6,6	271	149	2.71622299464e-05	0.00601521447262	1.0,1.0,1.0	1.0,0.808,0.772	0.14
7276	ENSG00000101782	RIOK3	chr18	+	23464205	23464313	23462963	23463079	23466132	23466276	7276	5,1,1	1,0,0	8,3,2	5,5,0	257	149	7.82751856959e-05	0.0117303288384	0.744,1.0,1.0	0.481,0.258,1.0	0.335
7369	ENSG00000114757	PEX5L	chr3	-	179898141	179898246	179887672	179887784	179971593	179971665	7369	12,5,12	0,0,1	9,11,4	4,0,8	254	149	4.70625159072e-05	0.00861501975353	1.0,1.0,0.876	0.569,1.0,0.227	0.36
7375	ENSG00000114757	PEX5L	chr3	-	179971593	179971665	179887672	179887784	180036578	180036937	7375	0,2,0	3,1,1	6,8,11	1,1,1	221	149	1.0252738559e-05	0.00326136715261	0.0,0.574,0.0	0.802,0.844,0.881	-0.651
7540	ENSG00000151849	CENPJ	chr13	-	24886234	24886385	24885605	24885670	24892642	24892867	7540	0,0,0	1,1,3	6,1,5	6,0,2	300	149	2.1794624141e-06	0.00114259017296	0.0,0.0,0.0	0.332,1.0,0.554	-0.629
7631	ENSG00000148288	GBGT1	chr9	-	133155177	133155312	133152947	133154261	133155900	133155936	7631	24,36,37	7,6,0	62,36,31	0,2,1	284	149	0.000449071486199	0.0349706650475	0.643,0.759,1.0	1.0,0.904,0.942	-0.148
7851	ENSG00000143373	ZNF687	chr1	+	151288527	151288706	151282287	151282395	151289677	151290007	7851	30,26,16	0,0,0	16,8,44	4,3,4	328	149	2.91757046522e-07	0.00029845917004	1.0,1.0,1.0	0.645,0.548,0.833	0.325
7966	ENSG00000216937	CCDC7	chr10	+	32623718	32623817	32584231	32584304	32685969	32686080	7966	2,1,0	2,4,1	0,2,1	1,0,0	248	149	0.00076491203111	0.0492364928387	0.375,0.131,0.0	0.0,1.0,1.0	-0.498
8061	ENSG00000196367	TRRAP	chr7	+	99030594	99030757	99012070	99014955	99032893	99033039	8061	46,34,26	0,0,0	13,40,21	3,5,0	312	149	9.21484788134e-05	0.0129817594452	1.0,1.0,1.0	0.674,0.793,1.0	0.178
8107	ENSG00000101236	RNF24	chr20	-	3974331	3974400	3963874	3964024	4015144	4015389	8107	41,31,22	2,2,3	20,36,30	9,6,14	218	149	0.000171765003893	0.0196225168756	0.933,0.914,0.834	0.603,0.804,0.594	0.227
8113	ENSG00000172765	TMCC1	chr3	-	129827802	129828077	129670329	129671264	129880308	129880562	8113	265,208,209	4,0,0	275,273,253	12,6,3	424	149	0.000141531028409	0.0172406434018	0.959,1.0,1.0	0.89,0.941,0.967	0.054
8118	ENSG00000172765	TMCC1	chr3	-	129832773	129832826	129670329	129671264	129880308	129880559	8118	41,25,14	4,0,0	18,30,9	12,6,3	202	149	1.36829437963e-05	0.00382980549942	0.883,1.0,1.0	0.525,0.787,0.689	0.294
8123	ENSG00000172765	TMCC1	chr3	-	129838897	129839060	129670329	129671264	129880308	129880562	8123	7,11,7	4,0,0	2,6,3	12,6,3	312	149	3.86336197989e-05	0.00761852443533	0.455,1.0,1.0	0.074,0.323,0.323	0.578
8140	ENSG00000172765	TMCC1	chr3	-	129857249	129857405	129848342	129848412	129867009	129867098	8140	39,52,27	0,1,0	34,31,36	1,8,0	305	149	0.00039177569331	0.0322394105742	1.0,0.962,1.0	0.943,0.654,1.0	0.122
8152	ENSG00000172765	TMCC1	chr3	-	129860939	129861012	129857249	129857405	129867009	129867100	8152	2,2,4	2,3,0	1,1,7	0,0,0	222	149	0.000766019566311	0.0492364928387	0.402,0.309,1.0	1.0,1.0,1.0	-0.43
8269	ENSG00000121067	SPOP	chr17	-	49636758	49636809	49622732	49622876	49646115	49646630	8269	11,13,4	0,0,0	12,15,8	0,8,1	200	149	4.88146332273e-05	0.00881608789749	1.0,1.0,1.0	1.0,0.583,0.856	0.187
8309	ENSG00000164506	STXBP5	chr6	+	147339336	147339384	147339178	147339238	147345943	147346590	8309	1,18,1	0,8,0	8,12,5	0,0,0	197	149	0.000223350653278	0.0227705105709	1.0,0.63,1.0	1.0,1.0,1.0	-0.123
8433	ENSG00000229043	ZFAND2A-DT	chr7	+	1163451	1163495	1160373	1160623	1164160	1165580	8433	24,40,14	0,15,0	35,29,13	0,0,1	193	149	0.000206633446843	0.0219875329019	1.0,0.673,1.0	1.0,1.0,0.909	-0.079
8664	ENSG00000168890	TMEM150A	chr2	-	85601305	85601482	85601020	85601107	85601883	85602064	8664	155,161,106	22,30,22	207,141,163	16,15,13	326	149	0.000733584599948	0.0479455764313	0.763,0.71,0.688	0.855,0.811,0.851	-0.119
8665	ENSG00000168890	TMEM150A	chr2	-	85601434	85601482	85601020	85601107	85601883	85602064	8665	272,245,157	22,30,22	410,210,284	16,15,13	197	149	9.43500432865e-05	0.0131821505912	0.903,0.861,0.844	0.951,0.914,0.943	-0.067
8826	ENSG00000068354	TBC1D25	chrX	+	48541332	48541442	48539713	48539920	48558896	48559024	8826	115,137,97	10,1,3	88,137,69	15,10,9	259	149	0.000746608656048	0.0485452012499	0.869,0.987,0.949	0.771,0.887,0.815	0.111
9289	ENSG00000187122	SLIT1	chr10	-	97163379	97163451	97066014	97066086	97185477	97185623	9289	13,25,12	2,7,2	9,2,9	0,0,0	221	149	3.20660247166e-06	0.00150345398126	0.814,0.707,0.802	1.0,1.0,1.0	-0.226
9579	ENSG00000290548	NA	chr5	-	34169026	34169153	34124352	34124528	34175444	34175537	9579	27,33,35	8,3,4	17,28,17	0,0,0	276	149	4.26096277373e-07	0.00038941955364	0.646,0.856,0.825	1.0,1.0,1.0	-0.224
9658	ENSG00000115295	CLIP4	chr2	+	29174372	29174445	29167241	29167540	29181571	29181697	9658	94,87,25	4,5,7	44,115,81	0,3,0	222	149	6.02352512818e-05	0.0100801760394	0.94,0.921,0.706	1.0,0.963,1.0	-0.132
9659	ENSG00000115295	CLIP4	chr2	+	29174372	29175600	29167475	29167540	29181571	29183791	9659	401,316,251	4,5,7	216,328,226	0,3,0	1377	149	0.000319857151277	0.0285230515539	0.916,0.872,0.795	1.0,0.922,1.0	-0.113
9660	ENSG00000115295	CLIP4	chr2	+	29174379	29174445	29167475	29167540	29181571	29183783	9660	35,26,5	4,5,7	13,35,29	0,3,0	215	149	0.00011973521994	0.0154601440883	0.858,0.783,0.331	1.0,0.89,1.0	-0.306
9802	ENSG00000196586	MYO6	chr6	+	75911671	75911698	75908495	75908627	75914062	75914281	9802	57,87,58	415,394,271	42,23,41	336,435,435	176	149	3.35664452566e-07	0.00032667045964	0.104,0.157,0.153	0.096,0.043,0.074	0.067
9932	ENSG00000183023	SLC8A1	chr2	-	40177751	40177855	40174824	40174842	40178386	40178493	9932	49,56,35	41,62,30	79,51,59	19,28,31	253	149	0.000768018489839	0.0492963825191	0.413,0.347,0.407	0.71,0.518,0.528	-0.196
10114	ENSG00000291122	CASTOR3P	chr7	-	100213046	100213133	100188086	100188389	100223569	100223698	10114	8,13,2	0,0,2	4,5,3	3,1,5	236	149	0.000608849896525	0.0424551362975	1.0,1.0,0.387	0.457,0.759,0.275	0.299
10135	ENSG00000291122	CASTOR3P	chr7	-	100222596	100222720	100212913	100213353	100223881	100224075	10135	60,76,50	6,2,2	43,79,49	0,1,0	273	149	0.000670362285993	0.0452885692522	0.845,0.954,0.932	1.0,0.977,1.0	-0.082
10172	ENSG00000154099	DNAAF1	chr16	+	84165782	84165949	84159674	84159796	84169858	84169976	10172	21,39,21	1,1,1	19,4,13	8,4,1	316	149	0.000129851192747	0.0163602507318	0.908,0.948,0.908	0.528,0.32,0.86	0.352
10360	ENSG00000182944	EWSR1	chr22	+	29299194	29299280	29298732	29298895	29299598	29299851	10360	166,211,166	0,3,1	177,142,108	9,7,7	235	149	2.25425550804e-06	0.00116963378799	1.0,0.978,0.991	0.926,0.928,0.907	0.069
10399	ENSG00000102043	MTMR8	chrX	-	64359404	64359527	64356175	64356338	64395339	64395452	10399	26,56,15	0,0,1	34,41,47	6,7,0	272	149	4.17403393952e-05	0.00797776637551	1.0,1.0,0.892	0.756,0.762,1.0	0.125
10432	ENSG00000137474	MYO7A	chr11	+	77157278	77157392	77156861	77157004	77160972	77161115	10432	1,8,14	0,0,0	8,9,17	2,2,2	263	149	0.000482961927046	0.0367514430394	1.0,1.0,1.0	0.694,0.718,0.828	0.253
10454	ENSG00000185880	TRIM69	chr15	+	44736341	44736710	44728987	44729552	44767230	44767827	10454	12,7,2	0,0,0	5,10,10	1,6,0	518	149	8.26179911438e-05	0.0121228940338	1.0,1.0,1.0	0.59,0.324,1.0	0.362
10457	ENSG00000185880	TRIM69	chr15	+	44754899	44755376	44728987	44729552	44767230	44767575	10457	24,15,24	0,0,0	14,28,8	1,6,0	626	149	6.0974038117e-05	0.0100993088728	1.0,1.0,1.0	0.769,0.526,1.0	0.235
10466	ENSG00000185880	TRIM69	chr15	+	44758612	44758803	44756367	44756463	44759639	44759662	10466	5,9,10	4,4,0	10,4,7	0,0,0	340	149	4.36262187642e-06	0.00185249889268	0.354,0.496,1.0	1.0,1.0,1.0	-0.383
10467	ENSG00000185880	TRIM69	chr15	+	44758612	44758854	44756367	44756463	44759639	44759662	10467	18,18,23	4,4,0	20,17,13	0,0,0	391	149	1.16760947944e-05	0.00354038742371	0.632,0.632,1.0	1.0,1.0,1.0	-0.245
10468	ENSG00000185880	TRIM69	chr15	+	44758620	44758854	44756367	44756463	44759639	44759662	10468	16,14,20	4,4,0	13,23,8	0,0,0	383	149	8.3932331566e-06	0.00283926910274	0.609,0.577,1.0	1.0,1.0,1.0	-0.271
10469	ENSG00000185880	TRIM69	chr15	+	44758688	44758854	44756367	44756463	44759639	44759662	10469	10,8,17	4,4,0	8,14,7	0,0,0	315	149	7.82185621062e-06	0.00271866883731	0.542,0.486,1.0	1.0,1.0,1.0	-0.324
10576	ENSG00000206149	HERC2P9	chr15	+	28612058	28612173	28590188	28590260	28629265	28629441	10576	56,41,52	9,15,17	34,32,58	5,4,1	264	149	0.00077539584688	0.0495403103122	0.778,0.607,0.633	0.793,0.819,0.97	-0.188
10790	ENSG00000105397	TYK2	chr19	-	10353527	10353929	10350576	10350968	10354041	10354153	10790	136,152,94	6,8,6	80,91,102	21,13,10	551	149	0.000368849414507	0.0312071217745	0.86,0.837,0.809	0.507,0.654,0.734	0.204
10818	ENSG00000106336	FBXO24	chr7	+	100590173	100590357	100589976	100590075	100591666	100591846	10818	6,1,1	0,0,0	2,2,0	1,0,3	333	149	0.000540476244	0.0393326452702	1.0,1.0,1.0	0.472,1.0,0.0	0.509
11036	ENSG00000310065	NA	chr9	+	63058551	63058699	63055922	63056103	63151190	63151361	11036	2,6,2	0,0,0	0,4,0	2,2,1	297	149	2.63577897841e-07	0.000283101387661	1.0,1.0,1.0	0.0,0.501,0.0	0.833
11116	ENSG00000078687	TNRC6C	chr17	+	78077160	78077334	78075135	78075278	78083046	78083166	11116	39,29,24	9,3,2	23,38,21	1,0,0	323	149	3.25223269326e-06	0.00150491994675	0.667,0.817,0.847	0.914,1.0,1.0	-0.194
11173	ENSG00000251562	MALAT1	chr11	+	65504132	65504206	65503726	65503931	65504325	65504358	11173	13,9,14	1,1,3	10,9,13	15,9,9	223	149	7.50418089446e-06	0.00265437178935	0.897,0.857,0.757	0.308,0.401,0.491	0.437
11216	ENSG00000141627	DYM	chr18	-	49333727	49333853	49286433	49286616	49391592	49391645	11216	2,6,1	0,0,0	1,1,0	2,0,1	275	149	0.000267681870629	0.0255672398057	1.0,1.0,1.0	0.213,1.0,0.0	0.596
