	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
NASP	ENSG00000132780	ENSG00000132780;SE:1:45606591-45607321:45608337-45613169:+	0.0517807606	0.0324675325
RBM38	ENSG00000132819	ENSG00000132819;SE:20:57392777-57393279:57393333-57407543:+	0.0885830342	0.01998002
ZBED3	ENSG00000132846	ENSG00000132846;SE:5:77077895-77078594:77078728-77087111:-	0.1061707786	0.0424575425
MPRIP	ENSG00000133030	ENSG00000133030;SE:17:17180088-17180607:17180669-17184823:+	-0.057932696	0.0424575425
DPH6	ENSG00000134146	ENSG00000134146;SE:15:35538467-35542413:35542507-35546119:-	-0.1033518857	0.04995005
TSPAN2	ENSG00000134198	ENSG00000134198;SE:1:115058981-115060464:115060538-115062135:-	-0.1206134422	0.045954046
IL6ST	ENSG00000134352	ENSG00000134352;SE:5:55964312-55968276:55968387-55969550:-	-0.6670202315	0.0
RELCH	ENSG00000134444	ENSG00000134444;SE:18:62282444-62284239:62284361-62285449:+	0.2757095688	0.0434565435
RBM17	ENSG00000134453	ENSG00000134453;SE:10:6089193-6097048:6097188-6101271:+	0.0656103661	0.007992008
RNF138	ENSG00000134758	ENSG00000134758;SE:18:32092886-32111754:32111919-32113745:+	-0.0563767751	0.0487012987
RNF138	ENSG00000134758	ENSG00000134758;SE:18:32113860-32123518:32123574-32124734:+	0.1545701088	0.0164835165
DYNC1LI2	ENSG00000135720	ENSG00000135720;SE:16:66736244-66742438:66742554-66749197:-	-0.2645012542	0.0224775225
ECPAS	ENSG00000136813	ENSG00000136813;SE:9:111451555-111472897:111473000-111484116:-	-0.0672624656	0.033966034
CTDSPL2	ENSG00000137770	ENSG00000137770;SE:15:44459200-44470469:44470574-44484224:+	-0.0800745629	0.037962038
RPS24	ENSG00000138326	ENSG00000138326;SE:10:78037304-78037439:78040225-78040615:+	0.1595827195	0.017982018
RPS24	ENSG00000138326	ENSG00000138326;SE:10:78037304-78040201:78040225-78040615:+	0.2840843204	0.003996004
ABI2	ENSG00000138443	ENSG00000138443;SE:2:203380384-203382189:203382206-203391046:+	0.0868229109	0.027972028
HNRNPD	ENSG00000138668	ENSG00000138668;SE:4:82359639-82371528:82371584-82374119:-	0.255249004	0.0017482517
HNRNPD	ENSG00000138668	ENSG00000138668;SE:4:82371584-82373446:82373737-82374119:-	-0.3278816264	0.0
GIT2	ENSG00000139436	ENSG00000139436;SE:12:109939247-109945260:109945349-109947256:-	-0.124474147	0.04995005
MYG1	ENSG00000139637	ENSG00000139637;SE:12:53303193-53306198:53306320-53306680:+	-0.4948985125	0.0104895105
SORD	ENSG00000140263	ENSG00000140263;SE:15:45043421-45060982:45061226-45065271:+	-0.3356594113	0.014985015
TSPAN3	ENSG00000140391	ENSG00000140391;SE:15:77054279-77055789:77055829-77056064:-	-0.0721816821	0.034965035
TPM1	ENSG00000140416	ENSG00000140416;SE:15:63060939-63061198:63061273-63061713:+	0.0517302856	0.038961039
TPM1	ENSG00000140416	ENSG00000140416;SE:15:63062645-63064064:63064142-63065896:+	-0.0917002827	0.0227272727
TPM1	ENSG00000140416	ENSG00000140416;SE:15:63062645-63064064:63064190-63065896:+	-0.1057035774	0.0227272727
NPEPPS	ENSG00000141279	ENSG00000141279;SE:17:47585745-47586148:47586244-47586365:+	0.6080945647	0.004995005
ASGR1	ENSG00000141505	ENSG00000141505;SE:17:7177076-7177210:7177326-7178494:-	0.1512367724	0.033966034
ARHGDIA	ENSG00000141522	ENSG00000141522;SE:17:81868943-81869056:81869075-81869173:-	-0.2193552779	0.016983017
ANAPC11	ENSG00000141552	ENSG00000141552;SE:17:81892106-81893552:81893614-81894467:+	-0.1278483476	0.048951049
CEP131	ENSG00000141577	ENSG00000141577;SE:17:81192593-81192736:81192843-81193926:-	-0.0969895725	0.018981019
RPL13A	ENSG00000142541	ENSG00000142541;SE:19:49489912-49490232:49490297-49490475:+	0.0872536346	0.0184815185
PTPRF	ENSG00000142949	ENSG00000142949;SE:1:43609498-43612768:43612800-43613618:+	0.0533073137	0.0443306693
MRPS5	ENSG00000144029	ENSG00000144029;SE:2:95101723-95104640:95104730-95106423:-	0.1309742211	0.007992008
TEX261	ENSG00000144043	ENSG00000144043;SE:2:70989816-70991830:70991983-70993696:-	0.0535737759	0.032967033
RASA1	ENSG00000145715	ENSG00000145715;SE:5:87269055-87330938:87330983-87331348:+	-0.505999074	0.014985015
CLVS2	ENSG00000146352	ENSG00000146352;SE:6:122996746-122997219:122998166-123010985:+	0.1755116626	0.030969031
GIGYF1	ENSG00000146830	ENSG00000146830;SE:7:100688718-100689302:100689555-100693937:-	0.1125455269	0.032967033
DENND2A	ENSG00000146966	ENSG00000146966;SE:7:140602542-140605705:140605806-140640504:-	-0.0888773645	0.018981019
MRPS28	ENSG00000147586	ENSG00000147586;SE:8:79919148-80002999:80003180-80030036:-	0.051900353	0.0264735265
TENM4	ENSG00000149256	ENSG00000149256;SE:11:79070009-79148710:79148806-79215808:-	0.1473032895	0.0074925075
KIRREL3	ENSG00000149571	ENSG00000149571;SE:11:126431526-126435268:126435303-126436811:-	0.0553025649	0.037962038
COMMD7	ENSG00000149600	ENSG00000149600;SE:20:32728139-32742476:32742565-32743308:-	0.1486731099	0.0464535465
YTHDF1	ENSG00000149658	ENSG00000149658;SE:20:63196734-63202287:63203807-63213864:-	0.0538921763	0.018981019
PTS	ENSG00000150787	ENSG00000150787;SE:11:112228673-112230208:112230230-112230626:+	0.0587287796	0.036963037
FRMD4A	ENSG00000151474	ENSG00000151474;SE:10:13747819-13753056:13753100-13761647:-	0.0857818402	0.043956044
GUCY1A2	ENSG00000152402	ENSG00000152402;SE:11:106708666-106746551:106746643-106776439:-	-0.1413095642	0.046953047
CCDC50	ENSG00000152492	ENSG00000152492;SE:3:191370036-191375062:191375589-191380159:+	0.052405465	0.0114885115
PLOD2	ENSG00000152952	ENSG00000152952;SE:3:146076895-146077862:146077924-146079116:-	-0.1078894728	0.0424575425
PTPRD	ENSG00000153707	ENSG00000153707;SE:9:8436689-8437198:8437239-8449725:-	-0.0795122434	0.045954046
PTPRD	ENSG00000153707	ENSG00000153707;SE:9:8449837-8454580:8454591-8460411:-	0.1434255114	0.035964036
PTPRD	ENSG00000153707	ENSG00000153707;SE:9:8492979-8497242:8497268-8499647:-	-0.0957778604	0.041958042
PTPRD	ENSG00000153707	ENSG00000153707;SE:9:8521546-8523513:8523524-8524925:-	0.0795122434	0.045954046
PTPRD	ENSG00000153707	ENSG00000153707;SE:9:8525035-8526627:8526644-8528591:-	0.1270906954	0.038961039
PTPRD	ENSG00000153707	ENSG00000153707;SE:9:8526644-8527345:8527353-8528591:-	-0.1225779684	0.03996004
C21orf91	ENSG00000154642	ENSG00000154642;SE:21:17793581-17795208:17795270-17796582:-	0.114872517	0.033966034
PTPRN2	ENSG00000155093	ENSG00000155093;SE:7:158205273-158316819:158316932-158489735:-	0.0994410208	0.0164835165
ZFYVE27	ENSG00000155256	ENSG00000155256;SE:10:97738674-97748269:97748364-97749474:+	-0.3456737222	0.002997003
SLC25A28	ENSG00000155287	ENSG00000155287;SE:10:99612599-99613696:99613924-99620045:-	0.2366764495	0.038961039
DPY19L4	ENSG00000156162	ENSG00000156162;SE:8:94780415-94781084:94781166-94783670:+	0.1637941591	0.041958042
GAREM2	ENSG00000157833	ENSG00000157833;SE:2:26185276-26186189:26186358-26187231:+	0.0636472807	0.0344655345
RER1	ENSG00000157916	ENSG00000157916;SE:1:2397220-2399415:2399514-2400857:+	-0.0509709748	0.032967033
AUTS2	ENSG00000158321	ENSG00000158321;SE:7:70771644-70775357:70775386-70777103:+	0.1186553657	0.0224775225
DEDD	ENSG00000158796	ENSG00000158796;SE:1:161124210-161124340:161124526-161130815:-	0.380164787	0.026973027
DEDD	ENSG00000158796	ENSG00000158796;SE:1:161124526-161130815:161130843-161132551:-	0.3452049608	0.026973027
GPBP1L1	ENSG00000159592	ENSG00000159592;SE:1:45661225-45685576:45685620-45686412:-	0.0720240844	0.0494505495
ZNF362	ENSG00000160094	ENSG00000160094;SE:1:33256654-33270487:33270612-33276100:+	0.060775821	0.038961039
CCDC12	ENSG00000160799	ENSG00000160799;SE:3:46976843-46976938:46977040-46981932:-	-0.1234258441	0.0434565435
BEND5	ENSG00000162373	ENSG00000162373;SE:1:48736452-48742623:48742771-48758900:-	-0.1049119395	0.0314685315
MAIP1	ENSG00000162972	ENSG00000162972;SE:2:199959880-199961781:199961928-199963733:+	0.0898021935	0.0234765235
RNF168	ENSG00000163961	ENSG00000163961;SE:3:196487578-196488607:196488683-196502873:-	0.0804065059	0.0454545455
UQCRQ	ENSG00000164405	ENSG00000164405;SE:5:132866687-132866869:132867035-132867488:+	-0.100443302	0.0014985015
MATCAP2	ENSG00000164542	ENSG00000164542;SE:7:36335178-36336154:36336297-36356902:-	0.1912998958	0.02997003
MATCAP2	ENSG00000164542	ENSG00000164542;SE:7:36335178-36356902:36357590-36366916:-	-0.2350132225	0.048951049
MATCAP2	ENSG00000164542	ENSG00000164542;SE:7:36336297-36356902:36357590-36367111:-	0.2563452265	0.048951049
DLC1	ENSG00000164741	ENSG00000164741;SE:8:13100770-13102790:13102853-13110742:-	0.3327934858	0.0004995005
DNAAF5	ENSG00000164818	ENSG00000164818;SE:7:727315-729725:729847-740819:+	-0.3895307228	0.026973027
PDP1	ENSG00000164951	ENSG00000164951;SE:8:93917079-93917911:93917945-93922016:+	-0.0751832787	0.0384615385
MID1IP1	ENSG00000165175	ENSG00000165175;SE:X:38801487-38802535:38804413-38804683:+	-0.0781341303	0.0354645355
MID1IP1	ENSG00000165175	ENSG00000165175;SE:X:38801487-38804310:38804413-38804683:+	-0.1728364648	0.003996004
CARD19	ENSG00000165233	ENSG00000165233;SE:9:93110721-93111879:93111938-93112218:+	-0.0610881497	0.040959041
BORCS5	ENSG00000165714	ENSG00000165714;SE:12:12357509-12361206:12361349-12435628:+	-0.1685733974	0.0454545455
SLC39A13	ENSG00000165915	ENSG00000165915;SE:11:47412467-47413400:47413507-47413597:+	0.0594787846	0.0384615385
HACD1	ENSG00000165996	ENSG00000165996;SE:10:17594383-17599290:17599411-17603560:-	0.1640423751	0.0184815185
SVOP	ENSG00000166111	ENSG00000166111;SE:12:108972476-108977398:108977496-108978578:-	-0.1311237965	0.0344655345
SVOP	ENSG00000166111	ENSG00000166111;SE:12:108972476-108978578:108978663-108983601:-	0.3781022948	0.014985015
CENPN	ENSG00000166451	ENSG00000166451;SE:16:81014181-81017758:81017834-81020100:+	0.331615238	0.0
TMEM41B	ENSG00000166471	ENSG00000166471;SE:11:9283593-9286455:9286593-9287702:-	0.0544738568	0.032967033
ZNF606	ENSG00000166704	ENSG00000166704;SE:19:57988721-57999808:57999896-58000683:-	0.1136955997	0.0094905095
CCNDBP1	ENSG00000166946	ENSG00000166946;SE:15:43185879-43186154:43186233-43189199:+	-0.1049570892	0.0474525475
CCNDBP1	ENSG00000166946	ENSG00000166946;SE:15:43189280-43190055:43190151-43190325:+	0.0868944256	0.0474525475
TLCD3A	ENSG00000167695	ENSG00000167695;SE:17:733181-737846:738047-740505:+	0.1107839876	0.023976024
TLCD3A	ENSG00000167695	ENSG00000167695;SE:17:733181-740505:740600-741301:+	-0.1824860364	0.023976024
UBB	ENSG00000170315	ENSG00000170315;SE:17:16381184-16381902:16382130-16382359:+	-0.0966042267	0.0014985015
POLR1C	ENSG00000171453	ENSG00000171453;SE:6:43519838-43520066:43520185-43520275:+	0.088997279	0.026973027
CERS6	ENSG00000172292	ENSG00000172292;SE:2:168765748-168766322:168766345-168769510:+	0.0540880288	0.0384615385
RBM4	ENSG00000173933	ENSG00000173933;SE:11:66640123-66643450:66644140-66646027:+	-0.0541425941	0.014985015
ANGEL2	ENSG00000174606	ENSG00000174606;SE:1:213008466-213013093:213013418-213015613:-	0.0937407212	0.028971029
TMEM9B	ENSG00000175348	ENSG00000175348;SE:11:8956298-8962092:8962183-8964209:-	0.0664544018	0.022977023
CLTB	ENSG00000175416	ENSG00000175416;SE:5:176392945-176396479:176396532-176397607:-	0.0698735525	0.015984016
CCDC14	ENSG00000175455	ENSG00000175455;SE:3:123956427-123956740:123956795-123961144:-	-0.1047491171	0.044955045
KCMF1	ENSG00000176407	ENSG00000176407;SE:2:84971467-85013936:85014053-85027889:+	-0.074186116	0.036963037
TGIF1	ENSG00000177426	ENSG00000177426;SE:18:3450070-3450325:3450505-3456354:+	0.1750667083	0.007992008
TBL1XR1	ENSG00000177565	ENSG00000177565;SE:3:177051726-177053773:177053918-177064920:-	-0.1594936542	0.00999001
TBL1XR1	ENSG00000177565	ENSG00000177565;SE:3:177065022-177098466:177098541-177197121:-	0.230090448	0.00999001
AURKB	ENSG00000178999	ENSG00000178999;SE:17:8207840-8210177:8210225-8210530:-	-0.2068148975	0.031968032
GPR157	ENSG00000180758	ENSG00000180758;SE:1:9104634-9105486:9105680-9111276:-	0.2606835015	0.0184815185
CUEDC1	ENSG00000180891	ENSG00000180891;SE:17:57879738-57885229:57885879-57955225:-	-0.1023493775	0.0064935065
RFX7	ENSG00000181827	ENSG00000181827;SE:15:56087509-56087908:56087990-56093633:-	0.1221187791	0.043956044
SHMT2	ENSG00000182199	ENSG00000182199;SE:12:57229811-57230803:57231000-57231713:+	0.1958257998	0.0404595405
AP1S2	ENSG00000182287	ENSG00000182287;SE:X:15827372-15828192:15828200-15845379:-	0.1331101489	0.008991009
PSMG1	ENSG00000183527	ENSG00000183527;SE:21:39180436-39181772:39181878-39183252:-	0.0886052323	0.021978022
NPIPA6	ENSG00000183889	ENSG00000183889;SE:16:16333884-16335861:16335992-16340306:+	0.0921148203	0.0434565435
NPIPA6	ENSG00000183889	ENSG00000183889;SE:16:16348732-16349229:16349298-16350092:+	-0.1400578626	0.005994006
HDDC3	ENSG00000184508	ENSG00000184508;SE:15:90932110-90932429:90932806-90934985:-	-0.2618926432	0.0444555445
MORF4L1	ENSG00000185787	ENSG00000185787;SE:15:78873057-78880512:78880579-78886141:+	-0.0643986889	0.020979021
ZNRF1	ENSG00000186187	ENSG00000186187;SE:16:75093667-75095598:75095750-75104784:+	-0.1075377092	0.00999001
ZNRF1	ENSG00000186187	ENSG00000186187;SE:16:75104889-75106482:75106571-75107733:+	-0.0621455497	0.0234765235
MAGED4B	ENSG00000187243	ENSG00000187243;SE:X:52063101-52063703:52063750-52064047:-	-0.0815923677	0.002997003
AGRN	ENSG00000188157	ENSG00000188157;SE:1:1050837-1051032:1051043-1051253:+	0.0577454621	0.0084915085
ALKBH2	ENSG00000189046	ENSG00000189046;SE:12:109088512-109090009:109090207-109092507:-	0.0574709029	0.044955045
KIAA0408	ENSG00000189367	ENSG00000189367;SE:6:127450352-127451282:127451317-127453847:-	0.1136783108	0.02997003
SPATS2L	ENSG00000196141	ENSG00000196141;SE:2:200329480-200389223:200389283-200412311:+	-0.1046661583	0.01998002
IPO4	ENSG00000196497	ENSG00000196497;SE:14:24187579-24187667:24187796-24188216:-	0.2836674261	0.0
AFAP1	ENSG00000196526	ENSG00000196526;SE:4:7778876-7781376:7781627-7786194:-	0.0969482919	0.003996004
TRAPPC4	ENSG00000196655	ENSG00000196655;SE:11:119018970-119019143:119019317-119021760:+	-0.1269959915	0.012987013
AP2A1	ENSG00000196961	ENSG00000196961;SE:19:49802141-49802534:49802599-49802949:+	0.089625893	0.002997003
ZNF772	ENSG00000197128	ENSG00000197128;SE:19:57474421-57475660:57475786-57476634:-	-0.2324366804	0.0454545455
