	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
LUZP1	ENSG00000169641	ENSG00000169641;A5:1:23089053-23091190:23089053-23094330:-	0.0854372702	0.040959041
DCXR	ENSG00000169738	ENSG00000169738;A5:17:82037013-82037450:82037013-82037631:-	-0.2146325438	0.047952048
TRAPPC1	ENSG00000170043	ENSG00000170043;A5:17:7931829-7931928:7931829-7931940:-	0.1497718594	0.012987013
CLSTN1	ENSG00000171603	ENSG00000171603;A5:1:9730705-9731122:9730705-9731206:-	-0.1413325085	0.0104895105
TLN2	ENSG00000171914	ENSG00000171914;A5:15:62836118-62838856:62836073-62838856:+	0.0662115505	0.0434565435
GRIN1	ENSG00000176884	ENSG00000176884;A5:9:137164987-137165186:137164215-137165186:+	-0.4335115782	0.0004995005
PDE4DIP	ENSG00000178104	ENSG00000178104;A5:1:149002026-149002850:149001696-149002850:+	0.0753916357	0.044955045
ATP6AP2	ENSG00000182220	ENSG00000182220;A5:X:40581102-40588986:40581071-40588986:+	-0.0701037252	0.0154845155
AIFM3	ENSG00000183773	ENSG00000183773;A5:22:20977776-20977888:20977095-20977888:+	0.2058825948	0.012987013
PIGP	ENSG00000185808	ENSG00000185808;A5:21:37072537-37072991:37072537-37073000:-	-0.1157094853	0.040959041
NPIPB4	ENSG00000185864	ENSG00000185864;A5:16:21847541-21851770:21847541-21851915:-	-0.1623954759	0.018981019
MRTFB	ENSG00000186260	ENSG00000186260;A5:16:14247507-14248926:14247357-14248926:+	-0.0940829914	0.0384615385
KIAA0408	ENSG00000189367	ENSG00000189367;A5:6:127444282-127446408:127444282-127446872:-	-0.0763527559	0.03996004
RPL23A	ENSG00000198242	ENSG00000198242;A5:17:28720430-28720707:28720328-28720707:+	-0.137952717	0.0204795205
PNMA5	ENSG00000198883	ENSG00000198883;A5:X:152991721-152991902:152991721-152991916:-	0.2493624967	0.0154845155
MIR670HG	ENSG00000235661	ENSG00000235661;A5:11:43646643-43649688:43644378-43649688:+	0.2790132526	0.032967033
TMEM161B-DT	ENSG00000247828	ENSG00000247828;A5:5:88269027-88270526:88268920-88270526:+	0.1629071261	0.04995005
TMEM161B-DT	ENSG00000247828	ENSG00000247828;A5:5:88269075-88270526:88269027-88270526:+	0.1464032577	0.04995005
TMEM161B-DT	ENSG00000247828	ENSG00000247828;A5:5:88269119-88270526:88269075-88270526:+	-0.1358566905	0.04995005
SNHG9	ENSG00000255198	ENSG00000255198;A5:16:1965223-1965406:1965129-1965406:+	0.1275131622	0.03996004
CNPY2	ENSG00000257727	ENSG00000257727;A5:12:56315242-56315821:56315242-56315907:-	0.0514919199	0.037962038
MIR497HG	ENSG00000267532	ENSG00000267532;A5:17:7019408-7019946:7019408-7020071:-	0.1626121854	0.0394605395
LINC03025	ENSG00000276462	ENSG00000276462;A5:9:41102841-41103685:41102841-41104468:-	0.1725406296	0.042957043
	ENSG00000286340	ENSG00000286340;A5:6:79079331-79079437:79078641-79079437:+	0.3411027721	0.030969031
	ENSG00000288771	ENSG00000288771;A5:9:68972641-68975664:68972641-68975745:-	0.3249014458	0.0284715285
PKD1P6-NPIPP1	ENSG00000290394	ENSG00000290394;A5:16:15130791-15131074:15130791-15131087:-	-0.098605621	0.033966034
	ENSG00000291003	ENSG00000291003;A5:15:22561934-22562949:22561789-22562949:+	0.2370067432	0.017982018
	ENSG00000297456	ENSG00000297456;A5:1:202440238-202452018:202440238-202452022:-	0.3690096423	0.006993007
	ENSG00000301880	ENSG00000301880;A5:1:145794196-145795143:145794196-145795286:-	-0.2853339086	0.0434565435
	ENSG00000309609	ENSG00000309609;A5:6:3154604-3177324:3154600-3177324:+	-0.2857142857	0.041958042
