	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
LGALS8	ENSG00000116977	ENSG00000116977;AF:1:236518239:236518284-236525968:236523982:236524061-236525968:+	0.2644194579	0.014985015
LGALS8	ENSG00000116977	ENSG00000116977;AF:1:236518239:236518284-236525968:236523985:236524061-236525968:+	0.5567067072	0.014985015
LGALS8	ENSG00000116977	ENSG00000116977;AF:1:236518239:236518284-236525968:236523989:236524061-236525968:+	0.4929900375	0.014985015
AMD1	ENSG00000123505	ENSG00000123505;AF:6:110874785:110875215-110887505:110875575:110875622-110887505:+	0.0763682226	0.0444555445
RPS4Y1	ENSG00000129824	ENSG00000129824;AF:Y:2841602:2841627-2842165:2841920:2841973-2842165:+	-0.2785391652	0.0084915085
SYT5	ENSG00000129990	ENSG00000129990;AF:19:55179086-55179964:55180034:55179086-55180117:55180289:-	0.1319690457	0.022977023
LRP3	ENSG00000130881	ENSG00000130881;AF:19:33177603:33177729-33196730:33194330:33194858-33196730:+	0.0837040617	0.0284715285
AKAP12	ENSG00000131016	ENSG00000131016;AF:6:151325688:151325885-151348711:151341686:151341786-151348711:+	-0.4574994934	0.0124875125
MYCN	ENSG00000134323	ENSG00000134323;AF:2:15940566:15940743-15945493:15943557:15943695-15945493:+	0.2713619818	0.0394605395
IMP4	ENSG00000136718	ENSG00000136718;AF:2:130342894:130343194-130344629:130343270:130343347-130344629:+	-0.1517473473	0.0424575425
IMP4	ENSG00000136718	ENSG00000136718;AF:2:130342897:130343194-130344629:130343270:130343347-130344629:+	-0.1513878146	0.0424575425
IMP4	ENSG00000136718	ENSG00000136718;AF:2:130342922:130343194-130344629:130343270:130343347-130344629:+	-0.0924420572	0.0424575425
KHK	ENSG00000138030	ENSG00000138030;AF:2:27094198:27094611-27096729:27094665:27094934-27096729:+	0.3060863136	0.031968032
SAMD1	ENSG00000141858	ENSG00000141858;AF:19:14089362-14089785:14090751:14089362-14090938:14091036:-	-0.0730257648	0.0464535465
TINAGL1	ENSG00000142910	ENSG00000142910;AF:1:31577034:31577458-31579204:31578145:31578188-31579204:+	-0.404225665	0.0274725275
CCT6A	ENSG00000146731	ENSG00000146731;AF:7:56059865:56060416-56060807:56060611:56060678-56060807:+	-0.169725589	0.032967033
MPP7	ENSG00000150054	ENSG00000150054;AF:10:28238735-28282010:28282138:28238735-28302861:28303064:-	0.2154438129	0.043956044
ANKRD9	ENSG00000156381	ENSG00000156381;AF:14:102508549-102508641:102509235:102508549-102509529:102509799:-	0.1779474319	0.045954046
B4GALT3	ENSG00000158850	ENSG00000158850;AF:1:161176579-161177058:161177149:161176579-161177423:161177507:-	0.1020294551	0.0484515485
B4GALT3	ENSG00000158850	ENSG00000158850;AF:1:161176579-161177058:161177149:161176579-161177423:161177968:-	0.3487076991	0.038961039
CARMIL2	ENSG00000159753	ENSG00000159753;AF:16:67652965:67653254-67654149:67653429:67653467-67654149:+	-0.0820127458	0.0344655345
PEA15	ENSG00000162734	ENSG00000162734;AF:1:160205380:160205522-160211543:160211287:160211314-160211543:+	-0.1417923705	0.015984016
FASTK	ENSG00000164896	ENSG00000164896;AF:7:151078701-151078842:151078911:151078701-151078923:151079379:-	0.2478224476	0.0414585415
PGBD5	ENSG00000177614	ENSG00000177614;AF:1:230357321-230377498:230377645:230357321-230425598:230426332:-	0.062628289	0.0414585415
AATK	ENSG00000181409	ENSG00000181409;AF:17:81131205-81131902:81131948:81131205-81132656:81132847:-	0.1197983122	0.0484515485
TMIE	ENSG00000181585	ENSG00000181585;AF:3:46694528:46694618-46705790:46701392:46701580-46705790:+	0.1345450915	0.0464535465
FAF1	ENSG00000185104	ENSG00000185104;AF:1:50857997-50959672:50959738:50857997-50959767:50960267:-	0.1699880527	0.023976024
TRAPPC4	ENSG00000196655	ENSG00000196655;AF:11:119018766:119018970-119021760:119019392:119020253-119021760:+	-0.2047104143	0.0494505495
FAM163B	ENSG00000196990	ENSG00000196990;AF:9:133580246-133585976:133586197:133580246-133609077:133609389:-	0.0679150028	0.0314685315
KIAA1671	ENSG00000197077	ENSG00000197077;AF:22:25069969:25070416-25170820:25111842:25112462-25170820:+	-0.1318952363	0.038961039
OGA	ENSG00000198408	ENSG00000198408;AF:10:101787523-101790896:101791453:101787523-101792839:101792946:-	-0.1760404334	0.037962038
ZNF580	ENSG00000213015	ENSG00000213015;AF:19:55641002:55641183-55642497:55642097:55642148-55642497:+	-0.1629958573	0.044955045
ZNG1F	ENSG00000215126	ENSG00000215126;AF:9:41133742-41142246:41142291:41133742-41145281:41145992:-	-0.2785580744	0.0174825175
SNHG15	ENSG00000232956	ENSG00000232956;AF:7:44986097-44986283:44986411:44986097-44986525:44986668:-	-0.3532065434	0.028971029
SNHG15	ENSG00000232956	ENSG00000232956;AF:7:44986097-44986283:44986411:44986097-44986525:44986834:-	-0.1232483018	0.028971029
PINLYP	ENSG00000234465	ENSG00000234465;AF:19:43580544:43580587-43581212:43580638:43580669-43581212:+	-0.2952319217	0.038961039
LINC01664	ENSG00000235478	ENSG00000235478;AF:22:17120276:17120425-17124655:17121216:17121362-17124655:+	0.374048763	0.0274725275
COA8	ENSG00000256053	ENSG00000256053;AF:14:103562963:103563124-103571623:103563190:103563379-103571623:+	-0.5263471582	0.0374625375
COA8	ENSG00000256053	ENSG00000256053;AF:14:103562979:103563124-103571623:103563190:103563379-103571623:+	-0.6888282428	0.0374625375
	ENSG00000258122	ENSG00000258122;AF:16:66841822-66844837:66844879:66841822-66853405:66853448:-	0.3062658927	0.03996004
	ENSG00000274253	ENSG00000274253;AF:15:22757857:22757994-22758819:22758493:22758525-22758819:+	-0.2576420684	0.0364635365
	ENSG00000274253	ENSG00000274253;AF:15:22757876:22757994-22758819:22758493:22758525-22758819:+	-0.1653959409	0.0364635365
	ENSG00000274253	ENSG00000274253;AF:15:22757891:22757994-22758819:22758493:22758525-22758819:+	-0.2192300568	0.0364635365
	ENSG00000294598	ENSG00000294598;AF:14:98973451-98987585:98987680:98973451-99036578:99036818:-	-0.3820067715	0.028971029
	ENSG00000304119	ENSG00000304119;AF:1:1065833-1066566:1066801:1065833-1069307:1069347:-	0.2806440074	0.04995005
	ENSG00000305914	ENSG00000305914;AF:16:708716:709533-710731:709812:709877-710731:+	0.2290180637	0.0414585415
