	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
CHI3L1	ENSG00000133048	ENSG00000133048;SE:1:203179877-203180470:203180652-203181162:-	0.0932852682	0.038961039
DCLK1	ENSG00000133083	ENSG00000133083;SE:13:35774699-35788212:35788285-35793366:-	0.0549003093	0.0334665335
C9orf78	ENSG00000136819	ENSG00000136819;SE:9:129833709-129834707:129834766-129835139:-	-0.0622729137	0.0434565435
RTCA	ENSG00000137996	ENSG00000137996;SE:1:100266624-100267500:100267538-100268152:+	0.1105056542	0.038961039
ZNF365	ENSG00000138311	ENSG00000138311;SE:10:62374458-62376181:62376936-62388396:+	0.0747712791	0.0234765235
RAB15	ENSG00000139998	ENSG00000139998;SE:14:64952571-64971953:64972100-64972710:-	0.1356289805	0.022977023
PCTP	ENSG00000141179	ENSG00000141179;SE:17:55774859-55787566:55787654-55822761:+	0.2016808428	0.0474525475
SAT2	ENSG00000141504	ENSG00000141504;SE:17:7626793-7626943:7627044-7627143:-	0.0571035343	0.036963037
SAT2	ENSG00000141504	ENSG00000141504;SE:17:7626793-7627143:7627226-7627363:-	0.1435758676	0.032967033
PRDM16	ENSG00000142611	ENSG00000142611;SE:1:3431108-3431966:3432140-3433677:+	-0.2421625461	0.033966034
SMYD2	ENSG00000143499	ENSG00000143499;SE:1:214281427-214305187:214305250-214314762:+	0.0552744641	0.0464535465
SLC39A4	ENSG00000147804	ENSG00000147804;SE:8:144412946-144413237:144413389-144413513:-	-0.1118638983	0.0404595405
SURF1	ENSG00000148290	ENSG00000148290;SE:9:133354957-133356269:133356320-133356400:-	-0.0821598507	0.031968032
APIP	ENSG00000149089	ENSG00000149089;SE:11:34890552-34895010:34895110-34916228:-	0.300086011	0.001998002
TMEM138	ENSG00000149483	ENSG00000149483;SE:11:61362420-61364252:61364518-61366045:+	0.2677807696	0.017982018
NOPCHAP1	ENSG00000151131	ENSG00000151131;SE:12:104988253-104991712:104991848-104994478:+	-0.1575119795	0.021978022
ZFYVE27	ENSG00000155256	ENSG00000155256;SE:10:97751462-97752857:97752877-97753038:+	0.1026940077	0.038961039
SLC24A2	ENSG00000155886	ENSG00000155886;SE:9:19577022-19597229:19597279-19619584:-	0.0716608796	0.044955045
ANKRD9	ENSG00000156381	ENSG00000156381;SE:14:102508549-102508641:102508846-102509529:-	0.1215802459	0.03996004
GPRASP2	ENSG00000158301	ENSG00000158301;SE:X:102712552-102713091:102713217-102713782:+	0.1565900178	0.0224775225
GPRASP2	ENSG00000158301	ENSG00000158301;SE:X:102712552-102713130:102713217-102713782:+	0.1896048205	0.018981019
PSMD4	ENSG00000159352	ENSG00000159352;SE:1:151265234-151265394:151265609-151266004:+	0.10728581	0.017982018
U2AF1	ENSG00000160201	ENSG00000160201;SE:21:43100519-43101366:43101432-43104315:-	0.3114410791	0.010989011
TRAPPC10	ENSG00000160218	ENSG00000160218;SE:21:44059214-44063053:44063168-44063538:+	0.2201306756	0.020979021
GATD3	ENSG00000160221	ENSG00000160221;SE:21:44137296-44140250:44140342-44143205:+	-0.2031230866	0.018981019
ST6GALNAC6	ENSG00000160408	ENSG00000160408;SE:9:127896332-127897826:127898010-127905207:-	0.4649560986	0.034965035
ST6GALNAC6	ENSG00000160408	ENSG00000160408;SE:9:127896332-127897956:127898010-127899503:-	0.0867212104	0.0487012987
DNALI1	ENSG00000163879	ENSG00000163879;SE:1:37557748-37559327:37559496-37561557:+	-0.1568826813	0.023976024
FASTK	ENSG00000164896	ENSG00000164896;SE:7:151079021-151079500:151079922-151080685:-	0.0579621371	0.0484515485
SLC25A32	ENSG00000164933	ENSG00000164933;SE:8:103402054-103403164:103403324-103407634:-	0.2632755869	0.0414585415
SLC25A32	ENSG00000164933	ENSG00000164933;SE:8:103402054-103404776:103404861-103407634:-	0.2779390848	0.0414585415
ISCA2	ENSG00000165898	ENSG00000165898;SE:14:74494152-74494275:74494390-74494826:+	0.1277916191	0.0464535465
RPL13	ENSG00000167526	ENSG00000167526;SE:16:89560712-89560940:89561063-89561227:+	-0.0506663729	0.020979021
RPL13	ENSG00000167526	ENSG00000167526;SE:16:89560712-89560954:89561063-89561227:+	-0.0882719727	0.014985015
ZNF83	ENSG00000167766	ENSG00000167766;SE:19:52614797-52616718:52616841-52618936:-	-0.3630803356	0.024975025
ZNF83	ENSG00000167766	ENSG00000167766;SE:19:52614797-52618936:52619062-52635066:-	0.2093210715	0.024975025
SRP68	ENSG00000167881	ENSG00000167881;SE:17:76064171-76067217:76067330-76070378:-	-0.0714792668	0.0444555445
ABCA3	ENSG00000167972	ENSG00000167972;SE:16:2304150-2308450:2308623-2317283:-	0.104015321	0.01998002
LGI3	ENSG00000168481	ENSG00000168481;SE:8:22154039-22154142:22154213-22154560:-	0.0528118404	0.038961039
PARM1	ENSG00000169116	ENSG00000169116;SE:4:74933370-75012425:75013150-75033883:+	0.1097236999	0.0184815185
RGS14	ENSG00000169220	ENSG00000169220;SE:5:177371396-177371475:177371589-177371873:+	-0.1000318895	0.0364635365
CTNND2	ENSG00000169862	ENSG00000169862;SE:5:11364890-11397031:11397203-11411536:-	0.2704463591	0.034965035
RGS19	ENSG00000171700	ENSG00000171700;SE:20:64076646-64076857:64076954-64079294:-	0.1867914899	0.046953047
CARNS1	ENSG00000172508	ENSG00000172508;SE:11:67415763-67416176:67416202-67417407:+	0.0729271855	0.04995005
SPTBN2	ENSG00000173898	ENSG00000173898;SE:11:66721262-66721350:66721440-66728741:-	-0.1705554776	0.037962038
KLC2	ENSG00000174996	ENSG00000174996;SE:11:66258822-66261742:66261972-66262123:+	0.098711029	0.0204795205
IP6K1	ENSG00000176095	ENSG00000176095;SE:3:49738422-49747818:49748168-49786354:-	0.064650634	0.047952048
GRIN1	ENSG00000176884	ENSG00000176884;SE:9:137163904-137164172:137164215-137165186:+	0.1391035793	0.027972028
PRDM16-DT	ENSG00000177133	ENSG00000177133;SE:1:3060283-3060501:3060604-3061107:-	0.1590528277	0.044955045
HLA-DQB1	ENSG00000179344	ENSG00000179344;SE:6:32660249-32660859:32660882-32661347:-	-0.26825344	0.0314685315
RNF32-DT	ENSG00000182648	ENSG00000182648;SE:7:156605380-156605658:156605764-156640536:-	-0.2747897618	0.0314685315
VMO1	ENSG00000182853	ENSG00000182853;SE:17:4785659-4785957:4786052-4786158:-	-0.2960098122	0.0344655345
AP2A2	ENSG00000183020	ENSG00000183020;SE:11:994245-1000432:1000598-1003722:+	-0.0963903882	0.044955045
CYP2R1	ENSG00000186104	ENSG00000186104;SE:11:14879207-14880136:14880768-14885776:-	-0.2284100416	0.0354645355
BCR	ENSG00000186716	ENSG00000186716;SE:22:23292638-23295024:23295155-23309424:+	-0.180045771	0.03996004
AGRN	ENSG00000188157	ENSG00000188157;SE:1:1050837-1051032:1051043-1051253:+	0.0849648584	0.044955045
KIAA0408	ENSG00000189367	ENSG00000189367;SE:6:127450352-127451282:127451317-127453847:-	0.215513773	0.0284715285
XRCC6	ENSG00000196419	ENSG00000196419;SE:22:41622086-41628118:41628230-41636113:+	0.0574917539	0.0314685315
SCN8A	ENSG00000196876	ENSG00000196876;SE:12:51774362-51780649:51780771-51786542:+	0.1619173909	0.0464535465
COPS8	ENSG00000198612	ENSG00000198612;SE:2:237089994-237093663:237094197-237095822:+	-0.251627353	0.03996004
STK39	ENSG00000198648	ENSG00000198648;SE:2:168063570-168065319:168065381-168074982:-	0.0605420097	0.047952048
LGR4	ENSG00000205213	ENSG00000205213;SE:11:27392518-27412789:27412860-27472118:-	0.2243161963	0.023976024
NPIPA9	ENSG00000233024	ENSG00000233024;SE:16:18368386-18372578:18372854-18374832:-	-0.155900001	0.032967033
SNHG20	ENSG00000234912	ENSG00000234912;SE:17:77089271-77093244:77093347-77094070:+	0.1545418539	0.046953047
PWP2	ENSG00000241945	ENSG00000241945;SE:21:44113847-44114179:44114278-44114625:+	-0.2625235853	0.014985015
PWP2	ENSG00000241945	ENSG00000241945;SE:21:44126965-44127575:44127693-44127932:+	0.2390666104	0.014985015
CEROX1	ENSG00000260807	ENSG00000260807;SE:16:977093-979025:979273-979601:-	0.3489465287	0.014985015
CEROX1	ENSG00000260807	ENSG00000260807;SE:16:979110-979601:979758-981145:-	-0.3432669658	0.014985015
LINC01896	ENSG00000263146	ENSG00000263146;SE:18:78977429-78977555:78977690-78978786:-	0.1648144865	0.04995005
	ENSG00000267952	ENSG00000267952;SE:19:7507141-7513880:7514005-7519205:+	-0.2973592162	0.017982018
	ENSG00000288534	ENSG00000288534;SE:11:57712807-57737608:57737668-57789037:+	-0.1956576767	0.0344655345
	ENSG00000288534	ENSG00000288534;SE:11:57791673-57794010:57794081-57795577:+	0.2299632692	0.0344655345
	ENSG00000288534	ENSG00000288534;SE:11:57806035-57806461:57806478-57806915:+	0.2299632692	0.0344655345
LSP1P5	ENSG00000288905	ENSG00000288905;SE:1:144720690-144721061:144721138-144757916:+	0.1318363316	0.040959041
	ENSG00000291003	ENSG00000291003;SE:15:22495672-22498730:22498898-22516876:+	-0.2654713708	0.038961039
	ENSG00000291003	ENSG00000291003;SE:15:22538096-22539097:22539247-22541995:+	-0.2493580806	0.038961039
CRYBB2P1	ENSG00000291087	ENSG00000291087;SE:22:25448284-25455712:25455840-25457259:+	0.2132565962	0.026973027
ZPLD2P	ENSG00000293494	ENSG00000293494;SE:1:26225703-26227404:26227555-26227794:+	0.2899179116	0.0284715285
FRMPD2B	ENSG00000293529	ENSG00000293529;SE:10:46888558-46892103:46892121-46894514:+	0.1291234767	0.0274725275
	ENSG00000304089	ENSG00000304089;SE:16:74393182-74394461:74394578-74406573:-	-0.2140422874	0.0404595405
	ENSG00000305914	ENSG00000305914;SE:16:709877-710310:710468-710731:+	0.253463337	0.0294705295
