	gene_id	A3_con1-A3_con2_dPSI	A3_con1-A3_con2_p-val
MROH1	ENSG00000179832	ENSG00000179832;A3:8:144241517-144242211:144241517-144242369:+	-0.0766359751	0.0424575425
SYNM	ENSG00000182253	ENSG00000182253;A3:15:99126792-99129367:99126792-99132750:+	0.0986210372	0.035964036
WASH6P	ENSG00000182484	ENSG00000182484;A3:X:156022145-156022314:156022145-156022323:+	-0.0878215121	0.03996004
ZNRF1	ENSG00000186187	ENSG00000186187;A3:16:75106571-75107733:75106571-75107838:+	-0.0962300879	0.0344655345
MAGED4B	ENSG00000187243	ENSG00000187243;A3:X:52068263-52069130:52068173-52069130:-	-0.1602672828	0.0362137862
MAGED4B	ENSG00000187243	ENSG00000187243;A3:X:52068263-52069130:52068224-52069130:-	-0.3582896376	0.0362137862
CIBAR1	ENSG00000188343	ENSG00000188343;A3:8:93706196-93709771:93706196-93709775:+	-0.1206942174	0.030969031
SMIM13	ENSG00000224531	ENSG00000224531;A3:6:11094389-11134403:11094389-11134542:+	0.1119012699	0.0184815185
ASH1L-AS1	ENSG00000235919	ENSG00000235919;A3:1:155562286-155562981:155562286-155563250:+	-0.2433844285	0.0394605395
	ENSG00000257524	ENSG00000257524;A3:9:127873180-127874611:127873061-127874611:-	-0.1274623498	0.025974026
CEROX1	ENSG00000260807	ENSG00000260807;A3:16:979110-979601:977093-979601:-	0.2451644708	0.045954046
CEROX1	ENSG00000260807	ENSG00000260807;A3:16:979273-979601:979110-979601:-	0.1740223978	0.045954046
CEROX1	ENSG00000260807	ENSG00000260807;A3:16:980457-981145:979758-981145:-	0.2565456061	0.017982018
CCNQ	ENSG00000262919	ENSG00000262919;A3:X:153588454-153592506:153588394-153592506:-	-0.0589856247	0.0464535465
NOTCH2NLA	ENSG00000264343	ENSG00000264343;A3:1:146189381-146228709:146189373-146228709:-	-0.1233650813	0.0494505495
TSPOAP1-AS1	ENSG00000265148	ENSG00000265148;A3:17:58337679-58351735:58337679-58351744:+	-0.145904352	0.047952048
FXYD1	ENSG00000266964	ENSG00000266964;A3:19:35141206-35141443:35141206-35141536:+	0.0783120444	0.041958042
	ENSG00000295948	ENSG00000295948;A3:4:4042149-4074196:4042149-4074599:+	0.361185519	0.03996004
	ENSG00000295970	ENSG00000295970;A3:1:120643767-120646873:120643764-120646873:-	-0.1591544966	0.0464535465
	ENSG00000306014	ENSG00000306014;A3:1:120341500-120341587:120341500-120341590:+	-0.2690141597	0.0364635365
