	gene_id	A5_con1-A5_con2_dPSI	A5_con1-A5_con2_p-val
FDX2	ENSG00000267673	ENSG00000267673;A5:19:10315759-10315852:10315759-10315970:-	0.3894510735	0.0424575425
ZNF470-DT	ENSG00000269696	ENSG00000269696;A5:19:56547271-56567073:56547271-56567134:-	-0.4415056101	0.032967033
	ENSG00000270240	ENSG00000270240;A5:17:35884535-35884667:35884460-35884667:+	0.429440515	0.046953047
LINC02980	ENSG00000272462	ENSG00000272462;A5:6:25998290-25998887:25998285-25998887:+	0.5	0.008991009
	ENSG00000286856	ENSG00000286856;A5:3:170909161-170994873:170908994-170994873:+	0.3629972215	0.0474525475
	ENSG00000289511	ENSG00000289511;A5:21:46667561-46667682:46667507-46667682:+	-0.1927337887	0.0494505495
	ENSG00000290048	ENSG00000290048;A5:12:12482671-12483622:12482652-12483622:+	0.4426459141	0.015984016
FAM95B1	ENSG00000290718	ENSG00000290718;A5:9:40326445-40328918:40325730-40328918:+	0.22545106	0.04995005
PMS2P3	ENSG00000291092	ENSG00000291092;A5:7:75516178-75527972:75516178-75528106:-	-0.4742017	0.0284715285
CYP2T1P	ENSG00000293405	ENSG00000293405;A5:19:40808924-40809826:40808924-40809958:-	-0.967818599	0.004995005
	ENSG00000293517	ENSG00000293517;A5:1:248692218-248697031:248691796-248697031:+	-0.3520982049	0.047952048
	ENSG00000293757	ENSG00000293757;A5:1:39672264-39681839:39672259-39681839:+	-0.3421744112	0.0474525475
	ENSG00000294100	ENSG00000294100;A5:20:42631214-42634357:42630931-42634357:+	0.3066852845	0.0344655345
	ENSG00000294889	ENSG00000294889;A5:3:107688050-107698082:107688050-107698126:-	-0.2733487345	0.033966034
	ENSG00000297007	ENSG00000297007;A5:11:65722924-65726920:65722924-65727233:-	0.3423704459	0.0314685315
	ENSG00000304414	ENSG00000304414;A5:12:14879-26909:14781-26909:+	-0.218416237	0.0434565435
	ENSG00000307316	ENSG00000307316;A5:2:101250907-101252485:101250907-101252556:-	0.6102154244	0.0154845155
	ENSG00000307995	ENSG00000307995;A5:1:143331233-143343179:143331229-143343179:+	-0.4832014766	0.0254745255
	ENSG00000309094	ENSG00000309094;A5:4:97110426-97134547:97110426-97134558:-	-0.24141209	0.030969031
	ENSG00000309138	ENSG00000309138;A5:3:185560750-185562006:185560750-185562011:-	-0.25	0.0374625375
	ENSG00000310104	ENSG00000310104;A5:2:240643929-240646279:240643929-240646306:-	-0.5	0.044955045
	ENSG00000310431	ENSG00000310431;A5:1:220253921-220254354:220253921-220254583:-	-0.3838592704	0.0254745255
