	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
UQCR11	ENSG00000127540	ENSG00000127540;AF:19:1599560-1602037:1602129:1599560-1605360:1605436:-	0.5631585828	0.0314685315
UQCR11	ENSG00000127540	ENSG00000127540;AF:19:1599560-1602037:1602129:1599560-1605360:1605462:-	0.4182569848	0.0314685315
UQCR11	ENSG00000127540	ENSG00000127540;AF:19:1599560-1602037:1602129:1599560-1605360:1605473:-	0.3480906049	0.0454545455
CCDC32	ENSG00000128891	ENSG00000128891;AF:15:40557372-40562772:40563027:40557372-40564976:40565019:-	-0.2649490347	0.0334665335
PNCK	ENSG00000130822	ENSG00000130822;AF:X:153673078-153673780:153673813:153673078-153673929:153673946:-	-0.4212723895	0.037962038
ENPP2	ENSG00000136960	ENSG00000136960;AF:8:119638527-119638748:119638839:119638527-119673252:119673453:-	0.497184427	0.0394605395
ARK2C	ENSG00000141622	ENSG00000141622;AF:18:46326809:46326947-46433190:46334018:46334335-46433190:+	-0.5	0.030969031
ANKMY1	ENSG00000144504	ENSG00000144504;AF:2:240555055-240560731:240560789:240555055-240569036:240569177:-	-0.6103480785	0.043956044
SLIT2	ENSG00000145147	ENSG00000145147;AF:4:20251905:20253994-20256672:20254920:20255075-20256672:+	0.4851768569	0.044955045
SLIT2	ENSG00000145147	ENSG00000145147;AF:4:20253564:20253994-20256672:20254920:20255075-20256672:+	0.2807517719	0.044955045
SLIT2	ENSG00000145147	ENSG00000145147;AF:4:20253816:20253994-20256672:20254920:20255075-20256672:+	0.3768797848	0.044955045
LYAR	ENSG00000145220	ENSG00000145220;AF:4:4286572-4289986:4290021:4286572-4290036:4290154:-	0.5166358648	0.0274725275
MPP7	ENSG00000150054	ENSG00000150054;AF:10:28238735-28282010:28282138:28238735-28302861:28303064:-	0.3318636712	0.045954046
ADCY8	ENSG00000155897	ENSG00000155897;AF:8:130990542-130990843:130990865:130990542-131039374:131040909:-	-0.4296983343	0.043956044
SFR1	ENSG00000156384	ENSG00000156384;AF:10:104122058:104122154-104122965:104122171:104122196-104122965:+	0.4179050747	0.02997003
HTR5A	ENSG00000157219	ENSG00000157219;AF:7:155070324:155071640-155084155:155077138:155077234-155084155:+	-0.3280676701	0.0444555445
SPMIP5	ENSG00000165863	ENSG00000165863;AF:10:116668323-116669927:116669959:116668323-116670081:116670264:-	0.5211692477	0.040959041
COA6	ENSG00000168275	ENSG00000168275;AF:1:234373456:234373678-234374230:234373683:234373840-234374230:+	0.5365713291	0.0244755245
COA6	ENSG00000168275	ENSG00000168275;AF:1:234373468:234373678-234374230:234373683:234373840-234374230:+	0.3558867959	0.0244755245
ANKRD49	ENSG00000168876	ENSG00000168876;AF:11:94496755:94497261-94498071:94497323:94497964-94498071:+	0.3817925341	0.0414585415
B3GNT2	ENSG00000170340	ENSG00000170340;AF:2:62196115:62196355-62222212:62215518:62215615-62222212:+	-0.3908714804	0.048951049
KLF11	ENSG00000172059	ENSG00000172059;AF:2:10043550:10043758-10046150:10043829:10043887-10046150:+	0.4563218825	0.042957043
FAM222B	ENSG00000173065	ENSG00000173065;AF:17:28766707-28812209:28812435:28766707-28842682:28842790:-	-0.2368990935	0.04995005
DDIT3	ENSG00000175197	ENSG00000175197;AF:12:57517753-57520418:57520492:57517753-57521609:57521737:-	0.5987912184	0.013986014
GRM8	ENSG00000179603	ENSG00000179603;AF:7:127243515-127252129:127252255:127243515-127252797:127252941:-	-0.4775156979	0.0424575425
MCFD2	ENSG00000180398	ENSG00000180398;AF:2:46907969-46915723:46915816:46907969-46915981:46916054:-	0.6841568311	0.02997003
ZSCAN22	ENSG00000182318	ENSG00000182318;AF:19:58326994:58327114-58334752:58327446:58327520-58334752:+	-0.41393293	0.024975025
ZNF438	ENSG00000183621	ENSG00000183621;AF:10:30941651-30984369:30984426:30941651-31031833:31031937:-	-0.7897264311	0.020979021
TPCN1	ENSG00000186815	ENSG00000186815;AF:12:113244261:113244361-113260368:113244503:113244743-113260368:+	0.4372704112	0.027972028
ZNF836	ENSG00000196267	ENSG00000196267;AF:19:52169781-52170360:52170386:52169781-52171336:52171621:-	0.6538328696	0.0154845155
ZNF615	ENSG00000197619	ENSG00000197619;AF:19:52007330-52007959:52008081:52007330-52008141:52008230:-	0.3490535997	0.0444555445
FAM118B	ENSG00000197798	ENSG00000197798;AF:11:126211773:126211830-126234995:126229224:126229293-126234995:+	-0.4632732452	0.02997003
MAPRE3-AS1	ENSG00000205500	ENSG00000205500;AF:2:26996920-27013935:27013973:26996920-27014501:27014588:-	0.3435070535	0.0494505495
SMIM45	ENSG00000205704	ENSG00000205704;AF:22:41947194:41947306-41957672:41952150:41952421-41957672:+	-0.503650869	0.032967033
PPM1N	ENSG00000213889	ENSG00000213889;AF:19:45497251:45497343-45499949:45499610:45499725-45499949:+	-0.4368903838	0.0324675325
NDUFAF8	ENSG00000224877	ENSG00000224877;AF:17:81239611:81239682-81240987:81239914:81240439-81240987:+	-0.3320781913	0.0454545455
	ENSG00000226349	ENSG00000226349;AF:1:225692269-225694886:225695018:225692269-225777111:225777748:-	0.3605762156	0.0474525475
PTPRD-DT	ENSG00000226717	ENSG00000226717;AF:9:10613202:10613426-10616617:10613606:10613813-10616617:+	-0.4611170308	0.037962038
PTPRD-DT	ENSG00000226717	ENSG00000226717;AF:9:10613207:10613426-10616617:10613606:10613813-10616617:+	-0.6572917126	0.033966034
	ENSG00000228150	ENSG00000228150;AF:1:9942916:9943025-9949638:9943518:9943771-9949638:+	0.4509272366	0.044955045
	ENSG00000232448	ENSG00000232448;AF:20:10172701:10172786-10181638:10180162:10180341-10181638:+	0.3770739467	0.0404595405
MRPL20	ENSG00000242485	ENSG00000242485;AF:1:1405886-1406226:1406307:1405886-1406909:1406998:-	-0.3085323791	0.0274725275
MIR4458HG	ENSG00000247516	ENSG00000247516;AF:5:8457561:8457766-8459933:8458090:8458274-8459933:+	-0.430010606	0.038961039
	ENSG00000254337	ENSG00000254337;AF:8:68852777-68853123:68853172:68852777-68858038:68858119:-	0.5	0.038961039
UBQLN1-AS1	ENSG00000254473	ENSG00000254473;AF:9:83707594:83707710-83712498:83708013:83708453-83712498:+	0.2991006692	0.042957043
C17orf49	ENSG00000258315	ENSG00000258315;AF:17:7015843:7015875-7016495:7016165:7016335-7016495:+	0.4596217704	0.033966034
	ENSG00000259649	ENSG00000259649;AF:15:80900965-80903097:80903169:80900965-80909500:80909760:-	0.2748450001	0.044955045
DDX59-AS1	ENSG00000260088	ENSG00000260088;AF:1:200669489:200669647-200690309:200670444:200670617-200690309:+	0.4084520764	0.036963037
DDX59-AS1	ENSG00000260088	ENSG00000260088;AF:1:200669507:200669622-200690309:200670444:200670617-200690309:+	0.4496615784	0.036963037
	ENSG00000276509	ENSG00000276509;AF:1:146229168:146229385-146337551:146317980:146318090-146337551:+	-0.3997145167	0.0354645355
DERPC	ENSG00000286140	ENSG00000286140;AF:16:69121493-69132089:69132151:69121493-69132484:69132588:-	0.365094548	0.035964036
	ENSG00000286503	ENSG00000286503;AF:5:108381483:108381682-108387891:108382145:108382408-108387891:+	0.5824968099	0.01998002
	ENSG00000289151	ENSG00000289151;AF:16:88554062-88555918:88556007:88554062-88570021:88570182:-	0.6969961471	0.0194805195
	ENSG00000289217	ENSG00000289217;AF:13:22925977:22926149-22932070:22926580:22926734-22932070:+	0.5	0.0464535465
	ENSG00000289217	ENSG00000289217;AF:13:22925995:22926149-22932070:22926580:22926734-22932070:+	0.4336177473	0.0464535465
	ENSG00000289217	ENSG00000289217;AF:13:22926002:22926149-22932070:22926580:22926734-22932070:+	0.4225000776	0.0464535465
CYP4F29P	ENSG00000290541	ENSG00000290541;AF:21:13846141-13877665:13877748:13846141-13897207:13897293:-	0.309021445	0.0464535465
TMEM276	ENSG00000291317	ENSG00000291317;AF:8:144465096-144465353:144465428:144465096-144465571:144465648:-	-0.4256570745	0.0374625375
	ENSG00000294950	ENSG00000294950;AF:2:26032661-26033250:26033579:26032661-26033678:26033810:-	-0.4814503998	0.0324675325
	ENSG00000295019	ENSG00000295019;AF:3:58478868:58479023-58484572:58484231:58484357-58484572:+	0.6831296005	0.0224775225
	ENSG00000297007	ENSG00000297007;AF:11:65727855-65735802:65735896:65727855-65743844:65744127:-	0.3469501781	0.043956044
	ENSG00000297094	ENSG00000297094;AF:2:217268464-217269284:217269603:217268464-217279202:217279358:-	0.4022761468	0.046953047
	ENSG00000304201	ENSG00000304201;AF:5:179634057:179634401-179638883:179634548:179634845-179638883:+	0.3172277891	0.0424575425
	ENSG00000308658	ENSG00000308658;AF:11:118718368:118718437-118754458:118719849:118720347-118754458:+	-0.2921114494	0.0494505495
	ENSG00000308875	ENSG00000308875;AF:10:105644355:105644626-105677193:105658877:105658989-105677193:+	0.1953184126	0.0494505495
	ENSG00000309298	ENSG00000309298;AF:22:26632533-26646273:26646486:26632533-26647048:26647837:-	0.3502952232	0.047952048
	ENSG00000309392	ENSG00000309392;AF:2:119281867-119282209:119282364:119281867-119284077:119284280:-	0.5171760098	0.032967033
	ENSG00000309410	ENSG00000309410;AF:2:119293436:119293647-119295427:119294066:119294359-119295427:+	0.4626077858	0.042957043
	ENSG00000310046	ENSG00000310046;AF:12:89181717:89181798-89222262:89210521:89210657-89222262:+	-0.4835018324	0.023976024
