gene_name	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR5938419_Aligned.sortedByCoord.out	countData.SRR5938420_Aligned.sortedByCoord.out	countData.SRR5938421_Aligned.sortedByCoord.out	countData.SRR5938422_Aligned.sortedByCoord.out	countData.SRR5938423_Aligned.sortedByCoord.out	countData.SRR5938424_Aligned.sortedByCoord.out	countData.SRR5938425_Aligned.sortedByCoord.out	countData.SRR5938426_Aligned.sortedByCoord.out	countData.SRR5938427_Aligned.sortedByCoord.out	countData.SRR5938428_Aligned.sortedByCoord.out	countData.SRR5938429_Aligned.sortedByCoord.out	countData.SRR5938430_Aligned.sortedByCoord.out	countData.SRR5938456_Aligned.sortedByCoord.out	countData.SRR5938457_Aligned.sortedByCoord.out	countData.SRR5938458_Aligned.sortedByCoord.out	countData.SRR5938459_Aligned.sortedByCoord.out	countData.SRR5938460_Aligned.sortedByCoord.out	countData.SRR5938461_Aligned.sortedByCoord.out	countData.SRR5938462_Aligned.sortedByCoord.out	countData.SRR5938463_Aligned.sortedByCoord.out	countData.SRR5938464_Aligned.sortedByCoord.out	countData.SRR5938465_Aligned.sortedByCoord.out	countData.SRR5938466_Aligned.sortedByCoord.out	countData.SRR5938467_Aligned.sortedByCoord.out
PRKAR2B	ENSG00000005249	E002	16.9027651448322	0.0780250494303889	14.0783647108879	0.000175349201731657	0.019965524866156	1.37891507810358	1.09833814814624	-0.990350777054805	7	107044910	107045122	213	+	7	7	29	18	37	27	43	20	20	39	12	16	24	21	12	12	12	9	11	23	1	21	1	14
KMT2E	ENSG00000005483	E028	14.7124931002745	0.0328996815684365	11.2163339841647	0.000810805058953836	0.043227822786746	1.08195114160466	1.27977046034667	0.704023766399194	7	105039153	105039269	117	+	8	15	8	6	27	15	14	8	6	17	4	14	15	11	29	17	24	27	15	15	13	21	30	15
KMT2E	ENSG00000005483	E077	71.1694519849812	0.00970528016215756	11.5192300612134	0.000688799126291596	0.0397289204242898	1.90806681989983	1.798644934353	-0.368673268150184	7	105112659	105113333	675	+	54	114	79	42	144	118	89	79	77	94	51	73	96	62	66	50	52	80	82	101	58	44	45	70
SOX8	ENSG00000005513	E009	10.3430533369152	0.0286600518982505	12.5695122569138	0.00039209089660442	0.0301655627620201	1.08588595093144	0.935147874301925	-0.555271620756579	16	983728	983960	233	+	8	39	18	6	27	11	15	12	5	9	19	13	10	11	6	3	10	12	5	9	3	4	0	4
MYCBP2	ENSG00000005810	E042	25.4168253013722	0.0174053544023353	11.5051183743827	0.000694048101579904	0.0398897173086521	1.33916999027963	1.50005608466428	0.555729926222941	13	77087634	77088831	1198	-	19	29	10	11	27	45	24	21	21	37	9	13	45	19	35	29	19	41	45	40	29	43	12	45
MYCBP2	ENSG00000005810	E058	69.0688794476242	0.0212662563247206	14.613615006205	0.000131957739309041	0.0173368594097477	1.76026714685269	1.9169619927218	0.528231523528804	13	77120137	77121372	1236	-	49	75	19	33	66	94	70	62	78	100	20	55	96	82	101	108	84	101	90	81	74	93	47	97
MYCBP2	ENSG00000005810	E065	21.2461846948531	0.0136598318339206	13.9700993882441	0.000185741174389152	0.0205724216909425	1.25443225216798	1.42535517690773	0.595199163623318	13	77140846	77140943	98	-	14	27	9	7	13	28	24	21	24	29	5	14	28	25	35	22	25	28	30	25	24	30	19	44
MYCBP2	ENSG00000005810	E080	76.4322948386385	0.028205539829454	15.082529256974	0.000102911344115845	0.0151625037054844	1.97265395869115	1.78788097055217	-0.622061521257136	13	77168428	77168646	219	-	43	58	125	48	119	193	125	120	93	91	74	68	101	58	107	37	60	55	83	112	46	61	20	73
MYCBP2	ENSG00000005810	E088	72.2122407506815	0.00305883353160477	11.3281035535975	0.000763428271513247	0.0419200145068195	1.89904658959209	1.81718254919955	-0.275775603720613	13	77181701	77181922	222	-	51	74	82	54	89	137	102	80	105	101	45	64	85	80	75	54	64	68	88	87	65	71	34	78
MYCBP2	ENSG00000005810	E100	64.4234383983477	0.0112525711747259	15.6664544683994	7.55523697311717e-05	0.012755496088329	1.88127727168764	1.74437629180803	-0.461913378859017	13	77211956	77212160	205	-	32	56	95	34	110	154	97	79	98	85	54	55	85	43	94	50	52	57	79	71	45	56	22	68
MYCBP2	ENSG00000005810	E109	28.3982594899045	0.00702912581141536	13.0037479954262	0.000310868124355908	0.0271127189427037	1.39312923636598	1.53403525300668	0.484830909915047	13	77242413	77243058	646	-	23	31	13	20	33	45	32	27	21	22	11	22	44	34	64	34	27	36	40	35	22	30	16	55
LAMP2	ENSG00000005893	E015	137.26228853628	0.0398601530557483	12.2394016132267	0.000467908325708199	0.0326883714380887	2.18939113758839	2.07002906811844	-0.399485089328743	X	120455357	120455570	214	-	145	348	90	106	375	184	171	178	79	145	117	181	148	123	193	59	99	317	72	59	59	156	37	117
TMEM132A	ENSG00000006118	E019	56.3065419319733	0.0068123297625238	17.9062090063865	2.32062778711951e-05	0.00709774463973161	1.7857391021106	1.71514860695299	-0.238742561619258	11	60928629	60928960	332	+	35	41	86	36	98	128	92	54	65	84	51	60	71	40	60	33	63	46	68	79	33	41	31	46
CACNA1G	ENSG00000006283	E011	19.9450580933125	0.0247998449124482	20.3738881096307	6.36929866300274e-06	0.00364346363401391	1.38092617833714	1.14894314511254	-0.81553193706943	17	50572554	50572854	301	+	12	5	123	7	26	24	31	18	28	24	14	23	12	12	3	8	5	6	20	47	7	12	1	10
AGK	ENSG00000006530	E026	11.5129701446666	0.0127659302766797	18.8435459743984	1.41890390129517e-05	0.00542614164929157	0.979070102971245	1.19859511149913	0.794844350263789	7	141599002	141599308	307	+	3	7	3	6	9	15	17	11	12	11	5	6	19	11	37	12	11	16	22	13	8	19	9	24
VPS41	ENSG00000006715	E018	58.6826896953818	0.00726135308009586	20.9507876451584	4.71234043259124e-06	0.00319910327495401	1.70943673933661	1.82323870458369	0.384649064947472	7	38745614	38745998	385	-	34	67	12	26	63	72	69	36	56	63	41	54	73	69	127	68	55	104	79	73	70	77	47	79
PAFAH1B1	ENSG00000007168	E063	50.0230526581097	0.094012707131438	10.864447821832	0.000980279749272691	0.0475201435983952	1.81716301862725	1.5621342270909	-0.865131268156272	17	2680164	2680320	157	+	29	54	84	48	95	179	92	74	49	50	44	31	87	38	50	38	8	48	36	64	11	42	12	44
BLTP2	ENSG00000007202	E026	23.3479225434535	0.00690460996885068	30.8848326876676	2.73803304986279e-08	0.000221885634972464	1.47830134022638	1.26762712397585	-0.731153936806452	17	28631484	28631681	198	-	15	36	39	24	52	73	30	25	34	28	16	25	30	15	33	6	12	19	19	31	10	16	6	18
GAS7	ENSG00000007237	E011	38.3855748177445	0.0365756729201701	17.0388080412524	3.66235940229234e-05	0.00883508388040279	1.67748652428719	1.4702598443	-0.707453954562589	17	9917168	9917341	174	-	35	45	70	21	92	78	56	62	49	44	38	36	44	23	46	16	42	20	24	54	16	33	13	21
CDKL5	ENSG00000008086	E032	252.466734910228	0.0111196605862225	14.0943517815115	0.000173865088270038	0.0198908126692782	2.43646718604575	2.35774039343509	-0.262578535697608	X	18603902	18604337	436	+	164	191	542	144	323	504	379	216	309	300	199	277	218	213	352	232	213	216	275	387	212	188	109	199
CDKL5	ENSG00000008086	E042	46.0638727444346	0.0409510163073309	10.7654202998737	0.00103414077889155	0.0488421827023254	1.74261249081605	1.57444748100926	-0.571254166239481	X	18628371	18628587	217	+	20	31	125	19	49	109	64	64	65	53	45	61	39	41	56	25	27	33	38	83	33	39	7	40
CAMK1G	ENSG00000008118	E018	22.9832187942921	0.0100004110045704	14.8680011935752	0.000115302395476744	0.0159952878038965	1.44296630707445	1.30290171870938	-0.485972828813962	1	209611945	209612216	272	+	10	17	29	17	40	58	34	31	34	51	9	20	32	19	14	18	39	8	21	19	13	16	17	26
ADAM22	ENSG00000008277	E020	8.62237306238401	0.0197907534724172	18.383034992768	1.80659343529498e-05	0.00619767960793596	0.853095163106143	1.0898897321706	0.882286417586921	7	88128602	88128676	75	+	3	5	3	4	8	8	11	6	11	6	0	8	13	14	32	14	10	11	12	18	10	13	1	11
CRY1	ENSG00000008405	E002	73.5425349258859	0.0179931716920243	12.2534929522501	0.000464388054732548	0.0326883714380887	1.82216602716649	1.90745644123517	0.28725666279707	12	106991367	106992001	635	-	62	91	57	43	100	57	65	62	51	80	40	75	74	77	124	120	45	157	86	68	69	116	34	104
PKD1	ENSG00000008710	E137	11.2978126675814	0.0330089440766354	11.6531447751532	0.000640940921998427	0.0382855902338201	1.15868487921357	0.966958208231771	-0.697877125571915	16	2117489	2117672	184	-	6	13	32	10	18	26	13	17	15	22	9	7	13	4	0	2	16	6	10	27	3	9	2	5
CSDE1	ENSG00000009307	E023	9.51498815813846	0.0144727906996928	11.0100161807685	0.00090620854985827	0.0456389085058414	1.11516195486521	0.919800777976441	-0.718721714105091	1	114723883	114724002	120	-	3	14	11	9	18	24	18	8	16	17	8	9	10	3	15	2	8	6	7	15	8	8	4	9
CSDE1	ENSG00000009307	E058	15.7411528052301	0.00504263868997426	21.6962875099411	3.19408831802752e-06	0.00267769234978366	1.1230524419525	1.32520224936122	0.714615461739795	1	114745157	114745245	89	-	5	20	6	7	19	25	21	14	9	15	4	13	23	23	36	17	13	33	22	17	21	25	9	22
REV3L	ENSG00000009413	E012	12.96691314246	0.00730011355718642	10.7116764069419	0.00106461524404312	0.0495990453998365	1.05044475546043	1.19924227129223	0.534629196217058	6	111322569	111322678	110	-	8	12	11	3	19	12	8	10	9	11	11	9	17	16	27	10	15	16	10	24	19	14	17	19
REV3L	ENSG00000009413	E031	851.134231566136	0.00426202289916438	12.6408665870228	0.000377404991130391	0.0296215704337901	2.95067197915897	2.91090792243597	-0.13224848756246	6	111372596	111376757	4162	-	612	1141	892	353	1208	1422	1120	775	803	1093	512	831	1062	941	1186	808	722	1013	827	1478	717	920	573	949
RANBP9	ENSG00000010017	E008	53.8035147372248	0.015980732059586	12.3109030273853	0.000450320054638666	0.0321723083997394	1.79946429476678	1.67563527791589	-0.419046604074328	6	13639563	13639753	191	-	35	68	76	37	103	123	86	60	67	56	42	37	82	50	103	38	34	66	53	47	29	51	17	46
ZNF207	ENSG00000010244	E020	79.683050183111	0.0331312302982447	22.1058109678962	2.58027487907469e-06	0.0023566376054532	2.00939723739047	1.79041527403685	-0.736821522076708	17	32367772	32368014	243	+	59	106	103	50	128	194	133	86	75	106	73	73	90	72	62	40	48	93	107	87	56	83	36	87
ZNF207	ENSG00000010244	E023	17.8049543473618	0.0624859330835663	17.8282211296125	2.41770630282848e-05	0.00718655448956556	1.40759389856312	1.1116742774391	-1.04155803831154	17	32369295	32369454	160	+	10	17	23	16	49	45	22	25	11	23	24	21	19	13	31	5	6	18	18	11	6	13	7	26
ZNF207	ENSG00000010244	E032	588.803444522777	0.00352458425783459	18.1270897892425	2.06640615384511e-05	0.00667607085836617	2.74007276868096	2.7947774784934	0.182036299080877	17	32373458	32377917	4460	+	432	702	217	301	740	877	671	442	623	708	265	493	795	839	1067	657	573	981	647	655	568	791	400	841
STARD3NL	ENSG00000010270	E012	68.2378714030802	0.0213351246493098	13.652575701242	0.000219939409210854	0.0220006137529639	1.89701011044947	1.77347021150268	-0.416498393116463	7	38207447	38207729	283	+	51	79	97	38	98	116	103	73	83	107	52	70	85	49	115	68	46	78	66	74	47	62	33	52
NISCH	ENSG00000010322	E050	701.69514135231	0.00578301400410683	11.7533381667194	0.000607342132278965	0.0372920577556789	2.82099359122134	2.87146779886489	0.167911071673693	3	52491872	52493068	1197	+	349	657	800	447	967	1277	943	517	753	897	353	664	774	757	804	450	1127	776	858	870	544	812	614	982
FYN	ENSG00000010810	E046	28.6514197613621	0.0145554527556895	19.8115546511288	8.54644714862728e-06	0.00420997967614448	1.56334023805174	1.37127745155382	-0.660744033232802	6	111719858	111720062	205	-	26	38	16	13	67	60	43	41	16	56	38	24	35	22	43	16	16	35	33	30	14	27	13	23
ANOS1	ENSG00000011201	E001	530.559264271202	0.031477964374261	14.3467714069705	0.000152040196150533	0.0187155707782972	2.66840196103774	2.76776721943716	0.330718587052992	X	8528874	8533053	4180	-	373	496	193	206	719	759	661	415	384	608	310	403	594	677	1037	824	544	804	577	608	709	494	375	873
GABRA3	ENSG00000011677	E001	429.426339042522	0.0133385266395803	13.9919793000784	0.000183592135403398	0.0204328794510279	2.59811732088961	2.66761031510061	0.231390174015354	X	152166234	152168227	1994	-	315	277	274	279	459	813	617	350	506	677	172	394	440	481	797	364	461	466	556	437	482	574	362	480
ERCC1	ENSG00000012061	E025	26.5182594297985	0.00980053960506052	14.163728053205	0.00016756991273757	0.0195643074679588	1.48171729825023	1.37650838140809	-0.363048199864394	19	45421178	45421393	216	-	14	33	49	23	39	69	38	28	32	43	20	26	28	21	41	16	23	19	22	37	17	21	8	16
SEMA3B	ENSG00000012171	E036	10.3579532803862	0.0230066705410343	11.1957847097979	0.000819833598928089	0.0433800692496572	1.09452554282008	0.917370835361128	-0.653503634111967	3	50274363	50274530	168	+	11	43	3	5	33	14	15	24	5	13	17	8	7	2	0	1	9	18	4	2	1	6	7	15
SLC7A14	ENSG00000013293	E001	2596.65491118678	0.0227257176157591	11.7042828968097	0.000623564075745645	0.0377130864866205	3.36604025760364	3.46269232655893	0.321195188354604	3	170459548	170467377	7830	-	2401	2526	1306	1610	3679	4030	3534	2324	2911	3827	1173	2460	2963	2983	4802	1850	2187	3781	2421	2364	3293	3352	2131	2649
SLC7A14	ENSG00000013293	E002	220.366161888618	0.0094842448662327	16.5779653423033	4.66903546130881e-05	0.0097742955746894	2.35035098377269	2.32841268646191	-0.0732126049883384	3	170480289	170481166	878	-	194	251	161	205	337	404	296	220	239	314	140	253	254	196	291	92	227	248	181	181	227	244	179	225
MDH1	ENSG00000014641	E016	20.8639859859367	0.0151165089813901	11.8422417899561	0.000579020763381812	0.0364921925831676	1.28183457926822	1.39864638168482	0.406680444108307	2	63594587	63594990	404	+	12	16	10	12	37	35	23	17	21	33	8	13	29	19	29	27	31	35	20	22	13	33	17	32
MDH1	ENSG00000014641	E022	33.7700479441618	0.0175500940702172	10.9222842494094	0.000950143833647666	0.0467836391123549	1.49628164312597	1.59073140243	0.323015563734003	2	63597658	63598186	529	+	20	38	12	19	45	58	56	24	39	59	11	19	54	39	44	41	28	53	42	34	30	45	29	44
RGPD5	ENSG00000015568	E016	31.8199126603876	0.00990989101708805	11.2970140554346	0.000776318412527996	0.0421989157879807	1.46197797059013	1.57190076590644	0.376643030478703	2	109804152	109804555	404	+	28	31	11	13	47	55	27	31	35	37	9	25	45	43	68	36	36	48	45	31	31	46	16	42
RGPD5	ENSG00000015568	E042	2292.65147311336	0.00454602351253816	13.1286974952012	0.000290806873065027	0.0258263060987047	3.38520727651106	3.3354427784037	-0.165386263611399	2	109835917	109837882	1966	+	1677	2423	2352	1407	3080	4113	3330	1924	2882	3525	1116	2318	3458	2420	3040	1904	1668	2902	2599	2234	2110	2717	1201	2712
RGPD5	ENSG00000015568	E045	619.28623336686	0.00454007628895319	15.5298934655798	8.12107960080273e-05	0.013257811194962	2.76957067737094	2.81665668916599	0.156668741213247	2	109840377	109845102	4726	+	396	649	395	306	956	1077	872	494	657	771	270	580	1022	673	876	577	554	787	782	708	564	790	417	994
CNTN1	ENSG00000018236	E020	156.219521873646	0.0280597532270261	15.1855822920099	9.74445873360631e-05	0.0147833016225941	2.24249107207216	2.14428467191856	-0.328342627178796	12	40929796	40930002	207	+	106	149	150	111	265	335	252	190	204	198	122	136	222	116	342	108	101	197	158	88	115	137	85	164
CNTN1	ENSG00000018236	E022	104.009990346862	0.0234085410505097	14.6084642978877	0.000132318891000342	0.0173416211242848	2.06342256497167	1.97771244860475	-0.287469104722286	12	40933697	40933878	182	+	105	89	102	59	176	212	161	101	171	146	59	88	133	114	209	97	46	166	83	98	77	109	25	91
CNTN1	ENSG00000018236	E027	40.0614395387622	0.031940242680829	16.7209326677417	4.33005896902639e-05	0.00950521251697383	1.67034724650549	1.55214326694818	-0.402550240004978	12	40943995	40944170	176	+	31	46	33	28	81	74	48	60	57	55	36	32	31	33	122	32	11	62	27	31	28	45	10	33
CNTN1	ENSG00000018236	E035	190.576743392585	0.017612428785242	19.6332388692477	9.3822724050023e-06	0.00440186930879349	2.32150818795821	2.23459176857759	-0.290262853880132	12	41016682	41016916	235	+	155	164	213	141	273	388	282	198	231	273	131	186	205	163	397	155	106	212	177	157	185	165	136	160
CNTN1	ENSG00000018236	E043	198.94302102159	0.0166372755216708	17.9523171109043	2.26508509961385e-05	0.00704488347779521	2.3373208156974	2.25555554723254	-0.272999909888899	12	41069959	41070241	283	+	162	161	220	185	291	350	305	170	263	268	152	167	213	161	348	166	143	253	194	193	206	189	78	197
ATP1A2	ENSG00000018625	E015	14.0910736332017	0.0588007246655121	16.1378963530133	5.88937225564072e-05	0.0110777155584533	1.26980912490992	1.08018547766539	-0.675472804379873	1	160127672	160127820	149	+	15	16	10	13	24	31	27	20	9	32	9	12	18	8	32	17	7	7	12	35	5	5	2	4
ATP1A2	ENSG00000018625	E016	159.495727873288	0.0480197080978994	13.852061700288	0.000197779626140805	0.0211190091824645	2.24933634449563	2.16073513643332	-0.296177296675234	1	160128652	160128850	199	+	120	204	109	87	324	298	251	185	158	262	105	124	230	99	151	106	112	80	272	434	66	133	107	168
ATP1A2	ENSG00000018625	E019	94.4234066255241	0.0202542746751032	11.3693498507673	0.000746660088564662	0.0413169271970007	2.00327736334352	1.9607509104924	-0.142758372531666	1	160130102	160130291	190	+	69	128	52	48	189	177	136	91	63	122	84	87	123	80	145	83	74	60	164	222	61	98	35	88
ATP1A2	ENSG00000018625	E021	18.5381144790714	0.0115149281522898	17.1109999587779	3.52575087927616e-05	0.00868013088623011	1.35531342818121	1.23063263440298	-0.436498928838991	1	160134484	160134620	137	+	12	25	8	16	41	47	24	22	14	33	12	16	22	10	11	14	8	18	26	46	10	17	14	19
ATP1A2	ENSG00000018625	E025	19.4737035869493	0.0396461329111614	13.6509637511218	0.000220128305345556	0.0220006137529639	1.38296571396905	1.22784625049891	-0.542296611993791	1	160136247	160136370	124	+	15	20	6	12	47	34	23	36	17	36	24	15	25	7	19	9	20	10	25	46	6	18	14	16
ATP1A2	ENSG00000018625	E039	5033.6865849746	0.0167892872666774	11.7511043394659	0.000608071484446914	0.0372920577556789	3.65637573350081	3.7415404084659	0.282967612297293	1	160141778	160143591	1814	+	4105	5528	1448	2228	8072	10256	5627	4372	2340	6191	3265	4029	6631	5899	7728	5685	4216	6557	6487	10604	4945	5272	3572	6415
PHLDB1	ENSG00000019144	E060	27.8740113866723	0.0100326946908687	11.8955000466725	0.000562697198742551	0.0358238361603154	1.49363354454124	1.379509139668	-0.393560273594344	11	118645356	118645650	295	+	24	113	23	18	72	29	41	26	21	33	34	40	20	28	41	5	39	29	7	15	11	27	11	10
SYT13	ENSG00000019505	E007	49.4895576676457	0.0368709440403298	13.1346549404584	0.000289883657811878	0.0257914237763714	1.76918914698843	1.61820891216817	-0.511964244334352	11	45255666	45255891	226	-	24	30	91	29	77	151	97	48	70	94	33	45	70	60	40	34	28	47	59	48	26	46	22	21
MNAT1	ENSG00000020426	E018	32.1730938020736	0.00696154549485187	11.1260399159186	0.000851241374321811	0.0441131354423032	1.46023131851136	1.5721332709742	0.383446773621836	14	60879836	60880041	206	+	16	36	18	20	34	42	33	23	35	30	8	25	38	45	100	32	29	48	50	44	35	39	18	51
NRXN3	ENSG00000021645	E048	149.303481738116	0.00611701802451649	11.05359538607	0.000885153792505216	0.044942643404728	2.20624112020925	2.13984159614048	-0.222066795213603	14	79697630	79697937	308	+	74	134	227	91	220	333	225	134	177	185	120	169	163	141	195	107	118	123	155	241	111	162	93	126
AQR	ENSG00000021776	E022	23.949657222469	0.0081026161349947	29.7703282069579	4.86379388636107e-08	0.000278226176631217	1.49433667915671	1.28623299787792	-0.720962654919823	15	34900622	34900863	242	-	19	23	28	14	45	59	36	22	34	50	19	26	24	21	21	14	25	30	22	22	16	22	8	21
GABRA1	ENSG00000022355	E041	59.2608346321071	0.00886102563224346	11.0544448015377	0.000884748358524735	0.044942643404728	1.71522028239821	1.82356300795003	0.366150305088207	5	161881732	161882557	826	+	41	42	23	41	45	91	67	46	71	84	36	48	92	81	75	73	42	67	67	57	72	78	43	112
GABRA1	ENSG00000022355	E047	831.237010133972	0.0112403328593675	24.0413111993644	9.42907882425226e-07	0.00145546063387815	2.97217824880978	2.86173781575868	-0.367321100759092	5	161897111	161897662	552	+	634	521	479	754	1079	1628	1604	865	1103	1776	498	813	1228	934	968	610	516	925	1051	461	700	899	308	1016
AKAP11	ENSG00000023516	E007	162.495520331444	0.0132254323726833	14.1036806489486	0.000173004921686233	0.0198718493521646	2.27041900634353	2.15188291296217	-0.39621260427379	13	42298533	42298797	265	+	123	188	188	118	269	394	213	172	185	217	103	130	209	155	278	148	108	230	156	148	128	124	75	150
IFNGR1	ENSG00000027697	E003	162.563577490674	0.00454613154099378	17.0984892606339	3.54905249379117e-05	0.00868433374860052	2.18459132300384	2.23209391936748	0.158783500105881	6	137197497	137198133	637	-	143	196	82	118	219	213	165	108	185	160	82	173	157	170	259	144	136	321	138	245	150	207	140	229
VEZT	ENSG00000028203	E086	128.352925139504	0.0110938641983098	15.159257055657	9.8812660865633e-05	0.014909196701703	2.16011932546587	2.057123428489	-0.344836655596437	12	95300165	95300562	398	+	111	97	124	79	171	224	163	124	167	180	102	132	151	128	178	136	78	164	128	205	109	128	55	126
